Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Finest Basil Pesto 130G,€3.00,,€23.08/kg,https://www.tesco.ie/groceries/en-IE/products/267023345,https://digitalcontent.api.tesco.com/v2/media/ghs/ef31e40a-260a-4e9a-bdf5-5761b38e4a02/676f7df6-72b5-44a8-a999-bff74a760ca6.jpeg?h=225&w=225
Tesco Tomato & Mascarpone Sauce 350G,€2.00,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€5.71/kg,https://www.tesco.ie/groceries/en-IE/products/253174037,https://digitalcontent.api.tesco.com/v2/media/ghs/dc4e94a8-cce6-462e-847f-c5908f1ff62f/42ae034e-a428-45aa-be3d-2bd4d7b8a6a5.jpeg?h=225&w=225
Tesco Tomato & Basil Sauce 350G,€2.00,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€5.71/kg,https://www.tesco.ie/groceries/en-IE/products/253174043,https://digitalcontent.api.tesco.com/v2/media/ghs/82bef078-3a65-4a81-ab8a-1a40d3096dce/16caf6e0-d0e4-43d9-99f4-faf3f4a5d5aa.jpeg?h=225&w=225
Pizza Sauce 250G,€3.49,,€13.96/kg,https://www.tesco.ie/groceries/en-IE/products/284777930,https://digitalcontent.api.tesco.com/v2/media/ghs/295b8d58-df0f-4b18-9077-2dd356f035f6/snapshotimagehandler_987711773.jpeg?h=225&w=225
The Galway Kitchen Green Basil Pesto 140g,€2.25,,€16.07/kg,https://www.tesco.ie/groceries/en-IE/products/315381849,https://digitalcontent.api.tesco.com/v2/media/ghs/5f356369-e041-41f5-b1c9-463b7807cc08/dea3fe99-aa99-4434-9450-00c315773ba0_46256049.jpeg?h=225&w=225
Pestle Mortar Green Pesto 140G,€3.25,,€23.21/kg,https://www.tesco.ie/groceries/en-IE/products/298232298,https://digitalcontent.api.tesco.com/v2/media/ghs/255a63d1-d053-4e7c-9c07-0c44f2ecc8f1/snapshotimagehandler_1064269042.jpeg?h=225&w=225
Tesco Cheese Sauce 350G,€2.00,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€5.71/kg,https://www.tesco.ie/groceries/en-IE/products/251328286,https://digitalcontent.api.tesco.com/v2/media/ghs/1d574f37-ae5f-4a9c-9ed3-b688e2f12656/b9b92b81-5028-408b-9337-ea160ed88ed0.jpeg?h=225&w=225
Tesco Beef Bolognese Fresh Ravioli 300g,€2.75,,€9.17/kg,https://www.tesco.ie/groceries/en-IE/products/314094396,https://digitalcontent.api.tesco.com/v2/media/ghs/ae8304e3-aeac-41de-b95b-0a358563dedd/2d21e311-523c-48ad-b130-827b72bc65bb_1954040925.jpeg?h=225&w=225
The Galway Kitchen Classic Red Pesto 140g,€2.25,,€16.07/kg,https://www.tesco.ie/groceries/en-IE/products/315345487,https://digitalcontent.api.tesco.com/v2/media/ghs/cab15add-3afa-443d-82ea-b320e38a4bf0/e0e43383-9afc-48b9-830b-2566ba824bfd_515209103.jpeg?h=225&w=225
Guastalla Fresh Basil Pesto 150g,€3.29,,€21.93/kg,https://www.tesco.ie/groceries/en-IE/products/310189953,https://digitalcontent.api.tesco.com/v2/media/ghs/f581b09a-8d8e-4c1c-832a-61d1f29f6599/bff87fba-27ef-4f13-8ae5-ff8371e8ea00_1446407744.jpeg?h=225&w=225
Tesco Finest Fennel Sausage Ragu 250g,€3.85,Any 2 for €6 Clubcard Price - Selected Tesco Finest* Pizza Pasta 250g,€15.40/kg,https://www.tesco.ie/groceries/en-IE/products/314689666,https://digitalcontent.api.tesco.com/v2/media/ghs/a2adb463-17b6-4e7d-bd39-279d7e8b6d85/fe933774-1c62-4979-a035-eecd20352671.jpeg?h=225&w=225
Tesco Finest Mushroom & Madeira Sauce 250G,€3.85,Any 2 for €6 Clubcard Price - Selected Tesco Finest* Pizza Pasta 250g,€15.40/kg,https://www.tesco.ie/groceries/en-IE/products/314703570,https://digitalcontent.api.tesco.com/v2/media/ghs/a7f2a3ac-cff3-4889-838d-32fc4d219605/7af063a5-c694-4ae5-af0b-e0df881194bf.jpeg?h=225&w=225
Tesco Finest Parmesan & Mascarpone Sauce 250g,€3.85,Any 2 for €6 Clubcard Price - Selected Tesco Finest* Pizza Pasta 250g,€15.40/kg,https://www.tesco.ie/groceries/en-IE/products/314695157,https://digitalcontent.api.tesco.com/v2/media/ghs/fa60d351-e7e0-48ed-b661-e52946a0a6e8/792b2b30-8a7a-47e3-beca-e06f6622da14.jpeg?h=225&w=225
