Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Spinach & Ricotta Fresh Tortelloni 300g,€2.75,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€9.17/kg,https://www.tesco.ie/groceries/en-IE/products/299829340,https://digitalcontent.api.tesco.com/v2/media/ghs/0c06ba47-952b-488c-bec7-b0312c9e0065/4998464d-330f-453d-b1d0-c36c013a0439.jpeg?h=225&w=225
Tesco Penne Pasta 500G,€1.75,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€3.50/kg,https://www.tesco.ie/groceries/en-IE/products/307363250,https://digitalcontent.api.tesco.com/v2/media/ghs/c4368388-f297-455b-bea7-5b98c91546b3/217a4f4f-1579-4506-8328-d804d5fe80e4_1830622463.jpeg?h=225&w=225
Tesco Fresh Tagliatelle Nests 500G,€1.75,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€3.50/kg,https://www.tesco.ie/groceries/en-IE/products/307137985,https://digitalcontent.api.tesco.com/v2/media/ghs/413e175d-cfc2-4356-89f7-dfe44b935779/2ac38b99-9dfa-41b0-9293-5a8693e97ed7_106621499.jpeg?h=225&w=225
Tesco Fusilli 300G,€1.10,,€3.67/kg,https://www.tesco.ie/groceries/en-IE/products/302089248,https://digitalcontent.api.tesco.com/v2/media/ghs/8f3c2657-ce03-4a94-90e8-378abc16766e/55286e5d-8953-4106-b8fa-0c6b13dc4cad.jpeg?h=225&w=225
Tesco Penne 300G,€1.15,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€3.83/kg,https://www.tesco.ie/groceries/en-IE/products/299829030,https://digitalcontent.api.tesco.com/v2/media/ghs/111a697f-ee25-46fc-a6e8-c131a794c8bc/cd62dc94-70ec-4ef3-8aa2-7a1c7834b62d.jpeg?h=225&w=225
Tesco Fresh Potato Gnocchi Pasta 400 G,€1.50,,€3.75/kg,https://www.tesco.ie/groceries/en-IE/products/275062447,https://digitalcontent.api.tesco.com/v2/media/ghs/ee6b895c-a31b-4366-87fa-59b483f0ea65/56219b91-9a28-4326-b971-447382beb05e.jpeg?h=225&w=225
Tesco Sausage & Ham Fresh Tortelloni 300g,€2.75,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€9.17/kg,https://www.tesco.ie/groceries/en-IE/products/299829363,https://digitalcontent.api.tesco.com/v2/media/ghs/6e8c487b-7a78-4f6f-b2b6-7154fac1a7ec/1eb90018-65e9-4c6b-a3de-2717c714ebfd.jpeg?h=225&w=225
Tesco Fresh Tagliatelle Nests 300g,€1.15,,€3.83/kg,https://www.tesco.ie/groceries/en-IE/products/299829075,https://digitalcontent.api.tesco.com/v2/media/ghs/f8cc3eb1-8499-495f-ae14-b0a122350d76/b374d792-b687-4abc-84a5-c5e1c25f561f.jpeg?h=225&w=225
Tesco Spaghetti 300G,€1.15,,€3.83/kg,https://www.tesco.ie/groceries/en-IE/products/304372029,https://digitalcontent.api.tesco.com/v2/media/ghs/0c8ba7b0-e495-4d32-abd4-e2426d9c82aa/b908175b-b222-4690-8ccc-9abc37a5cfbe.jpeg?h=225&w=225
Emma Giordani Spinach Ricotta Tortelloni 250G,€3.15,€1.50 Clubcard Price,€12.60/kg,https://www.tesco.ie/groceries/en-IE/products/264834029,https://digitalcontent.api.tesco.com/v2/media/ghs/737ec7d7-3c80-44bc-90ec-7215a0914c7a/3479e0e7-d323-4fae-8a64-44044cb2d96b_1903254940.jpeg?h=225&w=225
Tesco Cheese & Tomato Fresh Tortelloni 300g,€2.75,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€9.17/kg,https://www.tesco.ie/groceries/en-IE/products/303615495,https://digitalcontent.api.tesco.com/v2/media/ghs/63e11b86-06a3-41ad-8ecf-04a961fd4631/1c0f6701-9e84-442b-a7cb-53772e0f26c7_1230336225.jpeg?h=225&w=225
Tesco Finest Spinach Ricotta Girasoli 250G,€3.75,Any 2 for €6 Clubcard Price - Selected Tesco Finest* Pizza Pasta 250g,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/303615512,https://digitalcontent.api.tesco.com/v2/media/ghs/d0366f66-e8d6-4812-a4e6-3879c207a1a4/ec43e07a-90a4-4f78-8225-9b120985ddaf_706752214.jpeg?h=225&w=225
