Title,Price,Promotional Price,Price Per,Product URL,Image URL
Pizza Da Piero Fresh Pizza Base 280G,€3.99,,€14.25/kg,https://www.tesco.ie/groceries/en-IE/products/278656299,https://digitalcontent.api.tesco.com/v2/media/ghs/25e72c62-145a-43de-81b6-2ec5300792d8/snapshotimagehandler_275943904.jpeg?h=225&w=225
Tesco Pizza Pepperoni 120G,€1.46,,€12.17/kg,https://www.tesco.ie/groceries/en-IE/products/291124830,https://digitalcontent.api.tesco.com/v2/media/ghs/d903fd07-907d-42a3-a042-0c9d6d316062/0e2491ca-e9e8-4662-b5bf-46409af086c2.jpeg?h=225&w=225
Tesco Pepperoni Pizza 280G,€2.50,,€8.93/kg,https://www.tesco.ie/groceries/en-IE/products/310675389,https://digitalcontent.api.tesco.com/v2/media/ghs/97379cbd-5ac6-4b1c-be33-dbd4e01fbb6e/e32e2c9a-29a8-4068-b3f4-349508b5b40c_447343563.jpeg?h=225&w=225
Tesco Stone Baked Margherita Pizza 252G,€2.50,,€9.92/kg,https://www.tesco.ie/groceries/en-IE/products/310691749,https://digitalcontent.api.tesco.com/v2/media/ghs/44f868ae-97d9-4a84-af13-c64e18d1c64a/ac753da7-d9a0-4a33-9ee4-ca3c4e445ed3_696606680.jpeg?h=225&w=225
Tesco Finest Garlic & Parsley Ciabatta 255G,€3.00,Meal Deal for €12.50 Clubcard Price - Buy Any 2 Finest Pizza & 2 Finest Sides Or Drinks,€11.76/kg,https://www.tesco.ie/groceries/en-IE/products/296481201,https://digitalcontent.api.tesco.com/v2/media/ghs/fa381b0b-89d9-47a5-a8fa-4538c7ff0771/c53cf8e9-562e-4878-9e2d-ac51172f79ff.jpeg?h=225&w=225
Tesco 2 Pizza Bases 440G,€3.09,,€7.02/kg,https://www.tesco.ie/groceries/en-IE/products/312991267,https://digitalcontent.api.tesco.com/v2/media/ghs/ec3470eb-9cbd-4130-ae92-7031f470639b/e30100d9-8c03-479c-aacd-1a647e4574f5_303936341.jpeg?h=225&w=225
Tesco Finest Buf/Mozz And Sun Dried Tomato Wdfire Pizza 475G,€5.50,Meal Deal for €12.50 Clubcard Price - Buy Any 2 Finest Pizza & 2 Finest Sides Or Drinks,€11.58/kg,https://www.tesco.ie/groceries/en-IE/products/310179746,https://digitalcontent.api.tesco.com/v2/media/ghs/bbee5850-c84d-4731-a170-1eaa2fe7b9db/f63a81e4-0080-41bb-bb08-3740e0688850_940041640.jpeg?h=225&w=225
Tesco Finest Italian Meats Wdfired Pizza 510G,€5.50,Meal Deal for €12.50 Clubcard Price - Buy Any 2 Finest Pizza & 2 Finest Sides Or Drinks,€10.78/kg,https://www.tesco.ie/groceries/en-IE/products/310686140,https://digitalcontent.api.tesco.com/v2/media/ghs/85a80166-d8b4-45b6-ab22-b5fee13f5af0/168bf259-e4f2-469f-baaf-b34d06dde28f_325849032.jpeg?h=225&w=225
Tesco Finest Garlic & Extra Virgin Olive Oil Flatbread 200G,€3.00,Meal Deal for €12.50 Clubcard Price - Buy Any 2 Finest Pizza & 2 Finest Sides Or Drinks,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/304797553,https://digitalcontent.api.tesco.com/v2/media/ghs/522d3f07-c541-4637-9ee8-42488e4a08a1/25c05a33-21bb-4862-b7a0-6d6b22e59aa7.jpeg?h=225&w=225
Tesco Finest Buf/Mozz And Basil Pesto Wdfired Pizza 220G,€3.50,,€15.91/kg,https://www.tesco.ie/groceries/en-IE/products/310153917,https://digitalcontent.api.tesco.com/v2/media/ghs/3330ef6b-53c4-4f2b-b0de-9274bcdf9605/f51e1308-79fd-4e3d-b199-cef3bc4eec77_576498825.jpeg?h=225&w=225
Tesco Stone Baked Spicy Meat Feast Pizza 305G,€2.50,,€8.20/kg,https://www.tesco.ie/groceries/en-IE/products/309484224,https://digitalcontent.api.tesco.com/v2/media/ghs/67a9673a-af22-45e0-bda2-9a8b5d470eff/f6360e72-29b5-4cbe-839e-0f1e6a2e2df3_505778262.jpeg?h=225&w=225
Tesco Finest Ham Mushroom Mascarpone Wdfired Pizza 510G,€5.50,Meal Deal for €12.50 Clubcard Price - Buy Any 2 Finest Pizza & 2 Finest Sides Or Drinks,€10.78/kg,https://www.tesco.ie/groceries/en-IE/products/310104041,https://digitalcontent.api.tesco.com/v2/media/ghs/4b17e9a0-93b1-4f98-9755-61fcd9a2593e/3c622270-9c41-4ee3-9429-4b8a07ab4399_1325445415.jpeg?h=225&w=225
Tesco Finest Spicy Chicken And Red Pepper Wdfired Pizza 500G,€5.50,Meal Deal for €12.50 Clubcard Price - Buy Any 2 Finest Pizza & 2 Finest Sides Or Drinks,€11.00/kg,https://www.tesco.ie/groceries/en-IE/products/310163807,https://digitalcontent.api.tesco.com/v2/media/ghs/03f75bc3-f8b8-4eaa-a397-586ce70b762e/b56c86c5-b9cb-445a-a75f-e3a100141a8a_736013526.jpeg?h=225&w=225
Pizza Express Margherita Pizza 245G,€6.00,Any 2 for €6 Clubcard Price - Selected Pizza Express Pizza Or Dough Balls 200g-292g,€24.49/kg,https://www.tesco.ie/groceries/en-IE/products/261384030,https://digitalcontent.api.tesco.com/v2/media/ghs/36a9c43a-f043-4be5-aac5-535cc563248a/d14cb217-afe3-40c1-9d00-45b94e68d512.jpeg?h=225&w=225
Tesco Finest Goats Cheese And Chargrilled Pepper Pizza 240G,€3.50,,€14.58/kg,https://www.tesco.ie/groceries/en-IE/products/313170215,https://digitalcontent.api.tesco.com/v2/media/ghs/d17891ac-6f2d-4c68-964f-d1a3abd4af3e/91dca094-dc81-487c-8c40-f88ed358b896_196622211.jpeg?h=225&w=225
Tesco Finest Italian Meats Wood Fired Pizza 239G,€3.50,,€14.64/kg,https://www.tesco.ie/groceries/en-IE/products/310675337,https://digitalcontent.api.tesco.com/v2/media/ghs/865332b6-ec37-4a32-932c-944758dc6dd2/d199feea-7fbf-4e3b-bf3d-ae65994d11c4_182627672.jpeg?h=225&w=225
Tesco Piri Piri Chicken Pizza 312g,€2.50,,€8.01/kg,https://www.tesco.ie/groceries/en-IE/products/315567256,https://digitalcontent.api.tesco.com/v2/media/ghs/a67ad075-b59a-4981-ad23-ce17c12ba672/dfaa008f-49ac-459c-9ac4-ab2826426e51_887094006.jpeg?h=225&w=225
