Title,Price,Promotional Price,Price Per,Product URL,Image URL
Cully & Sully Chicken & Vegetable Soup 400G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/263663706,https://digitalcontent.api.tesco.com/v2/media/ghs/22a5bc73-8d95-4ab2-ac61-6e646567f04b/d84d509b-c769-456a-9b7f-37f6e775ee40.jpeg?h=225&w=225
Cully And Sully Tomato & Basil Soup 400 G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/263663739,https://digitalcontent.api.tesco.com/v2/media/ghs/8a4b640b-4d83-485f-ae1b-cc2265947134/cd93e8af-7ecc-4b48-a60f-56507e590264.jpeg?h=225&w=225
Cully & Sully Vegetable Soup 400G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/259852850,https://digitalcontent.api.tesco.com/v2/media/ghs/bc43b506-8064-485f-b30e-fa4ff2644106/888ad9ef-e9b0-4dee-8174-e39a67a334f0_1479937494.jpeg?h=225&w=225
Tesco Spinach & Ricotta Fresh Tortelloni 300g,€2.75,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€9.17/kg,https://www.tesco.ie/groceries/en-IE/products/299829340,https://digitalcontent.api.tesco.com/v2/media/ghs/0c06ba47-952b-488c-bec7-b0312c9e0065/4998464d-330f-453d-b1d0-c36c013a0439.jpeg?h=225&w=225
Avonmore Fresh Chicken And Vegetable Soup 400G,€2.49,€2.00 Clubcard Price,€6.22/litre,https://www.tesco.ie/groceries/en-IE/products/260792504,https://digitalcontent.api.tesco.com/v2/media/ghs/691a696a-663c-47f7-9743-25c31b0feff8/ab650265-2e9c-4838-81b7-80d599d80023_1320651425.jpeg?h=225&w=225
Mash Direct Mashed Potato 400G,€2.40,Any 3 for €6 Clubcard Price - Selected Mash Direct Ready Meals 280g-400g,€6.00/kg,https://www.tesco.ie/groceries/en-IE/products/260715563,https://digitalcontent.api.tesco.com/v2/media/ghs/2d725c02-4541-47bf-b675-67a28c262397/46d295fd-d40b-46cf-8375-6dc4341c2910.jpeg?h=225&w=225
Tesco Garlic Flatbread 255G,€2.00,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€7.84/kg,https://www.tesco.ie/groceries/en-IE/products/288610223,https://digitalcontent.api.tesco.com/v2/media/ghs/b3fee48f-23e2-4f1d-bdc9-b24e30f017b0/1a52c55b-919d-4fdf-b144-a372c08798ee.jpeg?h=225&w=225
Tesco Meals Made Easy Beef Lasagne 1Kg,€7.00,Any 2 for €12.50 Clubcard Price - Selected Tesco Meals Made Easy Products 1kg,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/300771048,https://digitalcontent.api.tesco.com/v2/media/ghs/1f48a77f-ad8c-4048-b17c-3f17d5a586ec/2d4c09e6-cd00-4b45-b6b5-9b9da8a4aa01_544670138.jpeg?h=225&w=225
Tesco Tomato & Mascarpone Sauce 350G,€2.00,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€5.71/kg,https://www.tesco.ie/groceries/en-IE/products/253174037,https://digitalcontent.api.tesco.com/v2/media/ghs/dc4e94a8-cce6-462e-847f-c5908f1ff62f/42ae034e-a428-45aa-be3d-2bd4d7b8a6a5.jpeg?h=225&w=225
"Tesco Garlic Ciabatta Slice 8 Pack, 360 G",€2.50,Any 3 for 2 Clubcard Price - Cheapest Product Free - Selected Tesco Garlic & Cheese Breads Or Fresh Pasta Or Fresh Pasta Sauces,€6.94/kg,https://www.tesco.ie/groceries/en-IE/products/267114791,https://digitalcontent.api.tesco.com/v2/media/ghs/8ba960c3-35cd-47cb-8245-13d0c7054b3b/38e6483c-9f03-495a-8736-7dcc5948257e.jpeg?h=225&w=225
Carroll's Garlic Butter Baguette 175G,€2.59,€2.00 Clubcard Price,€14.80/kg,https://www.tesco.ie/groceries/en-IE/products/306500194,https://digitalcontent.api.tesco.com/v2/media/ghs/f9d07b44-4cbe-4335-bd4c-4470149dd333/62dfc169-81b8-459c-9e3a-8074e170d4c8.jpeg?h=225&w=225
