Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Finest Potato Gratin 400G,€3.50,,€8.75/kg,https://www.tesco.ie/groceries/en-IE/products/309496734,https://digitalcontent.api.tesco.com/v2/media/ghs/6666c821-2036-4381-bb7a-b3cc6de7f5de/84637d69-3033-4093-b002-424193b769ca_1338511496.jpeg?h=225&w=225
Tesco Meals Made Easy Beef Lasagne 1Kg,€7.00,Any 2 for €12.50 Clubcard Price - Selected Tesco Meals Made Easy Products 1kg,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/300771048,https://digitalcontent.api.tesco.com/v2/media/ghs/1f48a77f-ad8c-4048-b17c-3f17d5a586ec/2d4c09e6-cd00-4b45-b6b5-9b9da8a4aa01_544670138.jpeg?h=225&w=225
Tesco Meals Made Easy Cottage Pie 1Kg,€7.00,Any 2 for €12.50 Clubcard Price - Selected Tesco Meals Made Easy Products 1kg,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/300770929,https://digitalcontent.api.tesco.com/v2/media/ghs/3019ac38-bb75-4033-aba9-66e953c3a2e2/5c11034e-2dbb-4c93-bfc4-5e0f683e4369_333556729.jpeg?h=225&w=225
Tesco Finest Creamy Mashed Potato 400G,€3.50,,€8.75/kg,https://www.tesco.ie/groceries/en-IE/products/309472083,https://digitalcontent.api.tesco.com/v2/media/ghs/3889a771-3a69-4663-a8b3-6bfd9a8f942f/e7b4f411-93c5-4eb2-ad0e-4adaf2b23bc6_1664219217.jpeg?h=225&w=225
Fit Foods Chicken Curry With Brown Rice 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313753943,https://digitalcontent.api.tesco.com/v2/media/ghs/9ca78212-715c-41a3-96cd-e53d87df48ae/8ef2dde3-16e1-440a-ab04-3a0225fda6a5_1817924468.jpeg?h=225&w=225
Fit Foods Wholemeal Pasta Minced Beef And Vegetable Sauce 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313605117,https://digitalcontent.api.tesco.com/v2/media/ghs/b2cdcc09-d9c4-4398-bc6d-9b8cfd2b08c4/3423080b-5aa3-4f9e-9179-c99244ce1e7f_1357257636.jpeg?h=225&w=225
Meals Made Easy Chicken And Broccoli Potato Bake 1Kg,€7.00,Any 2 for €12.50 Clubcard Price - Selected Tesco Meals Made Easy Products 1kg,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/312587467,https://digitalcontent.api.tesco.com/v2/media/ghs/015bcfb0-2b5b-49e2-8d0b-0e3f1152ef18/f8ba4c11-9596-4698-a24b-7e83d8d42f0d_691955318.jpeg?h=225&w=225
Fit Foods Thai Red Chicken Curry And Brown Rice 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313743949,https://digitalcontent.api.tesco.com/v2/media/ghs/35df9440-7d53-4501-b8e4-6d268ec6a488/84bef880-2d86-4f64-9016-762d77275d94_1022292011.jpeg?h=225&w=225
Brady Family Glazed Ham 80G,€2.99,€2.50 Clubcard Price,€37.38/kg,https://www.tesco.ie/groceries/en-IE/products/312340477,https://digitalcontent.api.tesco.com/v2/media/ghs/3df3c982-680c-4435-b6f1-b6f0a495abf3/3543cb5c-e93d-4faf-b9f4-d7babd0b664b_1098798424.jpeg?h=225&w=225
Fit Foods Chicken Chicken Korma With Brown Rice 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313737531,https://digitalcontent.api.tesco.com/v2/media/ghs/8906bc9f-eb3f-4fd1-9f64-0c1d494a16e8/9344d2c7-87c3-4f81-b840-5e4bf9393e78_664705914.jpeg?h=225&w=225
Tesco Meals Made Easy Chicken Pasta Bake 1Kg,€7.00,Any 2 for €12.50 Clubcard Price - Selected Tesco Meals Made Easy Products 1kg,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/300808208,https://digitalcontent.api.tesco.com/v2/media/ghs/24a0955d-a920-4699-94d1-ab5b043a3879/eb8833cb-8f6e-4e2c-af59-b66ca7200539_560352501.jpeg?h=225&w=225
The Craft Chef Potato Gratin And Irish Chedder 400G,€3.00,Any 2 for €5 Clubcard Price - Selected The Crafty Chef Ready To Cook Meat,€7.50/kg,https://www.tesco.ie/groceries/en-IE/products/314585837,https://digitalcontent.api.tesco.com/v2/media/ghs/8879f2b6-a3a9-432c-9ea0-56b116d0b2cf/392d7518-3e4a-4869-b8cc-a72bde942eec_2433044.jpeg?h=225&w=225
Gosh Mediterranean Falafel 171G,€3.00,€2.39 Clubcard Price,€17.54/kg,https://www.tesco.ie/groceries/en-IE/products/314118116,https://digitalcontent.api.tesco.com/v2/media/ghs/e1b42976-532a-422b-84a9-9c859f3a1f43/47925414-6ead-4c93-aadd-e4a1c9fc3216.jpeg?h=225&w=225
Fit Foods Chicken Pasta 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/314578170,https://digitalcontent.api.tesco.com/v2/media/ghs/43d0375e-d24d-460a-b9c8-0bf048a570db/08b0b6da-28d4-4cfa-95c4-a5549d63d3e7_1080133550.jpeg?h=225&w=225
Fit Foods Chicken And Chorizo With Baby Potatoes 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313502982,https://digitalcontent.api.tesco.com/v2/media/ghs/75b2d2b7-01ef-480c-8394-7f71fcc1afa9/dc0e7409-c60f-484a-956f-7211fea35ee8_949767010.jpeg?h=225&w=225
Tesco Finest Three Cheese Cauliflower Bake 400G,€3.50,,€0.01/kg,https://www.tesco.ie/groceries/en-IE/products/310134264,https://digitalcontent.api.tesco.com/v2/media/ghs/7f1b9de3-4947-4ff0-bbaa-a03bb93db137/14f9c86d-3a9c-4b57-acab-9a32ccdf72e8_174169701.jpeg?h=225&w=225
Tesco Mashed Potato 400G,€2.30,,€5.75/kg,https://www.tesco.ie/groceries/en-IE/products/311804553,https://digitalcontent.api.tesco.com/v2/media/ghs/abc34978-3eb7-4b15-a1f0-48ec0715a09f/3cba9532-9a6a-4df0-965c-43fb594176b1_454406783.jpeg?h=225&w=225
Tesco Meals Made Easy Chicken Curry 1Kg,€7.00,Any 2 for €12.50 Clubcard Price - Selected Tesco Meals Made Easy Products 1kg,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/300807958,https://digitalcontent.api.tesco.com/v2/media/ghs/641d7ad3-1d31-4978-8af7-c797bd749b46/5b7be548-c732-42af-9915-0844cddd3319_841846244.jpeg?h=225&w=225
Fit Foods M/Bls With Wholemeal Pasta 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313741174,https://digitalcontent.api.tesco.com/v2/media/ghs/e1010b66-cb3e-416a-ba45-9ecb7e52e0f8/d3640c5b-3203-4dde-b3d5-dc9dbde8521d_1281251867.jpeg?h=225&w=225
Fit Foods Swt/Ch Chicken And Whole Wheat Noodles 400G,€4.50,Any 2 for €8.50 Clubcard Price - Selected Fit Foods Ready Meals 400g,€11.25/kg,https://www.tesco.ie/groceries/en-IE/products/313749767,https://digitalcontent.api.tesco.com/v2/media/ghs/ecad3eae-f73e-423c-80bf-0f9ccf58a6ef/4ebb9a1b-be4b-4c00-9c49-67b352b09e6b_1249690359.jpeg?h=225&w=225
Tesco Finest Goose Fat Irish Potatoes 450G,€3.50,,€7.78/kg,https://www.tesco.ie/groceries/en-IE/products/310146857,https://digitalcontent.api.tesco.com/v2/media/ghs/929ad889-9930-4a31-9fc5-960177503d23/84330f1a-0ee9-4808-b11c-260730c00a26_1934972442.jpeg?h=225&w=225
Tesco Meals Made Easy Beef Casserole 1Kg,€7.00,Any 2 for €12.50 Clubcard Price - Selected Tesco Meals Made Easy Products 1kg,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/300770239,https://digitalcontent.api.tesco.com/v2/media/ghs/25c529a4-1fa3-43f5-aff2-bdb59fdfd280/3c247b74-57ce-45c2-a828-8ddb952110b7_1867476146.jpeg?h=225&w=225
