Title,Price,Promotional Price,Price Per,Product URL,Image URL
Rustlers Quarter Pounder Cheese Burger 190 G,€2.50,,€13.16/kg,https://www.tesco.ie/groceries/en-IE/products/255956906,https://digitalcontent.api.tesco.com/v2/media/ghs/6adf18f2-9f00-4e06-b425-02ecee2c2bf8/1ae68c7e-5341-44aa-88c6-0f700e4b0e61.jpeg?h=225&w=225
Rustlers Bbq Pork Rib Sandwich 157G,€2.50,,€15.92/kg,https://www.tesco.ie/groceries/en-IE/products/282997603,https://digitalcontent.api.tesco.com/v2/media/ghs/a467ef80-ac89-406a-b39f-79095d7e27ac/c9d019b1-b527-4a79-bb4d-526444723014.jpeg?h=225&w=225
Cully And Sully Chicken And Vegetable Soup 280G,€1.95,,€6.96/kg,https://www.tesco.ie/groceries/en-IE/products/305119843,https://digitalcontent.api.tesco.com/v2/media/ghs/a6f7c3c5-a6d9-4868-a1a5-124edd60ab82/11565e11-3207-4896-9f31-860da722f12b_803983154.jpeg?h=225&w=225
Rustlers Chicken Sandwich 150G,€2.50,€2.00 Clubcard Price,€16.67/kg,https://www.tesco.ie/groceries/en-IE/products/255956866,https://digitalcontent.api.tesco.com/v2/media/ghs/a9fb97df-2f50-479d-a39e-7c736af98bf7/3f1e3d01-19a2-4ed4-9785-1832095a0314_919336747.jpeg?h=225&w=225
Tesco Chicken Tikka Wrap 186G,€3.75,Meal Deal for €4.49 - Buy Any 1 Pasta Or Wrap Or Sandwich Or Salad Or Sushi & 1 Crisp Or Fruit & 1 Drink,€20.16/kg,https://www.tesco.ie/groceries/en-IE/products/277600125,https://digitalcontent.api.tesco.com/v2/media/ghs/0a43123b-1d6e-4433-8d3f-16a2da1cddcd/snapshotimagehandler_243006952.jpeg?h=225&w=225
Rustlers Hot Dog 146G,€1.95,€1.75 Clubcard Price,€13.36/kg,https://www.tesco.ie/groceries/en-IE/products/253141802,https://digitalcontent.api.tesco.com/v2/media/ghs/d2802769-a61e-41aa-a163-8aabd804e490/3f4c7142-5801-415a-88cb-111f21875c7d_1398756653.jpeg?h=225&w=225
Rustlers All Day Breakfast Sausage Muffin 155G,€2.50,,€16.13/kg,https://www.tesco.ie/groceries/en-IE/products/300903602,https://digitalcontent.api.tesco.com/v2/media/ghs/f3b7e623-20ff-4516-9322-0a02db1dca68/8a158b5a-365c-436d-9861-27a549865333.jpeg?h=225&w=225
Everest Hi Protein Mint Pudding 200G,€1.50,Meal Deal for €4.49 - Buy Any 1 Pasta Or Wrap Or Sandwich Or Salad Or Sushi & 1 Crisp Or Fruit & 1 Drink,€7.50/kg,https://www.tesco.ie/groceries/en-IE/products/310692126,https://digitalcontent.api.tesco.com/v2/media/ghs/ee7dde89-6760-4573-8671-7ce54be47830/0cd41e9d-6814-4975-a9df-ed6689cab6cd_786246839.jpeg?h=225&w=225
Country Kitchen Roasted Vegetable Cous Cous 220G,€2.25,,€10.23/kg,https://www.tesco.ie/groceries/en-IE/products/309402806,https://digitalcontent.api.tesco.com/v2/media/ghs/035f854f-556c-4cfa-97e3-ebecf4710334/b75a8c9c-6cf8-4435-97cf-6b7d542a1e3e.jpeg?h=225&w=225
Everest Hipro Chocolate Flavoured Prtn Pudding 200G,€1.50,Meal Deal for €4.49 - Buy Any 1 Pasta Or Wrap Or Sandwich Or Salad Or Sushi & 1 Crisp Or Fruit & 1 Drink,€7.50/kg,https://www.tesco.ie/groceries/en-IE/products/307361563,https://digitalcontent.api.tesco.com/v2/media/ghs/224412ec-35df-4034-88b4-af01e041b097/snapshotimagehandler_803513151.jpeg?h=225&w=225
