Title,Price,Promotional Price,Price Per,Product URL,Image URL
Cully & Sully Chicken & Vegetable Soup 400G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/263663706,https://digitalcontent.api.tesco.com/v2/media/ghs/22a5bc73-8d95-4ab2-ac61-6e646567f04b/d84d509b-c769-456a-9b7f-37f6e775ee40.jpeg?h=225&w=225
Tesco Chicken And Vegetable Soup 400G,€1.80,,€4.50/kg,https://www.tesco.ie/groceries/en-IE/products/300822611,https://digitalcontent.api.tesco.com/v2/media/ghs/d1e3688a-082a-41b6-a407-4adccd6c63c5/snapshotimagehandler_508802452.jpeg?h=225&w=225
Cully And Sully Tomato & Basil Soup 400 G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/263663739,https://digitalcontent.api.tesco.com/v2/media/ghs/8a4b640b-4d83-485f-ae1b-cc2265947134/cd93e8af-7ecc-4b48-a60f-56507e590264.jpeg?h=225&w=225
Tesco Tomato And Basil Soup 400G,€1.80,,€4.50/kg,https://www.tesco.ie/groceries/en-IE/products/300822732,https://digitalcontent.api.tesco.com/v2/media/ghs/7941ed5a-4fe9-4c90-90de-3605aa3e0881/snapshotimagehandler_465777348.jpeg?h=225&w=225
Cully & Sully Vegetable Soup 400G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/259852850,https://digitalcontent.api.tesco.com/v2/media/ghs/bc43b506-8064-485f-b30e-fa4ff2644106/888ad9ef-e9b0-4dee-8174-e39a67a334f0_1479937494.jpeg?h=225&w=225
Tesco Vegetable Soup 400G,€1.80,,€4.50/kg,https://www.tesco.ie/groceries/en-IE/products/300822679,https://digitalcontent.api.tesco.com/v2/media/ghs/2fbef6c7-ff8e-4d30-8d4b-ad977372d458/snapshotimagehandler_1976732804.jpeg?h=225&w=225
Avonmore Fresh Chicken And Vegetable Soup 400G,€2.49,€2.00 Clubcard Price,€6.22/litre,https://www.tesco.ie/groceries/en-IE/products/260792504,https://digitalcontent.api.tesco.com/v2/media/ghs/691a696a-663c-47f7-9743-25c31b0feff8/ab650265-2e9c-4838-81b7-80d599d80023_1320651425.jpeg?h=225&w=225
Avonmore Soup Fresh Cream Of Chicken 400G,€2.49,€2.00 Clubcard Price,€6.22/kg,https://www.tesco.ie/groceries/en-IE/products/273983149,https://digitalcontent.api.tesco.com/v2/media/ghs/1ba318c2-7ba4-42fb-919e-eb41ff0b8f50/e8eefe73-07b5-4240-8a71-cf0d1b8e9248_1423750726.jpeg?h=225&w=225
Cully&Sully Smoked Haddock&Salmon Chowder 400G,€2.99,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.48/kg,https://www.tesco.ie/groceries/en-IE/products/278049407,https://digitalcontent.api.tesco.com/v2/media/ghs/f41b3f77-aaf0-4293-a14f-5ae90caa2de4/cab3bd0f-8fa9-446a-96b2-243b1d02c0d9.jpeg?h=225&w=225
Avonmore Chicken And Vegetable Soup 700G,€3.69,,€5.27/kg,https://www.tesco.ie/groceries/en-IE/products/285049351,https://digitalcontent.api.tesco.com/v2/media/ghs/2d835c52-fd0f-4205-86d8-7f711f7e9412/960a0b0c-3d38-40a7-bf79-f08699646332_55211851.jpeg?h=225&w=225
Avonmore Farmers Choice Mixed Vegetable 400G,€2.49,€2.00 Clubcard Price,€6.22/litre,https://www.tesco.ie/groceries/en-IE/products/260791995,https://digitalcontent.api.tesco.com/v2/media/ghs/72fecdab-7015-434f-b708-ace7108fa9eb/4c381fef-4cb3-43cc-be75-84f4c6902443_1416494723.jpeg?h=225&w=225
Tesco Finest* Creamy Root Vegetable And Butternut Squash Soup 400G,€2.00,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/306812971,https://digitalcontent.api.tesco.com/v2/media/ghs/bff3ed99-d0c7-4cfe-9fff-a93b90fb1237/snapshotimagehandler_676504469.jpeg?h=225&w=225
Cully And Sully Honey Carrot And Coriander Soup 400G,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/263663666,https://digitalcontent.api.tesco.com/v2/media/ghs/e9d8655b-0ecf-4581-b984-6af70e6feacb/snapshotimagehandler_1726325307.jpeg?h=225&w=225
Tesco Finest* Tomato With Mascarpone And Fresh Basil Soup 400G,€2.00,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/306654610,https://digitalcontent.api.tesco.com/v2/media/ghs/62c0d7e7-707b-4c3d-8e47-6135a8c2f2fb/snapshotimagehandler_1329416990.jpeg?h=225&w=225
Cully And Sully Mushroom Soup 400G,€2.89,€2.25 Clubcard Price,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/263663653,https://digitalcontent.api.tesco.com/v2/media/ghs/a26d796f-1c34-4aee-ae82-ee73b28b9305/snapshotimagehandler_18771054.jpeg?h=225&w=225
Avonmore Tomato And Basil Soup 400G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/260792435,https://digitalcontent.api.tesco.com/v2/media/ghs/27a4f6dd-d655-40df-beab-c637783238da/3f1c1e56-fe8f-488c-839a-e6dc7cc401a4_816766456.jpeg?h=225&w=225
Cully And Sully Chicken & Vegetable Soup 750G,€3.79,,€5.05/kg,https://www.tesco.ie/groceries/en-IE/products/285858234,https://digitalcontent.api.tesco.com/v2/media/ghs/3bb72677-3a7f-49fb-b893-f643537cb544/snapshotimagehandler_892479883.jpeg?h=225&w=225
Avonmore Leek&Potato Soup 400G,€2.49,€2.00 Clubcard Price,€6.22/kg,https://www.tesco.ie/groceries/en-IE/products/273981543,https://digitalcontent.api.tesco.com/v2/media/ghs/9add5342-070b-47f5-9cd7-c7c60d1aa27a/9bdd2d8b-a401-44e6-8596-064cc7da1377_845042180.jpeg?h=225&w=225
Avonmore Soup Slow Cook Chick And Vegetable 400G,€2.69,,€6.72/kg,https://www.tesco.ie/groceries/en-IE/products/290538796,https://digitalcontent.api.tesco.com/v2/media/ghs/5108c195-80be-4ea4-b39b-2eb07cc800bf/15793b9d-ac37-43be-89c0-eeefc98c2571_265498051.jpeg?h=225&w=225
Tesco Finest* Hearty Swt/Pot And Irish Chicken Soup 400G,€2.00,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/306806190,https://digitalcontent.api.tesco.com/v2/media/ghs/45fb193a-63d8-4f33-9f7f-aa726c015fc7/snapshotimagehandler_767388908.jpeg?h=225&w=225
Avonmore Low Fat Tomato And Basil Soup 400G,€2.49,€2.00 Clubcard Price,€6.22/kg,https://www.tesco.ie/groceries/en-IE/products/264499726,https://digitalcontent.api.tesco.com/v2/media/ghs/5637d926-7963-4344-a93b-9c0823f94fa2/7cab8bae-a7f5-44ce-bfe6-fa8e000e5abc_1640617261.jpeg?h=225&w=225
Avonmore Fresh Tomato And Basil Soup 700G,€3.69,,€5.27/kg,https://www.tesco.ie/groceries/en-IE/products/285049230,https://digitalcontent.api.tesco.com/v2/media/ghs/46ca2fae-2725-4424-a3be-82fedd0b9c57/f90a9c84-63ac-4b64-baa3-5db1046b5052_367687330.jpeg?h=225&w=225
Avonmore Fresh Chicken Soup 700G,€3.69,,€5.27/kg,https://www.tesco.ie/groceries/en-IE/products/285049299,https://digitalcontent.api.tesco.com/v2/media/ghs/18bc6e59-3fec-4a0a-a0bd-0f6d96601db1/1dd7067c-6513-428a-9f48-eee08e79a81d_2142518468.jpeg?h=225&w=225
Avonmore Farmers Choice Mix Vegetable Soup 700G,€3.69,,€5.27/kg,https://www.tesco.ie/groceries/en-IE/products/285049178,https://digitalcontent.api.tesco.com/v2/media/ghs/3e952241-bcf0-4359-b230-6a6801247b2c/9927601f-9b74-498c-be94-e9fb5c9ba0fa_621847878.jpeg?h=225&w=225
