Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Irish Round Beef Steak Mince 10% Fat 554G,€4.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/298004753,https://digitalcontent.api.tesco.com/v2/media/ghs/66b4d6fd-41d1-45ad-a88e-f1b4911f39a9/snapshotimagehandler_255386595.jpeg?h=225&w=225
Tesco Whole Chicken 1200G,€4.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€3.75/kg,https://www.tesco.ie/groceries/en-IE/products/288390793,https://digitalcontent.api.tesco.com/v2/media/ghs/477fff45-474e-4372-9f49-aa98d9e45050/snapshotimagehandler_392477010.jpeg?h=225&w=225
Tesco Chicken Mini Fillets 45G,€4.25,€3.75 Clubcard Price,€9.44/kg,https://www.tesco.ie/groceries/en-IE/products/304073799,https://digitalcontent.api.tesco.com/v2/media/ghs/2aeea851-fa4f-42b8-84d2-f6e8b5a2db71/3d353f98-fd49-4dce-8330-830a737b8cd4_1234050834.jpeg?h=225&w=225
Tesco Irish Chicken Breast Fillets 705G,€7.89,,€11.19/kg,https://www.tesco.ie/groceries/en-IE/products/314113156,https://digitalcontent.api.tesco.com/v2/media/ghs/1f0729ed-9ddb-4cd8-86cf-c16e08fd4372/977f72cd-7e25-40f0-9b26-93803b406002_1558617273.jpeg?h=225&w=225
Tesco Irish Chicken Breast Fillets 500G,€5.99,,€11.98/kg,https://www.tesco.ie/groceries/en-IE/products/313963527,https://digitalcontent.api.tesco.com/v2/media/ghs/14f3fe8b-b249-41e9-848e-ad9b2f282fd5/0fc3d99a-1079-4380-b038-dd660ccfadd7_374633059.jpeg?h=225&w=225
Tesco Irish Lean Beef Steak Mince 5% Fat 470G,€4.00,,€8.51/kg,https://www.tesco.ie/groceries/en-IE/products/312984849,https://digitalcontent.api.tesco.com/v2/media/ghs/769ce88e-7b72-4672-8c88-11841047275b/e51c21b7-cbc5-46ca-aaee-c8e5b6443ad0_1697629863.jpeg?h=225&w=225
Tesco Diced Beef 335G,€3.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€10.45/kg,https://www.tesco.ie/groceries/en-IE/products/303845844,https://digitalcontent.api.tesco.com/v2/media/ghs/0fb1687a-00d2-4b17-86d9-2c9a18e9a496/snapshotimagehandler_867623157.jpeg?h=225&w=225
Tesco Unsmoked Irish Bacon Rashers 225G,€2.50,€2.00 Clubcard Price,€11.11/kg,https://www.tesco.ie/groceries/en-IE/products/292621354,https://digitalcontent.api.tesco.com/v2/media/ghs/356004b8-fe66-4825-86c6-ce16a4e0b26c/snapshotimagehandler_1247513226.jpeg?h=225&w=225
Tesco Finest Irish Pork Sausages 454G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/266719388,https://digitalcontent.api.tesco.com/v2/media/ghs/f4bb98e5-37c1-487d-9acf-e0d6938170e1/snapshotimagehandler_708878707.jpeg?h=225&w=225
Clonakilty Pork Sausages 454G,€3.90,,€8.59/kg,https://www.tesco.ie/groceries/en-IE/products/258108501,https://digitalcontent.api.tesco.com/v2/media/ghs/c88de752-f759-4a9a-9fa7-a1c089cf9fd5/6d404c24-6c26-4386-95e3-ba1c2897b38d_691420574.jpeg?h=225&w=225
