Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Breaded Chicken Goujons 540G,€4.15,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€7.68/kg,https://www.tesco.ie/groceries/en-IE/products/285091909,https://digitalcontent.api.tesco.com/v2/media/ghs/792bd2ef-cce3-4cb6-9b10-5416b918d654/02ea681c-1fc3-4391-a57f-0892fae767c8.jpeg?h=225&w=225
Tesco 2 Breaded Garlic Chicken Kievs 270G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/307733170,https://digitalcontent.api.tesco.com/v2/media/ghs/6396807a-9be0-4f1b-ab2a-b95ee9d4ed7c/170cb5f3-3447-459d-a1d3-779d31f568fe.jpeg?h=225&w=225
Tesco Southern Fried Chicken Goujons 540G,€4.15,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€7.68/kg,https://www.tesco.ie/groceries/en-IE/products/285091944,https://digitalcontent.api.tesco.com/v2/media/ghs/9853cec8-981e-41e3-9076-77d76751a1fb/snapshotimagehandler_1320290968.jpeg?h=225&w=225
Tesco Breaded Chicken Mini Fillets 305G,€3.00,,€9.84/kg,https://www.tesco.ie/groceries/en-IE/products/264566899,https://digitalcontent.api.tesco.com/v2/media/ghs/c46909bc-c55f-45b5-8be0-2f0fa0c5523c/f4e392a4-3548-4230-8666-e5f796d28089.jpeg?h=225&w=225
Mp Garlic And Herb Kiev 2'S 260G-Promo,€3.75,€2.50 Clubcard Price,€14.42/kg,https://www.tesco.ie/groceries/en-IE/products/290963257,https://digitalcontent.api.tesco.com/v2/media/ghs/3145b8a2-bf58-4989-80f7-d0dff1cdbd22/snapshotimagehandler_1492852804.jpeg?h=225&w=225
Tesco Southern Fried Breaded Chicken Mini Fillets 305G,€3.00,,€9.84/kg,https://www.tesco.ie/groceries/en-IE/products/264566997,https://digitalcontent.api.tesco.com/v2/media/ghs/28a1fa60-f426-484a-b8bf-eab99e298ba6/268f4385-f106-4b9b-8ae6-abce7c90d24d.jpeg?h=225&w=225
Tesco 2 Cheese & Bacon Chicken Kiev 260G,€1.69,,€6.50/kg,https://www.tesco.ie/groceries/en-IE/products/304406482,https://digitalcontent.api.tesco.com/v2/media/ghs/87a8dae9-aeca-4d5d-827d-757eb124d384/1495f138-6f97-41fe-a48f-a347d589040f.jpeg?h=225&w=225
Tesco Breaded Chicken Steaks 4 Pack 505G,€3.00,€2.50 Clubcard Price,€5.94/kg,https://www.tesco.ie/groceries/en-IE/products/264567506,https://digitalcontent.api.tesco.com/v2/media/ghs/73e072a3-c782-4132-a719-84a2abf43f10/ff9b0ed3-3c78-4491-bb49-412d69f38f17.jpeg?h=225&w=225
Tesco Southern Fried Breaded Chicken Steaks 4 Pack 505G,€3.00,€2.50 Clubcard Price,€5.94/kg,https://www.tesco.ie/groceries/en-IE/products/264567593,https://digitalcontent.api.tesco.com/v2/media/ghs/b9d8119b-7735-4071-b2d2-e2ae57d0e4d4/b5b70644-9b01-4f1c-a792-b2816ab8e815.jpeg?h=225&w=225
Tesco Southern Fried Breaded Chicken Fillets 300G,€3.50,,€11.67/kg,https://www.tesco.ie/groceries/en-IE/products/281260768,https://digitalcontent.api.tesco.com/v2/media/ghs/c46f2764-e5e2-4c6a-84d5-83ed332a4294/2f2aba72-3ffe-4398-b209-ff543f686704.jpeg?h=225&w=225
Moy Park Breaded Goujons Mega Pack 700G,€5.50,,€7.86/kg,https://www.tesco.ie/groceries/en-IE/products/260519778,https://digitalcontent.api.tesco.com/v2/media/ghs/b92c000c-43b1-4dd8-94dd-d4b4d3aca4d3/899642d0-d25e-40b5-8731-fd92f939a639_1227982214.jpeg?h=225&w=225
Tesco Creamy Garlic Chicken Kievs 4X130g,€2.60,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/304379530,https://digitalcontent.api.tesco.com/v2/media/ghs/0ed8b0a4-d1b5-44c4-a9ec-125ee1a80b1d/snapshotimagehandler_1254146156.jpeg?h=225&w=225
Moy Park Breaded Mini Fillets 300G,€5.50,,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/277663522,https://digitalcontent.api.tesco.com/v2/media/ghs/52897503-ae32-491b-8394-eb1d75efdc3f/f1a8c255-4de9-4a65-81a2-9e44c742411b_2143538886.jpeg?h=225&w=225
Mp Homestyle Hot'n'spicy Mini Fillet 300G,€5.50,,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/297925119,https://digitalcontent.api.tesco.com/v2/media/ghs/8c3e2114-a603-47c1-ac23-63dde8e03a95/c2de5290-789f-4ec4-9aca-e820c28ab0a7_1228595019.jpeg?h=225&w=225
Rosie & Jim Breaded Goujon 300G,€4.99,,€16.63/kg,https://www.tesco.ie/groceries/en-IE/products/307302450,https://digitalcontent.api.tesco.com/v2/media/ghs/614b5eb0-f2de-4ff3-8ed1-2d3b182bec6d/5efeeac1-4cbf-48e9-8413-e90dab4dab1c.jpeg?h=225&w=225
Rosie & Jim Garlic Kievs 300G,€4.99,,€16.63/kg,https://www.tesco.ie/groceries/en-IE/products/307302719,https://digitalcontent.api.tesco.com/v2/media/ghs/9e5d6deb-e921-4498-8307-e0dc36fc3326/1b1a8b44-0e77-4aeb-acdc-4a3a0a3e2b9c.jpeg?h=225&w=225
Rosie & Jim Southern Fried Goujons 300G,€4.99,,€16.63/kg,https://www.tesco.ie/groceries/en-IE/products/307302692,https://digitalcontent.api.tesco.com/v2/media/ghs/db1b9bf9-7eba-496f-9547-75e86d8ffb17/9b03c29f-cb23-439a-8560-869fce4330ee.jpeg?h=225&w=225
Rosie & Jim Breaded Fillets 280G,€4.99,,€17.82/kg,https://www.tesco.ie/groceries/en-IE/products/307302749,https://digitalcontent.api.tesco.com/v2/media/ghs/8b89c97f-2a9a-4f45-8df0-db258b664c3d/a2faf42b-46d5-4d55-bdd9-3da38501144c.jpeg?h=225&w=225
Tesco Southern Fried Chicken Thighs & Drumsticks 800G,€5.00,,€6.25/kg,https://www.tesco.ie/groceries/en-IE/products/304406171,https://digitalcontent.api.tesco.com/v2/media/ghs/b910cf8c-4106-4748-93ba-8aa7264ce4d5/17592bc0-5f87-4eac-955b-2c3e8e3e4ec3.jpeg?h=225&w=225
Rosie & Jim Southern Fried Fillets 280G,€4.99,,€17.82/kg,https://www.tesco.ie/groceries/en-IE/products/307302882,https://digitalcontent.api.tesco.com/v2/media/ghs/72f0738d-b32e-4593-9baf-74b109fe4548/e0a52482-9ea6-4853-be01-555bdbda1069.jpeg?h=225&w=225
