Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Irish Unsmoked Ham Fillet 0.186Kg-0.990Kg,€9.27,€6.88 per kg Clubcard Price,€10.27/kg,https://www.tesco.ie/groceries/en-IE/products/314819813,https://digitalcontent.api.tesco.com/v2/media/ghs/d75e5e10-1701-45bb-9704-590eae98fd23/4c913050-8662-4520-ba82-8c4af7bcd932_1618385002.jpeg?h=225&w=225
Tesco Irish Unsmoked Back Bacon Joint 1.122Kg-1.690G,€7.03,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/315067554,https://digitalcontent.api.tesco.com/v2/media/ghs/ce00006a-3178-4697-8a9f-bd3ded7773e4/50973fde-c478-4125-b5f1-7cdfd43e5ad0_277950382.jpeg?h=225&w=225
Tesco Irish Unsmoked Back Bacon Joint 0.670Kg-1.290Kg,€8.21,€6.27 per kg Clubcard Price,€9.36/kg,https://www.tesco.ie/groceries/en-IE/products/314951373,https://digitalcontent.api.tesco.com/v2/media/ghs/a83396b8-5d25-4dc2-9ae9-a675a443947c/2e174984-b233-41e7-a756-38f90efa1097_1562520949.jpeg?h=225&w=225
Tesco Irish Bacon Chops 800G,€6.50,€6.00 Clubcard Price,€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/293459222,https://digitalcontent.api.tesco.com/v2/media/ghs/e1ae5ac1-b546-45aa-856f-0c72e7a5470b/f940d49a-6837-4571-bdc4-6c073d1eb76a_1866830078.jpeg?h=225&w=225
Tesco Irish Unsmoked Bacon Eye Loin 0.663Kg-1.334Kg,€9.54,€7.69 per kg Clubcard Price,€11.48/kg,https://www.tesco.ie/groceries/en-IE/products/315055234,https://digitalcontent.api.tesco.com/v2/media/ghs/13f504d8-cdf5-4422-a9e4-4e69cd494dab/5202fb23-55fa-4b1d-8c35-fd800900f0d4_802242200.jpeg?h=225&w=225
Tesco Irish Smoked Ham Fillet 1.317Kg -1.420Kg,€8.10,,€6.15/kg,https://www.tesco.ie/groceries/en-IE/products/314948395,https://digitalcontent.api.tesco.com/v2/media/ghs/f0557cbb-b782-489d-806e-c429b5194ecf/a7aee1e9-be08-48ba-8fb8-1038d0e9a2a4_451020166.jpeg?h=225&w=225
Tesco Irish Unsmoked Ham Fillet 1.428Kg-1.2132Kg,€11.99,€5.00 per kg Clubcard Price,€7.47/kg,https://www.tesco.ie/groceries/en-IE/products/315050619,https://digitalcontent.api.tesco.com/v2/media/ghs/2d7fc306-9495-4522-b5a1-6d96912963f9/3c0c7db6-fb64-4626-be9c-459ea7f0db24_935041124.jpeg?h=225&w=225
Tesco Irish Smoked Back Bacon Joint 0.969Kg-1.870Kg,€7.55,,€6.32/kg,https://www.tesco.ie/groceries/en-IE/products/315064822,https://digitalcontent.api.tesco.com/v2/media/ghs/1892aef8-4aef-46c4-be62-602c37844f75/7c981338-72b3-49c7-b262-4919b0d219cb_1510640578.jpeg?h=225&w=225
Oak Park Bacon Loin Ribs 500G,€6.99,,€13.98/kg,https://www.tesco.ie/groceries/en-IE/products/283301862,https://digitalcontent.api.tesco.com/v2/media/ghs/ef9b5b7f-ed51-4db1-bb0e-5a4926eca4da/4d7e8919-aa12-4697-92c2-b4d589bf3fdc_2071874552.jpeg?h=225&w=225
Tesco Irish Unsmoked Ham Fillet 1.734Kg-2.330Kg,€16.76,€5.52 per kg Clubcard Price,€8.25/kg,https://www.tesco.ie/groceries/en-IE/products/314945369,https://digitalcontent.api.tesco.com/v2/media/ghs/310b8946-e2a9-45bd-86e0-39efa96a6138/e6fe4ce3-678c-45a5-909d-ac7cf4980767_131733159.jpeg?h=225&w=225
Tesco Irish Unsmoked Ham Fillet 2.856Kg-3.530Kg,€16.64,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/314949100,https://digitalcontent.api.tesco.com/v2/media/ghs/8347aa8f-89de-4468-b92a-ee4d0f147f8c/9f765d3e-1581-491a-a682-12d0338d8c27_1557843800.jpeg?h=225&w=225
Tesco Finest Dry Cure Ham Fillet With Mp Glaze 2.1Kg,€25.00,,€11.90/kg,https://www.tesco.ie/groceries/en-IE/products/312698664,https://digitalcontent.api.tesco.com/v2/media/ghs/c1ebf481-e2d0-4781-bab6-6d7e44d92c57/0fc9d3d8-9038-4e35-859d-3eb1f11f2034_463580199.jpeg?h=225&w=225
