Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Irish Round Beef Steak Mince 10% Fat 554G,€4.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/298004753,https://digitalcontent.api.tesco.com/v2/media/ghs/66b4d6fd-41d1-45ad-a88e-f1b4911f39a9/snapshotimagehandler_255386595.jpeg?h=225&w=225
Tesco Irish Lean Beef Steak Mince 5% Fat 470G,€4.00,,€8.51/kg,https://www.tesco.ie/groceries/en-IE/products/312984849,https://digitalcontent.api.tesco.com/v2/media/ghs/769ce88e-7b72-4672-8c88-11841047275b/e51c21b7-cbc5-46ca-aaee-c8e5b6443ad0_1697629863.jpeg?h=225&w=225
Tesco Diced Beef 335G,€3.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€10.45/kg,https://www.tesco.ie/groceries/en-IE/products/303845844,https://digitalcontent.api.tesco.com/v2/media/ghs/0fb1687a-00d2-4b17-86d9-2c9a18e9a496/snapshotimagehandler_867623157.jpeg?h=225&w=225
Tesco Irish Lean Beef Steak Mince 5% Fat 797G,€8.00,,€10.04/kg,https://www.tesco.ie/groceries/en-IE/products/293479411,https://digitalcontent.api.tesco.com/v2/media/ghs/725cce90-d4de-4109-9312-dae10c32ab23/snapshotimagehandler_1064272216.jpeg?h=225&w=225
Tesco Finest Angus Lean Beef Mince 5% Fat500g,€5.45,€4.95 Clubcard Price,€10.90/kg,https://www.tesco.ie/groceries/en-IE/products/303845775,https://digitalcontent.api.tesco.com/v2/media/ghs/456bae17-1f4f-4043-bfbc-43d407c71562/af2de8ce-b2b1-4216-98ae-aefed4ba9cf2_668326178.jpeg?h=225&w=225
Tesco Irish 50% Reduced Fat Beef Burgers 454G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€8.81/kg,https://www.tesco.ie/groceries/en-IE/products/310171052,https://digitalcontent.api.tesco.com/v2/media/ghs/af918b64-db53-4a26-af9b-d6c572905ac0/14d353dc-7c8b-497d-906d-3667a838b104_317421945.jpeg?h=225&w=225
Tesco Irish Sirloin Steak 266G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/299774772,https://digitalcontent.api.tesco.com/v2/media/ghs/23917620-e754-4333-85fe-d9d0a73d83d2/snapshotimagehandler_1432605147.jpeg?h=225&w=225
Tesco Low Fat Irish Lean Beef Mince 3% Fat 454g,€5.00,€4.50 Clubcard Price,€11.01/kg,https://www.tesco.ie/groceries/en-IE/products/315149417,https://digitalcontent.api.tesco.com/v2/media/ghs/c71d5f94-39b3-4823-9b79-075728b23ef0/72ff8f0d-044a-4474-b959-dadad030e49c_1621791247.jpeg?h=225&w=225
Tesco Diced Beef 565G,€5.50,,€9.74/kg,https://www.tesco.ie/groceries/en-IE/products/303845815,https://digitalcontent.api.tesco.com/v2/media/ghs/6ed2b198-203c-4ff2-83ef-fd7465615d2e/snapshotimagehandler_795410356.jpeg?h=225&w=225
Tesco Irish Beef Meatballs 349G,€2.50,,€7.16/kg,https://www.tesco.ie/groceries/en-IE/products/289970007,https://digitalcontent.api.tesco.com/v2/media/ghs/2b4d23f2-05e6-4291-8338-9a2e714773a9/snapshotimagehandler_1389705204.jpeg?h=225&w=225
Tesco Finest Irish Angus Quarter Pounde Beef Burger 454G,€4.25,,€9.36/kg,https://www.tesco.ie/groceries/en-IE/products/273287484,https://digitalcontent.api.tesco.com/v2/media/ghs/fb87420d-3818-43e5-86da-736f8738b304/84afcba7-9a38-4171-a714-0f937745106f_1847030086.jpeg?h=225&w=225
Tesco Irish Beef Mince 18% Fat 1.028Kg,€4.49,,€4.37/kg,https://www.tesco.ie/groceries/en-IE/products/303433646,https://digitalcontent.api.tesco.com/v2/media/ghs/4fc19f8f-1e0f-4e4f-a2bf-aee4e410b21f/snapshotimagehandler_1951306403.jpeg?h=225&w=225
Tesco Irish Thin Sliced Steak 300G,€5.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€16.67/kg,https://www.tesco.ie/groceries/en-IE/products/286866931,https://digitalcontent.api.tesco.com/v2/media/ghs/798b93bd-b0ba-4855-92c4-f21255f90876/snapshotimagehandler_2020646419.jpeg?h=225&w=225
Tesco Irish Beef Striploin Steak 454G,€7.00,,€15.42/kg,https://www.tesco.ie/groceries/en-IE/products/302441027,https://digitalcontent.api.tesco.com/v2/media/ghs/fdc5826e-79fb-4116-84fe-0dc903fd98b6/snapshotimagehandler_2075673583.jpeg?h=225&w=225
Tesco Finest 2 Irish Angus 6Oz Beef Burgers 340G,€3.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€10.29/kg,https://www.tesco.ie/groceries/en-IE/products/311253417,https://digitalcontent.api.tesco.com/v2/media/ghs/2137a777-1829-4974-b006-5ad678396553/7f09f205-d2b7-4879-997b-ff784fda8a06_1648246132.jpeg?h=225&w=225
Tesco Irish Beef Mince 355G 18% Fat,€2.75,€2.50 Clubcard Price,€7.75/kg,https://www.tesco.ie/groceries/en-IE/products/298004177,https://digitalcontent.api.tesco.com/v2/media/ghs/74d87956-d16b-499f-b179-4a9d8f05d197/snapshotimagehandler_625859725.jpeg?h=225&w=225
Tesco Irish Family Meatball Pack 720G,€4.50,,€6.25/kg,https://www.tesco.ie/groceries/en-IE/products/290456973,https://digitalcontent.api.tesco.com/v2/media/ghs/42602150-fb09-41f8-b358-6cbf5e319e34/snapshotimagehandler_1316299915.jpeg?h=225&w=225
Tesco Irish Striploin Steak 616G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/299156323,https://digitalcontent.api.tesco.com/v2/media/ghs/27850e11-b440-4ef8-911b-4c362f23d2f9/snapshotimagehandler_1517746186.jpeg?h=225&w=225
Tesco 4 Quarter Pounder Irish Beef Burgers 454G,€3.60,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€7.93/kg,https://www.tesco.ie/groceries/en-IE/products/307159360,https://digitalcontent.api.tesco.com/v2/media/ghs/5d0cc9df-f862-4dda-b667-904bb53ac5e2/3c1ea0a1-2af5-4e00-a490-6f968dbe0f4b_1923150995.jpeg?h=225&w=225
Tesco Finest* Irish Angus Striploin Steak 454G,€10.89,,€23.99/kg,https://www.tesco.ie/groceries/en-IE/products/290340194,https://digitalcontent.api.tesco.com/v2/media/ghs/5991d3c8-6950-4493-ab60-3158f3b5b28a/aa96829e-d10a-46ec-855c-8542f39d10d9_2143103533.jpeg?h=225&w=225
Tesco Irish Beef Stir Fry 350G,€3.72,,€10.63/kg,https://www.tesco.ie/groceries/en-IE/products/303484809,https://digitalcontent.api.tesco.com/v2/media/ghs/4b83a2d2-31f6-4e08-8d68-a60c1015d1f0/snapshotimagehandler_597044790.jpeg?h=225&w=225
Tesco Irish Beef Burgers 600G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€6.67/kg,https://www.tesco.ie/groceries/en-IE/products/285130571,https://digitalcontent.api.tesco.com/v2/media/ghs/20eeaa22-5710-4849-b134-39b4a92fc5a7/4f35490a-b8cc-4b52-923c-51e798cc5248_1389547948.jpeg?h=225&w=225
