Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Whole Chicken 1200G,€4.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€3.75/kg,https://www.tesco.ie/groceries/en-IE/products/288390793,https://digitalcontent.api.tesco.com/v2/media/ghs/477fff45-474e-4372-9f49-aa98d9e45050/snapshotimagehandler_392477010.jpeg?h=225&w=225
Tesco Chicken Mini Fillets 45G,€4.25,€3.75 Clubcard Price,€9.44/kg,https://www.tesco.ie/groceries/en-IE/products/304073799,https://digitalcontent.api.tesco.com/v2/media/ghs/2aeea851-fa4f-42b8-84d2-f6e8b5a2db71/3d353f98-fd49-4dce-8330-830a737b8cd4_1234050834.jpeg?h=225&w=225
Tesco Irish Chicken Breast Fillets 705G,€7.89,,€11.19/kg,https://www.tesco.ie/groceries/en-IE/products/314113156,https://digitalcontent.api.tesco.com/v2/media/ghs/1f0729ed-9ddb-4cd8-86cf-c16e08fd4372/977f72cd-7e25-40f0-9b26-93803b406002_1558617273.jpeg?h=225&w=225
Tesco Irish Chicken Breast Fillets 500G,€5.99,,€11.98/kg,https://www.tesco.ie/groceries/en-IE/products/313963527,https://digitalcontent.api.tesco.com/v2/media/ghs/14f3fe8b-b249-41e9-848e-ad9b2f282fd5/0fc3d99a-1079-4380-b038-dd660ccfadd7_374633059.jpeg?h=225&w=225
Tesco Irish Diced Chicken Breast Fillets 350G,€4.00,,€11.43/kg,https://www.tesco.ie/groceries/en-IE/products/275503042,https://digitalcontent.api.tesco.com/v2/media/ghs/d24635f4-1951-4c53-aed1-3d086d72cb0e/snapshotimagehandler_528775286.jpeg?h=225&w=225
Tesco Large Diced Chicken Fillets 550G,€5.99,,€10.89/kg,https://www.tesco.ie/groceries/en-IE/products/292612307,https://digitalcontent.api.tesco.com/v2/media/ghs/ed781754-fdf3-4fff-892c-2d10d0ea7a98/snapshotimagehandler_1847602317.jpeg?h=225&w=225
Sicin Sasta Irish Farmers Own Chicken Breast Fillets 500G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/308469694,https://digitalcontent.api.tesco.com/v2/media/ghs/4d52b41a-4612-4964-a0cd-5cc4d1bf7751/snapshotimagehandler_286678914.jpeg?h=225&w=225
Tesco Irish Chicken Breast Mini Fillets 284G,€3.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€12.32/kg,https://www.tesco.ie/groceries/en-IE/products/313372725,https://digitalcontent.api.tesco.com/v2/media/ghs/e7537b93-eca1-4c2a-bfb0-d39585cde32a/0d568fbe-aad5-4dc8-b3b5-929f67fc4114_180577236.jpeg?h=225&w=225
Tesco Free Range Irish Whole Chicken 1.6Kg,€6.50,,€4.06/kg,https://www.tesco.ie/groceries/en-IE/products/301980110,https://digitalcontent.api.tesco.com/v2/media/ghs/a471c0fe-47bb-423c-a6ef-70f1a72718e7/1831e5c7-178e-408b-a039-3dbfc55ac215_245973780.jpeg?h=225&w=225
Tesco Sage And Onion Stuffed Chicken Thighs 540G,€5.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€9.26/kg,https://www.tesco.ie/groceries/en-IE/products/294136171,https://digitalcontent.api.tesco.com/v2/media/ghs/708529dc-4d66-4f4b-a781-50afbd05d3bd/e0e5cba3-e0c1-4857-8bec-e88f3b9a414b_762204529.jpeg?h=225&w=225
Tesco Irish Chicken Thigh Fillets 420G,€4.00,,€9.52/kg,https://www.tesco.ie/groceries/en-IE/products/285859521,https://digitalcontent.api.tesco.com/v2/media/ghs/e04a219c-ce6f-4b90-8155-7f6fab8c2bfa/snapshotimagehandler_164465870.jpeg?h=225&w=225
Tesco Whole Bird 2000G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/293332585,https://digitalcontent.api.tesco.com/v2/media/ghs/f77e428b-9b3c-4c50-9295-e51174d5ad87/snapshotimagehandler_468043660.jpeg?h=225&w=225
Tesco Irish Chicken Breast Fillet Portions 945G,€13.00,€12.00 Clubcard Price,€13.76/kg,https://www.tesco.ie/groceries/en-IE/products/313162922,https://digitalcontent.api.tesco.com/v2/media/ghs/11cfc668-a474-4185-b65f-1b09bda5db94/99e0d5bd-feca-4eb2-988e-d14030042baf_1089043277.jpeg?h=225&w=225
Tesco Irish Chicken Breast Fillets 291G,€3.85,,€13.23/kg,https://www.tesco.ie/groceries/en-IE/products/314095625,https://digitalcontent.api.tesco.com/v2/media/ghs/eff9d625-134f-4381-bf4b-fb82a8b1743f/5a312ea8-bd14-4d7a-bdf0-c2da9758432b_2031963981.jpeg?h=225&w=225
Tesco Fresh Whole Chicken Medium 1.50Kg,€4.68,,€3.12/kg,https://www.tesco.ie/groceries/en-IE/products/290037824,https://digitalcontent.api.tesco.com/v2/media/ghs/5d68eac4-ccd4-48ea-b310-ee0deda4cbe4/snapshotimagehandler_253905883.jpeg?h=225&w=225
Tesco Oyster Thigh 1.075Kg,€4.15,,€3.46/kg,https://www.tesco.ie/groceries/en-IE/products/301965964,https://digitalcontent.api.tesco.com/v2/media/ghs/51c42c3f-bb53-4d37-9225-bcff4096131e/snapshotimagehandler_1629608058.jpeg?h=225&w=225
Tesco Sage And Onion Stuffed Chicken Cook In Bag1.5Kg,€6.00,,€4.00/kg,https://www.tesco.ie/groceries/en-IE/products/291046980,https://digitalcontent.api.tesco.com/v2/media/ghs/8d231c3e-b856-4ccb-80b7-633b5fd786da/snapshotimagehandler_832413666.jpeg?h=225&w=225
Tesco Free Range Irish Chicken Breast Fillets 454G,€7.99,,€17.60/kg,https://www.tesco.ie/groceries/en-IE/products/314425720,https://digitalcontent.api.tesco.com/v2/media/ghs/c2ddcf98-3051-4878-b6db-e8e84a536eee/78cb7aad-56e1-4a2a-a6df-f22623912e49_1972775492.jpeg?h=225&w=225
