Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Irish Lamb Mince 15% Fat 533G,€4.80,,€9.01/kg,https://www.tesco.ie/groceries/en-IE/products/302460959,https://digitalcontent.api.tesco.com/v2/media/ghs/f86a573d-7ea0-4d9e-8bfc-63edc9478331/snapshotimagehandler_1332419419.jpeg?h=225&w=225
Tesco Irish Healthy Living Lamb Escalopes 300G,€5.50,€5.00 Clubcard Price,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/283230292,https://digitalcontent.api.tesco.com/v2/media/ghs/46706f2b-04f5-41e7-b316-9f75b0c6d44f/snapshotimagehandler_350694344.jpeg?h=225&w=225
Tesco Irish Boneless Lamb Shoulder Chops 801G,€11.00,€10.00 Clubcard Price,€13.73/kg,https://www.tesco.ie/groceries/en-IE/products/301810226,https://digitalcontent.api.tesco.com/v2/media/ghs/05d93a61-0590-45a9-a987-fa94db991e50/snapshotimagehandler_1145949965.jpeg?h=225&w=225
Tesco Irish Sliced Lambs Liver,€1.93,,€5.50/kg,https://www.tesco.ie/groceries/en-IE/products/264862709,https://digitalcontent.api.tesco.com/v2/media/ghs/9b1f6b62-d151-4dda-b8c1-f07ff6fd3853/snapshotimagehandler_1733272215.jpeg?h=225&w=225
Tesco Irish Lamb Loin Chops 727G,€12.50,€11.50 Clubcard Price,€17.19/kg,https://www.tesco.ie/groceries/en-IE/products/300576337,https://digitalcontent.api.tesco.com/v2/media/ghs/ce23be1a-6019-44ba-a017-e50b6e26d21b/dc2b73b4-d827-4801-98fd-74ad48a5d049_927645389.jpeg?h=225&w=225
Tesco Irish Lamb Loin Chops 528G,€10.00,,€18.94/kg,https://www.tesco.ie/groceries/en-IE/products/300576429,https://digitalcontent.api.tesco.com/v2/media/ghs/d39960a0-321e-4474-bb99-39dc09a32a00/snapshotimagehandler_1090392775.jpeg?h=225&w=225
Tesco Irish Carvery Lamb Shoulder 1.4Kg,€14.00,€12.00 Clubcard Price,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/295360732,https://digitalcontent.api.tesco.com/v2/media/ghs/fa3c487d-712f-443a-a66a-918d5660d312/6992140d-fab5-464a-8107-6caabc95893e_1650696699.jpeg?h=225&w=225
Tesco Finest Irish Half Leg Of Lamb,€19.20,,€16.99/kg,https://www.tesco.ie/groceries/en-IE/products/290440536,https://digitalcontent.api.tesco.com/v2/media/ghs/ba053241-5830-4170-be5c-ceab41d69174/1ae70d0e-95e4-4f0b-b54b-bdf46ce410d3_1491561738.jpeg?h=225&w=225
Tesco Irish Lamb Leg Steaks 313G,€5.50,,€17.57/kg,https://www.tesco.ie/groceries/en-IE/products/311220569,https://digitalcontent.api.tesco.com/v2/media/ghs/97eb3b72-0794-4cce-9ef3-dfc418e1c35a/11ffd01b-44a9-4274-957b-4ca154e1334e_38195963.jpeg?h=225&w=225
Tesco Irish Diced Lamb 263g,€4.00,€3.50 Clubcard Price,€15.21/kg,https://www.tesco.ie/groceries/en-IE/products/313512428,https://digitalcontent.api.tesco.com/v2/media/ghs/4437e12d-0333-4c21-b26d-1b50dcd65e4e/1e227ccf-ae02-4cbe-a1eb-eb662ed0a526_1247953412.jpeg?h=225&w=225
Tesco Irish Boneless Lamb Shoulder Chops 401G,€6.00,,€14.96/kg,https://www.tesco.ie/groceries/en-IE/products/298010434,https://digitalcontent.api.tesco.com/v2/media/ghs/05d20e38-d092-4cbe-af85-05cb1b24a136/snapshotimagehandler_1293090331.jpeg?h=225&w=225
Tesco Finest Irish Whole Leg Of Lamb,€37.38,,€16.99/kg,https://www.tesco.ie/groceries/en-IE/products/296349031,https://digitalcontent.api.tesco.com/v2/media/ghs/e728c3b7-3d42-47c0-bf5c-c24c0fffdcff/243642d8-6cc9-437a-9840-75e50fd236a7_116411928.jpeg?h=225&w=225
Tesco Finest Boned And Rolled Irish Lamb Shoulder,€15.14,,€11.99/kg,https://www.tesco.ie/groceries/en-IE/products/308838753,https://digitalcontent.api.tesco.com/v2/media/ghs/45567ad5-c4ce-484a-be4d-12a017c2e966/14efcb5d-81bd-4f4f-aeed-6fec5455db95_2056807502.jpeg?h=225&w=225
Tesco Irish Lambloin Chops 4Pack 370G Promo,€7.50,,€20.27/kg,https://www.tesco.ie/groceries/en-IE/products/286918669,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Irish Half Lamb Leg 1.2Kg,€11.80,,€9.83/kg,https://www.tesco.ie/groceries/en-IE/products/298650610,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
