Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Basted Irish Pork Chops,€5.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€9.43/kg,https://www.tesco.ie/groceries/en-IE/products/276352903,https://digitalcontent.api.tesco.com/v2/media/ghs/49af6874-0a4e-4c7e-aacc-9b3c3e1484b1/snapshotimagehandler_172750545.jpeg?h=225&w=225
Tesco Irish Boneless Loin Pork Chops 523G,€3.69,,€7.06/kg,https://www.tesco.ie/groceries/en-IE/products/304365448,https://digitalcontent.api.tesco.com/v2/media/ghs/061d4ef4-446d-4bbe-8c4c-e5dfa09b746a/snapshotimagehandler_1928770755.jpeg?h=225&w=225
Tesco Irish Pork Steak 600G,€5.00,€4.50 Clubcard Price,€8.33/kg,https://www.tesco.ie/groceries/en-IE/products/304732112,https://digitalcontent.api.tesco.com/v2/media/ghs/36174475-01a3-423f-918d-e6c5944417ca/7cb0deff-465c-4c53-8051-8cb22a55c497_1592972961.jpeg?h=225&w=225
Tesco Lean Irish Pork Mince 7 % Fat 400G,€3.75,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€9.38/kg,https://www.tesco.ie/groceries/en-IE/products/295852513,https://digitalcontent.api.tesco.com/v2/media/ghs/2df2c30d-beeb-479a-975f-a06369deb1be/snapshotimagehandler_2092251419.jpeg?h=225&w=225
Tesco Irish Boneless Pork Loin Chops 874G,€6.00,,€6.86/kg,https://www.tesco.ie/groceries/en-IE/products/302440938,https://digitalcontent.api.tesco.com/v2/media/ghs/7c3cb080-5ba2-4f51-82e0-77f908ffa8d7/snapshotimagehandler_723136791.jpeg?h=225&w=225
Tesco Irish Beef And Pork Bolognese Mince 400G,€3.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€8.75/kg,https://www.tesco.ie/groceries/en-IE/products/315228704,https://digitalcontent.api.tesco.com/v2/media/ghs/60bf989e-2bb4-4311-b177-08ef6dfdcb3f/ce3c22b3-9e17-450d-b38f-b681c0841301_1513217290.jpeg?h=225&w=225
Tesco Pork Mince 800G,€4.83,€4.33 Clubcard Price,€6.04/kg,https://www.tesco.ie/groceries/en-IE/products/284998213,https://digitalcontent.api.tesco.com/v2/media/ghs/a5f52f3c-87e9-4e90-acb6-906873a5236a/snapshotimagehandler_1548473003.jpeg?h=225&w=225
Tesco Korean Style Pork Belly Slices 475G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€8.42/kg,https://www.tesco.ie/groceries/en-IE/products/310093812,https://digitalcontent.api.tesco.com/v2/media/ghs/2de31ff3-c663-4160-b547-c1588d4d66ab/aed469f4-e797-48d5-aade-ec64e0377671_1684965897.jpeg?h=225&w=225
Tesco Pulled Irish Pork 360G,€3.50,,€9.72/kg,https://www.tesco.ie/groceries/en-IE/products/311440619,https://digitalcontent.api.tesco.com/v2/media/ghs/de485904-1dd0-4de7-b0e3-401ac32de5bd/0b25ea9d-cf1f-49bf-8e95-b14d36c651ab_701780322.jpeg?h=225&w=225
Tesco Bbq Rack Of Irish Pork Ribs 500G,€5.50,,€11.00/kg,https://www.tesco.ie/groceries/en-IE/products/311947602,https://digitalcontent.api.tesco.com/v2/media/ghs/3a725ea0-eb20-4358-b1e4-9d7ca99cf246/b95aac5c-4bdb-44d9-8272-9d9c54da0ba2_1837236511.jpeg?h=225&w=225
Tesco Hoisin Irish Pork Fillet 610G,€6.00,,€9.84/kg,https://www.tesco.ie/groceries/en-IE/products/311666836,https://digitalcontent.api.tesco.com/v2/media/ghs/42fa4c44-35ca-41e5-b3c0-d794f7e6cc3f/095ad69b-102e-4ba9-a7af-72d7c84b7fc6_625799486.jpeg?h=225&w=225
Tesco Sweet Chilli Irish Pork Loin Chops 500G,€5.00,€4.50 Clubcard Price,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/314593018,https://digitalcontent.api.tesco.com/v2/media/ghs/942c6f15-4fa1-4ad7-a406-7d5ebda21268/9d2fdbeb-cce3-4d67-976a-3681c7c34b67_1754426642.jpeg?h=225&w=225
Tesco Irish Sliced Pork Liver,€1.58,,€4.50/kg,https://www.tesco.ie/groceries/en-IE/products/264862698,https://digitalcontent.api.tesco.com/v2/media/ghs/9d7f9bd4-f5fe-45b4-9e62-3df28bef5c89/3909f3ea-fe29-4858-848c-78485636439e.jpeg?h=225&w=225
Tesco Irish Pork Crackling Joint,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/307759928,https://digitalcontent.api.tesco.com/v2/media/ghs/1a885ea6-f979-435b-aabc-f7408413cbbf/35481e8c-6ddf-436e-a500-09e9aeec2bc2_258234335.jpeg?h=225&w=225
Tesco Irish Pork Loin Chops 1.04kg,€8.00,€7.00 Clubcard Price,€7.69/kg,https://www.tesco.ie/groceries/en-IE/products/315965240,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
