Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Irish Round Beef Steak Mince 10% Fat 554G,€4.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€8.12/kg,https://www.tesco.ie/groceries/en-IE/products/298004753,https://digitalcontent.api.tesco.com/v2/media/ghs/66b4d6fd-41d1-45ad-a88e-f1b4911f39a9/snapshotimagehandler_255386595.jpeg?h=225&w=225
Tesco Whole Chicken 1200G,€4.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€3.75/kg,https://www.tesco.ie/groceries/en-IE/products/288390793,https://digitalcontent.api.tesco.com/v2/media/ghs/477fff45-474e-4372-9f49-aa98d9e45050/snapshotimagehandler_392477010.jpeg?h=225&w=225
Tesco Chicken Mini Fillets 45G,€4.25,€3.75 Clubcard Price,€9.44/kg,https://www.tesco.ie/groceries/en-IE/products/304073799,https://digitalcontent.api.tesco.com/v2/media/ghs/2aeea851-fa4f-42b8-84d2-f6e8b5a2db71/3d353f98-fd49-4dce-8330-830a737b8cd4_1234050834.jpeg?h=225&w=225
Tesco Diced Beef 335G,€3.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€10.45/kg,https://www.tesco.ie/groceries/en-IE/products/303845844,https://digitalcontent.api.tesco.com/v2/media/ghs/0fb1687a-00d2-4b17-86d9-2c9a18e9a496/snapshotimagehandler_867623157.jpeg?h=225&w=225
Tesco Unsmoked Irish Bacon Rashers 225G,€2.50,€2.00 Clubcard Price,€11.11/kg,https://www.tesco.ie/groceries/en-IE/products/292621354,https://digitalcontent.api.tesco.com/v2/media/ghs/356004b8-fe66-4825-86c6-ce16a4e0b26c/snapshotimagehandler_1247513226.jpeg?h=225&w=225
Tesco Finest Irish Pork Sausages 454G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/266719388,https://digitalcontent.api.tesco.com/v2/media/ghs/f4bb98e5-37c1-487d-9acf-e0d6938170e1/snapshotimagehandler_708878707.jpeg?h=225&w=225
Tesco Finest Angus Lean Beef Mince 5% Fat500g,€5.45,€4.95 Clubcard Price,€10.90/kg,https://www.tesco.ie/groceries/en-IE/products/303845775,https://digitalcontent.api.tesco.com/v2/media/ghs/456bae17-1f4f-4043-bfbc-43d407c71562/af2de8ce-b2b1-4216-98ae-aefed4ba9cf2_668326178.jpeg?h=225&w=225
Sicin Sasta Irish Farmers Own Chicken Breast Fillets 500G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/308469694,https://digitalcontent.api.tesco.com/v2/media/ghs/4d52b41a-4612-4964-a0cd-5cc4d1bf7751/snapshotimagehandler_286678914.jpeg?h=225&w=225
Tesco Irish 50% Reduced Fat Beef Burgers 454G,€4.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€8.81/kg,https://www.tesco.ie/groceries/en-IE/products/310171052,https://digitalcontent.api.tesco.com/v2/media/ghs/af918b64-db53-4a26-af9b-d6c572905ac0/14d353dc-7c8b-497d-906d-3667a838b104_317421945.jpeg?h=225&w=225
Tesco Irish Chicken Breast Mini Fillets 284G,€3.50,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€12.32/kg,https://www.tesco.ie/groceries/en-IE/products/313372725,https://digitalcontent.api.tesco.com/v2/media/ghs/e7537b93-eca1-4c2a-bfb0-d39585cde32a/0d568fbe-aad5-4dc8-b3b5-929f67fc4114_180577236.jpeg?h=225&w=225
