Title,Price,Promotional Price,Price Per,Product URL,Image URL
Denny White Pudding 199G Promotion Pack,€1.20,,€6.03/kg,https://www.tesco.ie/groceries/en-IE/products/261155313,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Clonakilty Black Pudding Chub 280G,€2.90,€2.40 Clubcard Price,€10.36/kg,https://www.tesco.ie/groceries/en-IE/products/250221200,https://digitalcontent.api.tesco.com/v2/media/ghs/d05bfba7-d23b-454f-8487-d856deb0ff87/738e3b35-4c99-4b26-9e44-2ba3ddcc2271_1997192009.jpeg?h=225&w=225
Tesco Finest White Pudding 300G,€1.20,,€4.00/kg,https://www.tesco.ie/groceries/en-IE/products/285314446,https://digitalcontent.api.tesco.com/v2/media/ghs/bf117dcd-3206-4c0b-8587-61f26cab20aa/snapshotimagehandler_800607141.jpeg?h=225&w=225
Tesco Standard White Pudding 200G,€0.55,,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/293015490,https://digitalcontent.api.tesco.com/v2/media/ghs/1b475573-af71-4cfc-af0a-1e3c45e65852/snapshotimagehandler_62204406.jpeg?h=225&w=225
Clonakilty White Pudding Chub 280G,€2.90,€2.40 Clubcard Price,€10.36/kg,https://www.tesco.ie/groceries/en-IE/products/250220748,https://digitalcontent.api.tesco.com/v2/media/ghs/f316d88a-8ec3-4633-a7be-7835b9f7c5f6/f7c8757a-0d97-40d5-b1d4-f228c89b2857_1413892491.jpeg?h=225&w=225
Tesco Finest Black Pudding 300G,€1.20,,€4.00/kg,https://www.tesco.ie/groceries/en-IE/products/285314331,https://digitalcontent.api.tesco.com/v2/media/ghs/08a66504-6a58-442f-b6c4-225520320356/snapshotimagehandler_688796146.jpeg?h=225&w=225
Oak Park Turkey Pudding 6 Slices 180G,€2.50,€2.00 Clubcard Price,€13.89/kg,https://www.tesco.ie/groceries/en-IE/products/310676327,https://digitalcontent.api.tesco.com/v2/media/ghs/37682c4a-40b6-4b5f-9385-c3c32c5970ac/2c48817e-5a42-4763-adcb-dc136897b6b6_583575945.jpeg?h=225&w=225
Rudds White Pudding 280G,€2.39,,€8.54/kg,https://www.tesco.ie/groceries/en-IE/products/268469904,https://digitalcontent.api.tesco.com/v2/media/ghs/ca1e8e59-6494-4b4c-847e-ed1eddaf7b98/71794430-0f91-4dae-aa46-6a87069c3051_1469144135.jpeg?h=225&w=225
Tesco Standard Black Pudding 200G,€0.55,,€2.75/kg,https://www.tesco.ie/groceries/en-IE/products/293015609,https://digitalcontent.api.tesco.com/v2/media/ghs/29479ae9-ed94-4a7d-87c7-068e2ed64dec/snapshotimagehandler_886081180.jpeg?h=225&w=225
Rudds Black Pudding 280G,€2.39,,€8.54/kg,https://www.tesco.ie/groceries/en-IE/products/268469893,https://digitalcontent.api.tesco.com/v2/media/ghs/05be8f85-af26-401c-ac88-76d47110880e/90919fc1-6141-49a7-8598-6e435456d3f2_1640331326.jpeg?h=225&w=225
Denny Black Pudding 199G Promotion Pack,€1.20,,€6.03/kg,https://www.tesco.ie/groceries/en-IE/products/261155273,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Clonakilty Mini Puddings 260G,€3.20,,€12.31/kg,https://www.tesco.ie/groceries/en-IE/products/262258403,https://digitalcontent.api.tesco.com/v2/media/ghs/7a7bb97b-8444-4a07-8d5f-154b619b2187/8ea8acf6-89e4-46b9-b9de-d3bd47d6fc2b_1233290527.jpeg?h=225&w=225
Rudds Roulade Pudding Slice240g,€2.99,,€12.46/kg,https://www.tesco.ie/groceries/en-IE/products/268469910,https://digitalcontent.api.tesco.com/v2/media/ghs/2981a6de-467c-474c-aa2a-bbc5b5a882b2/ef22dcfc-4688-4bbf-a119-55399be5578d_601250331.jpeg?h=225&w=225
Kellys White Pudding 280G,€2.49,,€8.89/kg,https://www.tesco.ie/groceries/en-IE/products/303105845,https://digitalcontent.api.tesco.com/v2/media/ghs/63f6fa76-5319-4c32-9fd8-bba76383463b/snapshotimagehandler_504784059.jpeg?h=225&w=225
Tesco Finest Mini Pudding Chubbs 260G,€1.65,,€6.35/kg,https://www.tesco.ie/groceries/en-IE/products/293016015,https://digitalcontent.api.tesco.com/v2/media/ghs/f5a37a6b-3f7c-4903-9a83-b8df90a23dc6/snapshotimagehandler_2059418234.jpeg?h=225&w=225
Clonakilty Gluten Free Mini Puddings 260G,€3.20,,€12.31/kg,https://www.tesco.ie/groceries/en-IE/products/277707397,https://digitalcontent.api.tesco.com/v2/media/ghs/8939f18e-0225-489c-8015-8a6bf704d38c/02982a43-bca9-4527-bc9b-8830f91776b2_1473380460.jpeg?h=225&w=225
Kellys Black Pudding 280G,€2.49,,€8.89/kg,https://www.tesco.ie/groceries/en-IE/products/303106147,https://digitalcontent.api.tesco.com/v2/media/ghs/15bcff36-71c4-40d9-bae1-8a1ce2f63d0d/snapshotimagehandler_421560568.jpeg?h=225&w=225
Oak Park Unsmoked White Pudding 6 Slices 180G,€2.50,,€13.89/kg,https://www.tesco.ie/groceries/en-IE/products/312716771,https://digitalcontent.api.tesco.com/v2/media/ghs/4a05f693-575f-422c-ba2f-8293d0b478b6/5c817be6-2540-4358-9306-97c15ce5118f_1973394380.jpeg?h=225&w=225
Oak Park 6 Black Pudding Slices 180G,€2.50,,€13.89/kg,https://www.tesco.ie/groceries/en-IE/products/313622177,https://digitalcontent.api.tesco.com/v2/media/ghs/b080471a-6d75-4a29-8a41-6c0b8149ff91/a2d6971c-de1b-4651-a4ca-1e0545d39da7_742150157.jpeg?h=225&w=225
Clonakilty Veggie Pudding 200G,€2.75,€2.25 Clubcard Price,€13.75/kg,https://www.tesco.ie/groceries/en-IE/products/304956210,https://digitalcontent.api.tesco.com/v2/media/ghs/02bbac6a-3fd8-4d43-9415-895b4f189990/6971b3af-22d6-4746-9c6c-53e7f7fa776a_603598407.jpeg?h=225&w=225
Hodgins Sausages Gluten Free Black Pudding 300G,€2.29,,€7.63/kg,https://www.tesco.ie/groceries/en-IE/products/259930907,https://digitalcontent.api.tesco.com/v2/media/ghs/abc5ce05-7847-4e8b-9ac3-8add8a39407d/snapshotimagehandler_42255298.jpeg?h=225&w=225
Hodgins Gluten Free Whte Puding 300G,€2.29,,€7.63/kg,https://www.tesco.ie/groceries/en-IE/products/259931328,https://digitalcontent.api.tesco.com/v2/media/ghs/e9a55cd7-6965-4e57-8181-4fa211385589/snapshotimagehandler_1293560292.jpeg?h=225&w=225
Clonakilty Black Pudding Rings 420G,€4.40,,€10.48/kg,https://www.tesco.ie/groceries/en-IE/products/286812609,https://digitalcontent.api.tesco.com/v2/media/ghs/248ddbc9-c333-4b7f-85ab-53ce65f48b86/snapshotimagehandler_841719193.jpeg?h=225&w=225
Clonakilty White Pudding Rings 420G,€4.40,,€10.48/kg,https://www.tesco.ie/groceries/en-IE/products/286814550,https://digitalcontent.api.tesco.com/v2/media/ghs/4f9f66ca-b376-4b05-be2f-41f45934df4d/snapshotimagehandler_253079266.jpeg?h=225&w=225
