Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Unsmoked Irish Bacon Rashers 225G,€2.50,€2.00 Clubcard Price,€11.11/kg,https://www.tesco.ie/groceries/en-IE/products/292621354,https://digitalcontent.api.tesco.com/v2/media/ghs/356004b8-fe66-4825-86c6-ce16a4e0b26c/snapshotimagehandler_1247513226.jpeg?h=225&w=225
Tesco Healthy Living 7 Irish Smoked Bacon Medallions 200G,€1.79,,€8.95/kg,https://www.tesco.ie/groceries/en-IE/products/280303225,https://digitalcontent.api.tesco.com/v2/media/ghs/fc0366d7-775c-4f00-801e-dd24b5f716bb/06176c08-e126-40d8-957e-6000879511f0_201141399.jpeg?h=225&w=225
Tesco Smoked Irish Streaky Rashers 253G,€1.80,,€7.12/kg,https://www.tesco.ie/groceries/en-IE/products/302420254,https://digitalcontent.api.tesco.com/v2/media/ghs/87485516-e45b-4b0e-917f-da02af62de76/snapshotimagehandler_2119071536.jpeg?h=225&w=225
Tesco Healthy Living 7 Irish Unsmoked Bacon Medallions 200G,€1.79,,€8.95/kg,https://www.tesco.ie/groceries/en-IE/products/280303323,https://digitalcontent.api.tesco.com/v2/media/ghs/76d52937-8bab-442d-9ad4-bf744413662f/snapshotimagehandler_1115704768.jpeg?h=225&w=225
Tesco Irish Smoked Bacon Lardons 180G,€1.39,,€7.72/kg,https://www.tesco.ie/groceries/en-IE/products/292455470,https://digitalcontent.api.tesco.com/v2/media/ghs/4937fbf6-d128-47a3-817e-98b5032439f3/snapshotimagehandler_1205362034.jpeg?h=225&w=225
Tesco Smoked Irish Bacon Rashers 225G,€2.50,€2.00 Clubcard Price,€11.11/kg,https://www.tesco.ie/groceries/en-IE/products/292621319,https://digitalcontent.api.tesco.com/v2/media/ghs/03d16101-82db-4211-8659-0866e2e4c856/snapshotimagehandler_1056675896.jpeg?h=225&w=225
T.Fin*Canadian Maple Smoked Dry Rashers240g,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€12.46/kg,https://www.tesco.ie/groceries/en-IE/products/293439534,https://digitalcontent.api.tesco.com/v2/media/ghs/2c4cb093-149c-468e-be3c-781c1a0db6f5/dbb02207-9abd-4a7d-8731-19817a980f2a_425702495.jpeg?h=225&w=225
Tesco Smoked Thick Cut Irish Rashers 378G,€2.40,,€6.35/kg,https://www.tesco.ie/groceries/en-IE/products/302431356,https://digitalcontent.api.tesco.com/v2/media/ghs/1feb5775-df33-4136-b1d6-da1c6d36162a/snapshotimagehandler_1529101968.jpeg?h=225&w=225
Tesco Unsmoked Irish Streaky Rashers 253G,€1.80,,€7.12/kg,https://www.tesco.ie/groceries/en-IE/products/302420219,https://digitalcontent.api.tesco.com/v2/media/ghs/27f10d92-243b-400e-add5-71fd34d7b93b/snapshotimagehandler_735318731.jpeg?h=225&w=225
Tesco Unsmoked Thick Cut Irish Back Bacon Rashers 378G,€2.40,,€6.35/kg,https://www.tesco.ie/groceries/en-IE/products/302431159,https://digitalcontent.api.tesco.com/v2/media/ghs/992cfa67-6590-4426-95a1-23fbe7eac736/snapshotimagehandler_222952916.jpeg?h=225&w=225
Tesco Finest Unsmoked Dry Cured Irish Rashers 240G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€12.46/kg,https://www.tesco.ie/groceries/en-IE/products/293439730,https://digitalcontent.api.tesco.com/v2/media/ghs/080e2470-66ea-43d9-bd0e-cb8f2ab8a8de/f94d561a-f1a0-4172-a215-4318a12a2db0_878176396.jpeg?h=225&w=225
Tesco Smoked Irish Back Bacon Rashers 502G,€3.10,,€6.18/kg,https://www.tesco.ie/groceries/en-IE/products/302431045,https://digitalcontent.api.tesco.com/v2/media/ghs/732e930a-259f-4033-a738-c669d378e0f3/snapshotimagehandler_1838295639.jpeg?h=225&w=225
Tesco Irish Unsmoked Bacon Lardons180g,€1.39,,€7.72/kg,https://www.tesco.ie/groceries/en-IE/products/292961596,https://digitalcontent.api.tesco.com/v2/media/ghs/9075e50a-8f15-4aab-85a3-4a7f925218b7/snapshotimagehandler_773093027.jpeg?h=225&w=225
Tesco Unsmoked Irish Back Bacon Rashers 502G,€3.10,,€6.18/kg,https://www.tesco.ie/groceries/en-IE/products/302430949,https://digitalcontent.api.tesco.com/v2/media/ghs/acff6c7f-8294-4d10-85ba-d862ee1fa9a5/snapshotimagehandler_842028692.jpeg?h=225&w=225
Oak Park Smoked Turkey Rashers 150G,€2.79,€2.00 Clubcard Price,€18.60/kg,https://www.tesco.ie/groceries/en-IE/products/303146554,https://digitalcontent.api.tesco.com/v2/media/ghs/4e1f8e72-ffad-4617-be27-904b60683a9b/624dcd6f-8ef2-4f48-a615-ab4d3b87bb7a_1838092468.jpeg?h=225&w=225
Oak Park American Style Streaky Rasher 170G,€2.50,,€14.71/kg,https://www.tesco.ie/groceries/en-IE/products/294238690,https://digitalcontent.api.tesco.com/v2/media/ghs/8220ceeb-5e43-4b4c-91cb-5d8b8a75bbed/613ea433-27f0-4800-969e-7baa439d1009_1296505803.jpeg?h=225&w=225
Denny Cap Traditional Rashers 200G Price Marked -Promo,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/303087829,https://digitalcontent.api.tesco.com/v2/media/ghs/183a78ae-772d-44a4-b292-42a3b62ba29a/f4cff726-b23f-44e1-9f1d-c07665dfae79_1836679437.jpeg?h=225&w=225
Galtee Value Unsmoked 10 Cap Rashers 300G,€3.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/277662327,https://digitalcontent.api.tesco.com/v2/media/ghs/8bdb4e95-be49-48a5-a51b-7604682ec859/ab7d4e61-6270-4c40-8e09-45e4bd871534_1320864069.jpeg?h=225&w=225
Finne Brogue Smoked 12 Naked Streaky Bacon 200G,€3.89,,€19.45/kg,https://www.tesco.ie/groceries/en-IE/products/302479979,https://digitalcontent.api.tesco.com/v2/media/ghs/91487b3b-2da4-4087-a2ac-76b4710cfea6/1f6683ca-2d5b-45f7-bd19-b89bd3e6ee95_105408072.jpeg?h=225&w=225
Tesco Finest* Beechwood Smkdrycuredirish Rashers 240G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€12.46/kg,https://www.tesco.ie/groceries/en-IE/products/293439505,https://digitalcontent.api.tesco.com/v2/media/ghs/0314b756-7a5e-46a1-96a8-392ce74ac382/58989000-fa54-4ee6-96b7-123bb66aad83_1145508295.jpeg?h=225&w=225
Tesco Finest Unsmoked Dry Cured Streaky Rashers 240G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€12.46/kg,https://www.tesco.ie/groceries/en-IE/products/293625037,https://digitalcontent.api.tesco.com/v2/media/ghs/62521aea-b2e1-4202-a36d-678c86e347d7/f17e84a5-d17a-4f91-9f03-be21f943a211_796467177.jpeg?h=225&w=225
Tesco Finest Bchwd Smoked Dry Crd Streaky Rashers 240G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€12.46/kg,https://www.tesco.ie/groceries/en-IE/products/293625050,https://digitalcontent.api.tesco.com/v2/media/ghs/83040c40-e782-4fbb-b647-9e867cf82e12/15b974f6-fbb3-4699-96ac-dc28c4034258_1127270204.jpeg?h=225&w=225
Tesco Finest* Hickory Smoked Dry Cured Rashers 240G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€12.46/kg,https://www.tesco.ie/groceries/en-IE/products/293439570,https://digitalcontent.api.tesco.com/v2/media/ghs/7537de79-4e2c-442e-8057-66d379581f24/2ecb1d4f-55c9-4b99-850d-d66b8323c1f8_759657951.jpeg?h=225&w=225
Oak Park Smoked Bacon Medallions 170G,€2.50,,€14.71/kg,https://www.tesco.ie/groceries/en-IE/products/296009434,https://digitalcontent.api.tesco.com/v2/media/ghs/ae922b07-8036-4b7b-86dd-4509d3e5a8ee/7317b904-750a-44dd-896d-3ae915b3f686_88371107.jpeg?h=225&w=225
Oak Park Unsmoked 6 Turkey Breast Rashers 150G,€2.79,€2.00 Clubcard Price,€18.60/kg,https://www.tesco.ie/groceries/en-IE/products/306947805,https://digitalcontent.api.tesco.com/v2/media/ghs/4a3fe129-2624-4524-bf17-52c6d4e2edb3/c2597487-6f36-4b56-b1f7-78f244bb8817_972114170.jpeg?h=225&w=225
Denny Cap Hickory Rashers 200Gx10,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/303015139,https://digitalcontent.api.tesco.com/v2/media/ghs/18ec5a96-0a98-477f-a1cd-2e6a1f09b867/5408f800-d7df-4e1a-a9ea-b4ecd548f588.jpeg?h=225&w=225
Tesco Smoked Irish Bacon Rashers 400G,€2.75,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/303239767,https://digitalcontent.api.tesco.com/v2/media/ghs/9ebc2a19-85d1-4605-aa41-a28e9a7e140a/snapshotimagehandler_198569226.jpeg?h=225&w=225
Tesco Unsmoked Irish Bacon Rashers 400G,€2.75,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/303239387,https://digitalcontent.api.tesco.com/v2/media/ghs/9f37c092-1d22-4ddb-818f-a71e8db8e92b/snapshotimagehandler_582150127.jpeg?h=225&w=225
Ballyfree Smoked 6 Turkey Rashers 150G,€3.75,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/285778372,https://digitalcontent.api.tesco.com/v2/media/ghs/b79994bd-b401-4afe-9e19-ddf9a459f147/fdb9cfae-ad19-482d-a4ba-2f53d8dfe5e5.jpeg?h=225&w=225
Galtee Old Style Back Bacon 5'S Rashers 150G Fls,€2.00,,€13.33/kg,https://www.tesco.ie/groceries/en-IE/products/267056162,https://digitalcontent.api.tesco.com/v2/media/ghs/8e68ed67-5508-4a49-90f9-454e5237295b/00bcfe27-bfdd-428b-b568-bdb2ce2febbf_2041433914.jpeg?h=225&w=225
Galtee Value Smoked 10 Cap Rashers 300G,€3.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/277662425,https://digitalcontent.api.tesco.com/v2/media/ghs/ea958cde-c8eb-49bc-b74d-3aade9335c0e/75045115-d2d1-454b-b9e1-d71129dfda49_1026683197.jpeg?h=225&w=225
Denny Cap Maple Rashers 200G*10 Price Marked,€3.50,,€17.50/kg,https://www.tesco.ie/groceries/en-IE/products/303087807,https://digitalcontent.api.tesco.com/v2/media/ghs/7e11a266-cee0-4174-9ed1-28ffae6978cd/2bef1f9d-4de4-4d37-8da9-2f4838592c05_1598975349.jpeg?h=225&w=225
O'neills Dry Cure Rashers 300G,€4.29,,€14.30/kg,https://www.tesco.ie/groceries/en-IE/products/279933804,https://digitalcontent.api.tesco.com/v2/media/ghs/b6b7ed6f-aa55-4e93-8c26-845e9e59b319/snapshotimagehandler_801364061.jpeg?h=225&w=225
Oak Park Naturally Smoked Lardons 130G,€2.00,,€15.38/kg,https://www.tesco.ie/groceries/en-IE/products/294238822,https://digitalcontent.api.tesco.com/v2/media/ghs/da5bb121-7bb5-4f62-aad3-32e87a87733c/ecfc1c8d-e807-4134-a174-bcfb6be8f969_807661016.jpeg?h=225&w=225
Denny Traditional Thick Cut Cap 240G,€4.50,,€18.75/kg,https://www.tesco.ie/groceries/en-IE/products/277661288,https://digitalcontent.api.tesco.com/v2/media/ghs/41a679ea-780c-4cf5-ad1a-38e541cddc2a/snapshotimagehandler_1990503486.jpeg?h=225&w=225
Oak Park Unsmoked Bacon Medallions 170G,€2.50,,€14.71/kg,https://www.tesco.ie/groceries/en-IE/products/295983761,https://digitalcontent.api.tesco.com/v2/media/ghs/07266484-123e-4af6-a79d-65a22bb7e980/00331a5d-e5ed-4dff-bcac-b74664e8e669_88835568.jpeg?h=225&w=225
Naked 6 Smoked Back Bacon Rashers 200G,€3.89,,€19.45/kg,https://www.tesco.ie/groceries/en-IE/products/308497274,https://digitalcontent.api.tesco.com/v2/media/ghs/5d697cf2-2b04-47ac-a2ad-f9089b96c754/f12ac4d1-37d0-4388-86cd-5409867dbde4_2043119056.jpeg?h=225&w=225
Finne Brogue 12 Naked Unsmoked Streaky 200G,€3.89,,€19.45/kg,https://www.tesco.ie/groceries/en-IE/products/299774207,https://digitalcontent.api.tesco.com/v2/media/ghs/5b1076be-c011-450e-9140-1c8c7cb9df4d/f9435254-c6f2-4952-87b2-c5046a3594e8_1917529623.jpeg?h=225&w=225
