Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Sage And Onion Stuffed Chicken Thighs 540G,€5.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€9.26/kg,https://www.tesco.ie/groceries/en-IE/products/294136171,https://digitalcontent.api.tesco.com/v2/media/ghs/708529dc-4d66-4f4b-a781-50afbd05d3bd/e0e5cba3-e0c1-4857-8bec-e88f3b9a414b_762204529.jpeg?h=225&w=225
Tesco Chicken Chasseur 540G,€5.00,"Any 3 for €10 Clubcard Price - Selected Meat, Fish Or Poultry Products",€9.26/kg,https://www.tesco.ie/groceries/en-IE/products/294136500,https://digitalcontent.api.tesco.com/v2/media/ghs/f64b20f0-71e0-4cc4-8153-ada1368d0f20/911fe869-59dc-4739-bd97-7682e8dd7d16_49991113.jpeg?h=225&w=225
The Crafty Chef S&On Stuffed Irish Chicken Supreme 555G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€10.81/kg,https://www.tesco.ie/groceries/en-IE/products/313172530,https://digitalcontent.api.tesco.com/v2/media/ghs/f3c263fd-28c9-4041-8f09-b70b9cbdfbf3/eb588b26-a29e-42ad-8b81-68e42d82dd2f_71396864.jpeg?h=225&w=225
The Crafty Chef Creamy Tomato Basil Beef M/Bls 420G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€14.29/kg,https://www.tesco.ie/groceries/en-IE/products/313172553,https://digitalcontent.api.tesco.com/v2/media/ghs/a4c2ee0a-0c83-451b-a322-38779422e178/e336d520-f0ec-43b3-8b9d-8a67a3e3bd0e_261440690.jpeg?h=225&w=225
The Crafty Chef Chicken Peprcrn Supreme 520G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€11.54/kg,https://www.tesco.ie/groceries/en-IE/products/313752230,https://digitalcontent.api.tesco.com/v2/media/ghs/53b1715c-58f2-4e49-8981-9fea2ba66251/2a9c301e-33b4-4117-a1b4-0aba4d046255_1909452475.jpeg?h=225&w=225
Fit Foods 4 High Prtn Beef Burgers 500G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€12.00/kg,https://www.tesco.ie/groceries/en-IE/products/314590649,https://digitalcontent.api.tesco.com/v2/media/ghs/0c66e074-12b0-4396-9650-7d4c197ce15e/94b58aff-9286-4a2b-8c52-c5ff8f96be97_1933154309.jpeg?h=225&w=225
Fit Foods 4 Barbecue Chicken Fillets 450G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€13.33/kg,https://www.tesco.ie/groceries/en-IE/products/314686197,https://digitalcontent.api.tesco.com/v2/media/ghs/02af85e0-05aa-4a26-8112-084911f02c00/6a9fcc8a-db35-44c3-8ea4-669c49f0887f_937061686.jpeg?h=225&w=225
Fit Foods 4 Plain Chicken Fillets 440G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€13.64/kg,https://www.tesco.ie/groceries/en-IE/products/314832952,https://digitalcontent.api.tesco.com/v2/media/ghs/32621050-256c-4375-9121-99a310f6281e/18d50c53-ae65-46e4-a634-e4267889a8c4_1964121092.jpeg?h=225&w=225
Fit Foods 4 Piri Piri Chicken Fillets 450G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€13.33/kg,https://www.tesco.ie/groceries/en-IE/products/314580840,https://digitalcontent.api.tesco.com/v2/media/ghs/3db66e69-7fbb-4cf6-b084-750c9665f72f/352843c4-95b1-416f-9cb8-361e5b29ca2e_427957790.jpeg?h=225&w=225
Silver Hill Crispy Half Duck World Taste Pancakes 600G,€10.49,,€17.48/kg,https://www.tesco.ie/groceries/en-IE/products/283230692,https://digitalcontent.api.tesco.com/v2/media/ghs/70c842f9-c8d7-47f7-9afc-b95d52d63017/9fc57976-7a62-4cbd-ab78-8edec559abe6.jpeg?h=225&w=225
Tesco Finest* Chicken Mozzarella Stuffing 560G,€5.50,,€9.82/kg,https://www.tesco.ie/groceries/en-IE/products/304678867,https://digitalcontent.api.tesco.com/v2/media/ghs/1ef13d45-f7dd-42ec-8001-c9cb858c4f82/f2be2947-871d-4fea-bbdf-3c6cb543750c_1681212983.jpeg?h=225&w=225
Fit Foods Mexican Style Beef Stir Fry 400G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/314103174,https://digitalcontent.api.tesco.com/v2/media/ghs/bd6a948f-6e3c-4b67-bea5-7ef2e2b2b054/d6aba79b-1376-496c-b0f6-af42b0d0dd46_2111615703.jpeg?h=225&w=225
Fit Foods 9 Italian Style Meatballs 365G,€6.00,Any 2 for €10 Clubcard Price - Selected Crafty Chef Or Fit Foods Or Keohane Ready To Cook,€16.44/kg,https://www.tesco.ie/groceries/en-IE/products/314824236,https://digitalcontent.api.tesco.com/v2/media/ghs/12c0bfd4-e195-438c-8eda-0ac59c93d852/c02d84a3-ff16-4eb6-9ce2-846207db230f_63046835.jpeg?h=225&w=225
