Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Finest Irish Pork Sausages 454G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/266719388,https://digitalcontent.api.tesco.com/v2/media/ghs/f4bb98e5-37c1-487d-9acf-e0d6938170e1/snapshotimagehandler_708878707.jpeg?h=225&w=225
Clonakilty Pork Sausages 454G,€3.90,,€8.59/kg,https://www.tesco.ie/groceries/en-IE/products/258108501,https://digitalcontent.api.tesco.com/v2/media/ghs/c88de752-f759-4a9a-9fa7-a1c089cf9fd5/6d404c24-6c26-4386-95e3-ba1c2897b38d_691420574.jpeg?h=225&w=225
Tesco 16 Irish Pork Sausages 454G,€1.60,,€3.52/kg,https://www.tesco.ie/groceries/en-IE/products/268835460,https://digitalcontent.api.tesco.com/v2/media/ghs/537a2d13-ec67-4c54-800d-bcaf5b41a3ad/snapshotimagehandler_550282833.jpeg?h=225&w=225
Denny Gold Medal Sausages 454G,€3.40,,€7.49/kg,https://www.tesco.ie/groceries/en-IE/products/297187243,https://digitalcontent.api.tesco.com/v2/media/ghs/503a5cae-1c91-4682-881e-7a3946f040f2/72e2b107-d69b-4a6a-9452-7a7a5eddb3d0_466240586.jpeg?h=225&w=225
Denny Gold Medal Sausages 227G,€1.99,,€8.77/kg,https://www.tesco.ie/groceries/en-IE/products/250819945,https://digitalcontent.api.tesco.com/v2/media/ghs/72241ac9-6ab0-43ac-b5bb-d67d5cc2aa2b/snapshotimagehandler_988410928.jpeg?h=225&w=225
Tesco Finest Pork Sausages 454G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/267332273,https://digitalcontent.api.tesco.com/v2/media/ghs/787cb755-3052-47a6-b7e6-4dfe05f25d93/snapshotimagehandler_934699747.jpeg?h=225&w=225
Tesco Finest Pork Cocktail Sausages 454G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/285452011,https://digitalcontent.api.tesco.com/v2/media/ghs/5ad37332-6d32-4157-bedb-d17f5e13f5a4/snapshotimagehandler_1970012816.jpeg?h=225&w=225
Clonakilty Pork Sausages 227G Promotion Pack,€2.30,,€10.13/kg,https://www.tesco.ie/groceries/en-IE/products/258333942,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Ballyfree Turkey Sausages 240G,€3.75,,€15.62/kg,https://www.tesco.ie/groceries/en-IE/products/260938646,https://digitalcontent.api.tesco.com/v2/media/ghs/f8426d52-4a54-471b-803f-6e39f7b26d77/1ced7618-df23-40d6-828f-1e944996aac1.jpeg?h=225&w=225
Denny 16 Skinless Sausages 454G,€3.50,,€7.71/kg,https://www.tesco.ie/groceries/en-IE/products/250820205,https://digitalcontent.api.tesco.com/v2/media/ghs/5807e577-67f9-4745-934d-c968a0d2ca67/18aa7557-6315-46ba-99a6-15323f140c6e_416896266.jpeg?h=225&w=225
Kearns Pork Sausages 227G,€2.10,,€9.25/kg,https://www.tesco.ie/groceries/en-IE/products/254073224,https://digitalcontent.api.tesco.com/v2/media/ghs/83a846f0-0b4b-4c0e-9d66-aa16d06df445/a75331f8-645c-4151-800c-dfa01a619e39_110186403.jpeg?h=225&w=225
Tesco Finest* 6 Irish Pork And Apple Sausages 454G,€2.99,Any 2 for €5 Clubcard Price - Selected Tesco Finest* Standard Bacon Or Finest Sausage,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/280304472,https://digitalcontent.api.tesco.com/v2/media/ghs/13a94843-4002-47cd-96d9-add65a08c3ed/snapshotimagehandler_1183561009.jpeg?h=225&w=225
Tesco Irish Pork Sausages 227G,€1.20,,€5.29/kg,https://www.tesco.ie/groceries/en-IE/products/277512644,https://digitalcontent.api.tesco.com/v2/media/ghs/3d8dd0e4-8b97-4f78-8cfe-41ce4dfd562e/snapshotimagehandler_2030640170.jpeg?h=225&w=225
Tesco Irishjumbo Pork Sausages 454G,€1.95,,€4.30/kg,https://www.tesco.ie/groceries/en-IE/products/277513142,https://digitalcontent.api.tesco.com/v2/media/ghs/db0175c5-cce9-4d75-9874-c20b76d00769/snapshotimagehandler_732061993.jpeg?h=225&w=225
Tesco 32 Irish Pork Cocktail Sausages 454G,€1.85,,€4.08/kg,https://www.tesco.ie/groceries/en-IE/products/268835523,https://digitalcontent.api.tesco.com/v2/media/ghs/b63d16ba-0e84-409c-a4ec-b150200fbb68/snapshotimagehandler_1324590914.jpeg?h=225&w=225
Kearns Pork Sausages 454G,€3.89,,€8.57/kg,https://www.tesco.ie/groceries/en-IE/products/254073282,https://digitalcontent.api.tesco.com/v2/media/ghs/7c8e30df-2547-46cc-b0f2-e85363212b31/a7d66a6c-491b-40f4-bf3f-62a660c40f36_325173637.jpeg?h=225&w=225
