Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Family Pack Carrots 1Kg,€1.25,,€1.25/kg,https://www.tesco.ie/groceries/en-IE/products/285293331,https://digitalcontent.api.tesco.com/v2/media/ghs/c30fc16d-e0f5-449d-84c0-d32d62181b94/snapshotimagehandler_808032736.jpeg?h=225&w=225
Tesco Family Pack Onions 1 Kilograms,€1.29,,€1.29/kg,https://www.tesco.ie/groceries/en-IE/products/273636291,https://digitalcontent.api.tesco.com/v2/media/ghs/c627c057-e9e6-4484-9457-d9728a8f493a/snapshotimagehandler_1469942508.jpeg?h=225&w=225
Tesco Family Pack Broccoli,€1.49,,€1.49/each,https://www.tesco.ie/groceries/en-IE/products/293687406,https://digitalcontent.api.tesco.com/v2/media/ghs/bbff2faa-3f85-41ca-9a61-19d7c9a287be/snapshotimagehandler_2058081638.jpeg?h=225&w=225
Tesco Closed Cup Mushroom 300G,€1.25,,€4.17/kg,https://www.tesco.ie/groceries/en-IE/products/283439526,https://digitalcontent.api.tesco.com/v2/media/ghs/3590441a-d3ad-4e8d-bdf3-b6ef07e1d9db/snapshotimagehandler_617102227.jpeg?h=225&w=225
Tesco Irish Rooster 2Kg,€3.69,,€1.84/kg,https://www.tesco.ie/groceries/en-IE/products/285513101,https://digitalcontent.api.tesco.com/v2/media/ghs/18e857a7-3629-4e10-8382-485eb0a788be/snapshotimagehandler_874322772.jpeg?h=225&w=225
Tesco Carrot Bag 500G,€0.79,,€1.58/kg,https://www.tesco.ie/groceries/en-IE/products/294329565,https://digitalcontent.api.tesco.com/v2/media/ghs/b05ea9d9-66df-4a5a-b0f8-2f01035e2298/snapshotimagehandler_926434132.jpeg?h=225&w=225
Tesco Salad Onions Bunch,€0.85,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/254523228,https://digitalcontent.api.tesco.com/v2/media/ghs/c98ae47f-5cab-4b27-82c8-bc0b228484c6/snapshotimagehandler_1834537405.jpeg?h=225&w=225
Tesco Baby Potatoes 1Kg,€1.20,,€1.20/kg,https://www.tesco.ie/groceries/en-IE/products/309192016,https://digitalcontent.api.tesco.com/v2/media/ghs/68841453-6d86-43ae-821d-49d6ec67c326/b911c7bb-f3c6-4900-b1ce-6f9acbfd3ffe_77500520.jpeg?h=225&w=225
Tesco Irish Rooster 7.5Kg,€7.99,,€1.06/kg,https://www.tesco.ie/groceries/en-IE/products/259120392,https://digitalcontent.api.tesco.com/v2/media/ghs/32167719-f083-4f79-8f5f-84042c048cd3/snapshotimagehandler_1774669229.jpeg?h=225&w=225
Tesco Red Onion 750G,€0.99,,€1.32/kg,https://www.tesco.ie/groceries/en-IE/products/278416463,https://digitalcontent.api.tesco.com/v2/media/ghs/67b019e4-4adc-4eaf-aa01-9aace40cd80c/snapshotimagehandler_2087862748.jpeg?h=225&w=225
Tesco Broccoli Loose,€0.87,,€2.29/kg,https://www.tesco.ie/groceries/en-IE/products/257231200,https://digitalcontent.api.tesco.com/v2/media/ghs/ae0c420c-15d0-4453-8146-b7290ab8c538/c820c8dc-92e3-4363-a988-07711f6c6117.jpeg?h=225&w=225
Tesco Courgettes Pre Packed 500G,€1.69,,€3.38/kg,https://www.tesco.ie/groceries/en-IE/products/280605939,https://digitalcontent.api.tesco.com/v2/media/ghs/e83e681b-0d52-4b89-a74a-9a402ed49f60/snapshotimagehandler_746614484.jpeg?h=225&w=225
Tesco Parsnips 500G,€1.49,,€2.98/kg,https://www.tesco.ie/groceries/en-IE/products/256828487,https://digitalcontent.api.tesco.com/v2/media/ghs/6888d9df-c411-407f-9ba7-1b84b9eeb1d0/983ef842-e6b6-4ef7-b4df-5784c1ffaedf_157495042.jpeg?h=225&w=225
Tesco Mild Onions 3 Pack,€1.49,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/255591231,https://digitalcontent.api.tesco.com/v2/media/ghs/3392086d-1a2b-405d-991a-ab6849bbd486/snapshotimagehandler_837107393.jpeg?h=225&w=225
Tesco Sweet Potatoes 800G,€0.99,,€1.24/kg,https://www.tesco.ie/groceries/en-IE/products/298040830,https://digitalcontent.api.tesco.com/v2/media/ghs/cfb727fd-4d22-4c90-bf7b-a495f08b8b95/snapshotimagehandler_1555351778.jpeg?h=225&w=225
Tesco Irish Chestnut Mushrooms 250G,€1.09,,€4.36/kg,https://www.tesco.ie/groceries/en-IE/products/306954071,https://digitalcontent.api.tesco.com/v2/media/ghs/6c0cc850-45e0-4c16-95a3-f455c9c6767a/snapshotimagehandler_305521210.jpeg?h=225&w=225
