Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Family Pack Carrots 1Kg,€1.25,,€1.25/kg,https://www.tesco.ie/groceries/en-IE/products/285293331,https://digitalcontent.api.tesco.com/v2/media/ghs/c30fc16d-e0f5-449d-84c0-d32d62181b94/snapshotimagehandler_808032736.jpeg?h=225&w=225
Tesco Carrot Bag 500G,€0.79,,€1.58/kg,https://www.tesco.ie/groceries/en-IE/products/294329565,https://digitalcontent.api.tesco.com/v2/media/ghs/b05ea9d9-66df-4a5a-b0f8-2f01035e2298/snapshotimagehandler_926434132.jpeg?h=225&w=225
Tesco Parsnips 500G,€1.49,,€2.98/kg,https://www.tesco.ie/groceries/en-IE/products/256828487,https://digitalcontent.api.tesco.com/v2/media/ghs/6888d9df-c411-407f-9ba7-1b84b9eeb1d0/983ef842-e6b6-4ef7-b4df-5784c1ffaedf_157495042.jpeg?h=225&w=225
Tesco Carrots Loose,€0.12,,€1.15/kg,https://www.tesco.ie/groceries/en-IE/products/254638565,https://digitalcontent.api.tesco.com/v2/media/ghs/47e5311e-2827-46ef-a97d-3b9a8d9aa8e9/snapshotimagehandler_1804754647.jpeg?h=225&w=225
Tesco Pre-Packed Leeks 500G,€1.79,,€3.58/kg,https://www.tesco.ie/groceries/en-IE/products/281026649,https://digitalcontent.api.tesco.com/v2/media/ghs/1a30cb8e-7ea6-46e7-8980-8a3d55820af3/snapshotimagehandler_1776469441.jpeg?h=225&w=225
Tesco Parsnips Loose,€0.37,,€2.49/kg,https://www.tesco.ie/groceries/en-IE/products/253557408,https://digitalcontent.api.tesco.com/v2/media/ghs/a3be7948-bbe6-4069-a80d-78256dfda0cc/b660fd95-d27b-40fa-b763-332e9aa8bd68.jpeg?h=225&w=225
Tesco Swede Each,€0.95,,€0.95/each,https://www.tesco.ie/groceries/en-IE/products/290070426,https://digitalcontent.api.tesco.com/v2/media/ghs/869333c8-3dff-4fa4-b159-ef72a2076895/snapshotimagehandler_1495877137.jpeg?h=225&w=225
Tesco Family Pack Carrots 2Kg,€2.15,,€1.08/kg,https://www.tesco.ie/groceries/en-IE/products/259890873,https://digitalcontent.api.tesco.com/v2/media/ghs/f1588d27-ed47-464b-9173-210f6c73a2ed/snapshotimagehandler_1447930685.jpeg?h=225&w=225
Tesco Leeks Each,€0.99,,€0.99/each,https://www.tesco.ie/groceries/en-IE/products/268416392,https://digitalcontent.api.tesco.com/v2/media/ghs/bfa5cd72-23d6-4177-9f48-57aeb6e4bace/snapshotimagehandler_1861458589.jpeg?h=225&w=225
Hughes Farming Carrot And Parsnip Tray 750G,€2.39,,€3.19/kg,https://www.tesco.ie/groceries/en-IE/products/310121694,https://digitalcontent.api.tesco.com/v2/media/ghs/eefb2b5d-0829-4529-99eb-020e9abb8de4/f0503711-692f-40a9-bf39-b68755ecd1de_1743423831.jpeg?h=225&w=225
Tesco Cooked Beetroot Vacuum Pack 500G,€0.59,,€1.18/kg,https://www.tesco.ie/groceries/en-IE/products/299623577,https://digitalcontent.api.tesco.com/v2/media/ghs/414e4989-37e6-4cc8-9bc1-dffd196f2fb2/snapshotimagehandler_222243892.jpeg?h=225&w=225
Triple Swede Pack,€1.19,,€1.19/each,https://www.tesco.ie/groceries/en-IE/products/252059579,https://digitalcontent.api.tesco.com/v2/media/ghs/7fefd4f4-af62-45d5-bc46-e24716a77dc2/snapshotimagehandler_1549763739.jpeg?h=225&w=225
Tesco Finest Sweet & Fiery Beetroot 180G,€2.00,,€11.11/kg,https://www.tesco.ie/groceries/en-IE/products/310173205,https://digitalcontent.api.tesco.com/v2/media/ghs/1b75bfd3-a03b-45ed-aeeb-d2951cec8879/936c3698-9776-4808-b5c0-c0fb461620de.jpeg?h=225&w=225
Bunched Carrots 500G,€2.49,,€3.32/kg,https://www.tesco.ie/groceries/en-IE/products/253806846,https://digitalcontent.api.tesco.com/v2/media/ghs/5dbe00cf-47c5-48db-92ea-5354e4c50dbf/snapshotimagehandler_1015852567.jpeg?h=225&w=225
Farm Select Snack Carrots 200G,€1.09,79c Clubcard Price,€5.45/kg,https://www.tesco.ie/groceries/en-IE/products/312221532,https://digitalcontent.api.tesco.com/v2/media/ghs/2256a1b9-d24a-4dad-8f9c-6e9524fc129e/91b42a34-4a84-4fd1-a393-edbb6c613c36_1536969865.jpeg?h=225&w=225
Love Beets Smokey Shred Beetroot 180G,€1.39,,€7.72/kg,https://www.tesco.ie/groceries/en-IE/products/299917300,https://digitalcontent.api.tesco.com/v2/media/ghs/73f06d9e-208e-485f-9a8e-d2660a717637/34f7a894-e672-47a1-98f8-5b2926a6905b.jpeg?h=225&w=225
