Title,Price,Promotional Price,Price Per,Product URL,Image URL
Green Growers Garlic 4 Pack 160G,€0.99,,€6.19/kg,https://www.tesco.ie/groceries/en-IE/products/313362757,https://digitalcontent.api.tesco.com/v2/media/ghs/3e91edae-d9e6-406f-9964-1ded631982d7/6895197c-bf8c-4472-8526-4ccddfb99916_253434480.jpeg?h=225&w=225
Tesco Ginger 100g,€0.65,,€6.50/kg,https://www.tesco.ie/groceries/en-IE/products/314931777,https://digitalcontent.api.tesco.com/v2/media/ghs/943773e6-bfa6-4a38-b76e-a641c69a8f07/8580c908-157a-401d-953f-f17b4c1e455e.jpeg?h=225&w=225
Tesco Garlic 4 Pack,€0.99,,€0.25/each,https://www.tesco.ie/groceries/en-IE/products/285392755,https://digitalcontent.api.tesco.com/v2/media/ghs/5c2062ea-401d-422d-a854-0607d8cc26b5/snapshotimagehandler_957755484.jpeg?h=225&w=225
Tesco Red Chillies 60G,€1.09,,€18.17/kg,https://www.tesco.ie/groceries/en-IE/products/256339363,https://digitalcontent.api.tesco.com/v2/media/ghs/2bb3f20b-d0d1-4a2f-99f6-98bba2ad1a74/a77c13e7-23af-458c-ab10-a1557ec9c4bb.jpeg?h=225&w=225
Tesco Mixed Chillies 65G,€0.70,,€10.77/kg,https://www.tesco.ie/groceries/en-IE/products/262453391,https://digitalcontent.api.tesco.com/v2/media/ghs/0013b708-a532-42ae-a04e-827f4119e45a/2bc08bdf-e12e-4c4c-8554-4ecefd7b94a6.jpeg?h=225&w=225
Farm Select Fresh Ginger 150G,€1.09,,€7.27/kg,https://www.tesco.ie/groceries/en-IE/products/311207471,https://digitalcontent.api.tesco.com/v2/media/ghs/4a6d0d61-5a8f-4b3e-8a06-cd37a56007d6/7db31906-f20d-427c-ad51-9295c7e2a8fd_1200567991.jpeg?h=225&w=225
Farm Select Mixed Chillies 65G,€1.09,,€16.77/kg,https://www.tesco.ie/groceries/en-IE/products/311229485,https://digitalcontent.api.tesco.com/v2/media/ghs/3f28ed1d-b9d3-4344-b8c2-0bd92d2eefbd/535d8347-fba1-4ef1-85c3-e0de9e21394b_196514871.jpeg?h=225&w=225
Tesco Finger Chillies 80G,€1.09,,€13.62/kg,https://www.tesco.ie/groceries/en-IE/products/253194105,https://digitalcontent.api.tesco.com/v2/media/ghs/e9534fd7-f1bd-4ada-93b8-d50f30879dce/9d9f5ba7-dc09-4aa5-9d87-81f5b12cbbe9.jpeg?h=225&w=225
Farm Select Extra Hot Mixed Chillies 65G,€1.39,,€21.38/kg,https://www.tesco.ie/groceries/en-IE/products/311424075,https://digitalcontent.api.tesco.com/v2/media/ghs/03733b74-7a5d-42c5-8e21-d43e195aa570/145dc27f-62c0-40ad-b618-26984698911a_975087428.jpeg?h=225&w=225
Green Growers Garlic Smoked Twin Pack,€2.00,,€1.00/each,https://www.tesco.ie/groceries/en-IE/products/315392370,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
