Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Closed Cup Mushroom 300G,€1.25,,€4.17/kg,https://www.tesco.ie/groceries/en-IE/products/283439526,https://digitalcontent.api.tesco.com/v2/media/ghs/3590441a-d3ad-4e8d-bdf3-b6ef07e1d9db/snapshotimagehandler_617102227.jpeg?h=225&w=225
Tesco Irish Chestnut Mushrooms 250G,€1.09,,€4.36/kg,https://www.tesco.ie/groceries/en-IE/products/306954071,https://digitalcontent.api.tesco.com/v2/media/ghs/6c0cc850-45e0-4c16-95a3-f455c9c6767a/snapshotimagehandler_305521210.jpeg?h=225&w=225
Tesco Baby Button Mushrooms 150G,€0.95,,€6.33/kg,https://www.tesco.ie/groceries/en-IE/products/258694272,https://digitalcontent.api.tesco.com/v2/media/ghs/fb72f488-4d9d-432c-a595-254682416f18/d5e1f7a8-d050-4248-a71b-ce48d59b8c22_734555843.jpeg?h=225&w=225
Irish Sliced Mushrooms,€1.09,,€7.27/kg,https://www.tesco.ie/groceries/en-IE/products/278903094,https://digitalcontent.api.tesco.com/v2/media/ghs/c9c2e35b-bcce-4c07-95c8-6f6542999888/snapshotimagehandler_1733013973.jpeg?h=225&w=225
Tesco Irish Closed Cup Mushrooms 400G,€1.39,,€3.48/kg,https://www.tesco.ie/groceries/en-IE/products/312704439,https://digitalcontent.api.tesco.com/v2/media/ghs/dc7239b1-d82b-405d-853a-dadbdcc1910c/3974dbd0-1cb8-48d3-baba-91e93fa40d39_1111755653.jpeg?h=225&w=225
Tesco Breakfast Flat Mushrooms 250G,€1.05,,€4.20/kg,https://www.tesco.ie/groceries/en-IE/products/283440086,https://digitalcontent.api.tesco.com/v2/media/ghs/804b15c1-9501-4a6b-8cd8-1cf72a1e676d/snapshotimagehandler_429698740.jpeg?h=225&w=225
Tesco Organic Chestnut Mushrooms 200G,€1.49,,€7.45/kg,https://www.tesco.ie/groceries/en-IE/products/297115548,https://digitalcontent.api.tesco.com/v2/media/ghs/3a63d749-21d0-4ffb-9998-bc4c96b9ca72/snapshotimagehandler_485604985.jpeg?h=225&w=225
The Mighty Mushroom Co Vitamin D White Mushroom 250G,€1.09,,€4.36/kg,https://www.tesco.ie/groceries/en-IE/products/312348526,https://digitalcontent.api.tesco.com/v2/media/ghs/412843a2-633b-4b32-bbeb-2b9329c0a555/093c49bc-8d5c-4e8b-9668-f2ae124361ce_701867088.jpeg?h=225&w=225
Tesco Organic Mushrooms 200G,€1.39,,€6.95/kg,https://www.tesco.ie/groceries/en-IE/products/274077909,https://digitalcontent.api.tesco.com/v2/media/ghs/ae3df7b2-ea62-4da8-8d8b-3f72484c7c1a/ea38c06e-243a-44e6-bc83-94e328a6359a_2014292004.jpeg?h=225&w=225
Tesco Finest Irish Shiitake Mushrooms 100G,€3.09,,€30.90/kg,https://www.tesco.ie/groceries/en-IE/products/312082534,https://digitalcontent.api.tesco.com/v2/media/ghs/4e1da857-58ef-40f7-b353-73a95b70f2df/5241ac22-84f8-4308-8de5-8ab6d8fe4b0d_697789931.jpeg?h=225&w=225
The Mighty Mushroom Co Vitamin D Chestnut 250G,€1.19,,€4.76/kg,https://www.tesco.ie/groceries/en-IE/products/312213513,https://digitalcontent.api.tesco.com/v2/media/ghs/c5c20573-133f-43de-ac0d-af68f722361d/8f90a3c4-7e0e-445b-90d3-d3cf5663c41f_701663493.jpeg?h=225&w=225
Tesco Portobello Mushrooms 250G (C),€1.65,,€6.60/kg,https://www.tesco.ie/groceries/en-IE/products/259119227,https://digitalcontent.api.tesco.com/v2/media/ghs/bda3fd02-0b48-4b74-9dfd-29b186345941/snapshotimagehandler_259245346.jpeg?h=225&w=225
