Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Family Pack Onions 1 Kilograms,€1.29,,€1.29/kg,https://www.tesco.ie/groceries/en-IE/products/273636291,https://digitalcontent.api.tesco.com/v2/media/ghs/c627c057-e9e6-4484-9457-d9728a8f493a/snapshotimagehandler_1469942508.jpeg?h=225&w=225
Tesco Salad Onions Bunch,€0.85,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/254523228,https://digitalcontent.api.tesco.com/v2/media/ghs/c98ae47f-5cab-4b27-82c8-bc0b228484c6/snapshotimagehandler_1834537405.jpeg?h=225&w=225
Tesco Red Onion 750G,€0.99,,€1.32/kg,https://www.tesco.ie/groceries/en-IE/products/278416463,https://digitalcontent.api.tesco.com/v2/media/ghs/67b019e4-4adc-4eaf-aa01-9aace40cd80c/snapshotimagehandler_2087862748.jpeg?h=225&w=225
Tesco Mild Onions 3 Pack,€1.49,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/255591231,https://digitalcontent.api.tesco.com/v2/media/ghs/3392086d-1a2b-405d-991a-ab6849bbd486/snapshotimagehandler_837107393.jpeg?h=225&w=225
Green Growers Garlic 4 Pack 160G,€0.99,,€6.19/kg,https://www.tesco.ie/groceries/en-IE/products/313362757,https://digitalcontent.api.tesco.com/v2/media/ghs/3e91edae-d9e6-406f-9964-1ded631982d7/6895197c-bf8c-4472-8526-4ccddfb99916_253434480.jpeg?h=225&w=225
Tesco Garlic 4 Pack,€0.99,,€0.25/each,https://www.tesco.ie/groceries/en-IE/products/285392755,https://digitalcontent.api.tesco.com/v2/media/ghs/5c2062ea-401d-422d-a854-0607d8cc26b5/snapshotimagehandler_957755484.jpeg?h=225&w=225
Tesco Brown Onions Loose,€0.61,,€2.89/kg,https://www.tesco.ie/groceries/en-IE/products/253557034,https://digitalcontent.api.tesco.com/v2/media/ghs/4155134b-a275-4935-a596-8298d3c8b5e5/ff036778-d4ab-4cf6-b801-a6576a2f45aa.jpeg?h=225&w=225
Tesco Organic Brown Onions 750G,€1.09,,€1.45/kg,https://www.tesco.ie/groceries/en-IE/products/268597343,https://digitalcontent.api.tesco.com/v2/media/ghs/6077b321-294c-4c71-8350-80f98fbb9caf/a2fd65e5-5a3f-43ab-8ce2-1ff4b6ca10ae.jpeg?h=225&w=225
Tesco Red Onions 3 Pack,€1.29,,€0.43/each,https://www.tesco.ie/groceries/en-IE/products/255798724,https://digitalcontent.api.tesco.com/v2/media/ghs/3ceade6e-5a9f-4df9-9934-e4f4feb6adaa/snapshotimagehandler_417773420.jpeg?h=225&w=225
Tesco Shallots 300G,€1.29,,€4.30/kg,https://www.tesco.ie/groceries/en-IE/products/309179966,https://digitalcontent.api.tesco.com/v2/media/ghs/0b2c0e01-8f6b-4091-84fc-70bbde6968d2/b89513c7-37fc-410c-805b-7032f4632ff6_809654868.jpeg?h=225&w=225
Tesco Large Spring Onions Bunched 130G,€1.59,,€12.23/kg,https://www.tesco.ie/groceries/en-IE/products/281054492,https://digitalcontent.api.tesco.com/v2/media/ghs/ccd0f046-8c7d-46a6-9dde-4335ef00da39/ec6425ee-b14c-4016-978b-8047a97bbd74.jpeg?h=225&w=225
Total Organics Organic Courgettes 500G,€2.25,,€4.50/kg,https://www.tesco.ie/groceries/en-IE/products/309495620,https://digitalcontent.api.tesco.com/v2/media/ghs/e4b48cb1-10db-494f-9b8d-c5d71d081981/f9aa9dd3-5e2f-4ff3-aca4-476c9e1d3030_1660032573.jpeg?h=225&w=225
Tesco Organic Red Onions,€1.89,,€3.78/kg,https://www.tesco.ie/groceries/en-IE/products/254932061,https://digitalcontent.api.tesco.com/v2/media/ghs/468205c5-194e-498a-91ff-01610ec1cdc9/42f45a22-8b1e-42ad-9bbd-b34d0ebd40b7.jpeg?h=225&w=225
Total Organics Organic Butternut Squash,€2.15,,€2.15/each,https://www.tesco.ie/groceries/en-IE/products/306808648,https://digitalcontent.api.tesco.com/v2/media/ghs/3cb598ed-267d-47bd-91fa-66e4a5233bf1/snapshotimagehandler_338235374.jpeg?h=225&w=225
Tesco Finest Sweet Onion 3 Pack Minimum 385G,€1.79,,€4.65/kg,https://www.tesco.ie/groceries/en-IE/products/282649089,https://digitalcontent.api.tesco.com/v2/media/ghs/c30e40e7-04bc-464f-81a9-0860040928c0/06783b45-a765-4d7b-a6e8-ee4d2cb0759c_684049620.jpeg?h=225&w=225
Tesco Garlic Loose,€0.39,,€0.39/each,https://www.tesco.ie/groceries/en-IE/products/285399759,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Total Organics Organic Garlic 2 Pack,€2.09,,€1.04/each,https://www.tesco.ie/groceries/en-IE/products/308864963,https://digitalcontent.api.tesco.com/v2/media/ghs/1296034d-5995-4736-9a1b-c7d1d8777a36/22970465-e46d-47af-bb73-d2703e622017_1186084274.jpeg?h=225&w=225
Mixed Onion Shallot And Garlic 500G,€1.99,,€3.98/kg,https://www.tesco.ie/groceries/en-IE/products/305688773,https://digitalcontent.api.tesco.com/v2/media/ghs/36768b3f-7937-458a-a963-2a13df0d992c/snapshotimagehandler_940870840.jpeg?h=225&w=225
Tesco Red Onions Loose,€0.49,,€0.49/each,https://www.tesco.ie/groceries/en-IE/products/313501263,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
