Title,Price,Promotional Price,Price Per,Product URL,Image URL
Green Growers Garlic 4 Pack 160G,€0.99,,€6.19/kg,https://www.tesco.ie/groceries/en-IE/products/313362757,https://digitalcontent.api.tesco.com/v2/media/ghs/3e91edae-d9e6-406f-9964-1ded631982d7/6895197c-bf8c-4472-8526-4ccddfb99916_253434480.jpeg?h=225&w=225
Tesco Organic Carrots 700G,€1.19,,€1.70/kg,https://www.tesco.ie/groceries/en-IE/products/256687445,https://digitalcontent.api.tesco.com/v2/media/ghs/d0b62479-d1dc-4b37-bb1f-b59e544771df/7be7d790-db00-4f9f-9bf7-8df543f3d50f_1595564162.jpeg?h=225&w=225
Tesco Organic Potatoes 2Kg,€2.79,,€1.40/kg,https://www.tesco.ie/groceries/en-IE/products/292140312,https://digitalcontent.api.tesco.com/v2/media/ghs/eacb2536-c810-4dc8-a4f4-de60827820d1/snapshotimagehandler_1259478747.jpeg?h=225&w=225
Tesco Garlic 4 Pack,€0.99,,€0.25/each,https://www.tesco.ie/groceries/en-IE/products/285392755,https://digitalcontent.api.tesco.com/v2/media/ghs/5c2062ea-401d-422d-a854-0607d8cc26b5/snapshotimagehandler_957755484.jpeg?h=225&w=225
Total Organics Organic Broccoli 400G,€2.09,,€5.22/kg,https://www.tesco.ie/groceries/en-IE/products/306806155,https://digitalcontent.api.tesco.com/v2/media/ghs/0ad323b8-bea4-45c6-be60-0b7129d7f5d2/snapshotimagehandler_1121083558.jpeg?h=225&w=225
Total Organics Organic Spinach 200G,€2.79,,€13.95/kg,https://www.tesco.ie/groceries/en-IE/products/307150605,https://digitalcontent.api.tesco.com/v2/media/ghs/f0995dcc-cb87-40a8-81c9-e5d9162677df/snapshotimagehandler_979820408.jpeg?h=225&w=225
Total Organics Organic Kale 200G,€2.15,,€10.75/kg,https://www.tesco.ie/groceries/en-IE/products/307139551,https://digitalcontent.api.tesco.com/v2/media/ghs/1463d90c-877c-4565-9865-a86e9507453c/snapshotimagehandler_1977098971.jpeg?h=225&w=225
Total Organics Organic Cauliflower,€3.09,,€3.09/each,https://www.tesco.ie/groceries/en-IE/products/306815207,https://digitalcontent.api.tesco.com/v2/media/ghs/b637a3ce-10bb-4f51-8d2e-f6faa6ccd506/snapshotimagehandler_1943870666.jpeg?h=225&w=225
Tesco Organic Mushrooms 200G,€1.39,,€6.95/kg,https://www.tesco.ie/groceries/en-IE/products/274077909,https://digitalcontent.api.tesco.com/v2/media/ghs/ae3df7b2-ea62-4da8-8d8b-3f72484c7c1a/ea38c06e-243a-44e6-bc83-94e328a6359a_2014292004.jpeg?h=225&w=225
Tesco Garlic Loose,€0.39,,€0.39/each,https://www.tesco.ie/groceries/en-IE/products/285399759,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Total Organics Organic Carrots 700G,€1.55,,€2.21/kg,https://www.tesco.ie/groceries/en-IE/products/307152091,https://digitalcontent.api.tesco.com/v2/media/ghs/7494ab38-264c-4dbd-8ca9-0c89e0e8b988/snapshotimagehandler_1936107657.jpeg?h=225&w=225
Total Organics Organic Garlic 2 Pack,€2.09,,€1.04/each,https://www.tesco.ie/groceries/en-IE/products/308864963,https://digitalcontent.api.tesco.com/v2/media/ghs/1296034d-5995-4736-9a1b-c7d1d8777a36/22970465-e46d-47af-bb73-d2703e622017_1186084274.jpeg?h=225&w=225
Total Organics Organic Parsnips 500G,€3.00,,€6.00/kg,https://www.tesco.ie/groceries/en-IE/products/306808199,https://digitalcontent.api.tesco.com/v2/media/ghs/cc69431b-10f7-44d4-afbb-69ad7eafe125/snapshotimagehandler_1605524277.jpeg?h=225&w=225
Total Organics Organic Vacuum Packed Sweet Corn 500G,€2.65,,€5.30/kg,https://www.tesco.ie/groceries/en-IE/products/312359041,https://digitalcontent.api.tesco.com/v2/media/ghs/178a5a01-19e4-483c-9b95-5f99f948d382/fc3cab3e-77f5-4684-b67f-35a18e9808ba_1458406387.jpeg?h=225&w=225
Total Organics Organic Leeks 300G,€2.20,,€7.33/kg,https://www.tesco.ie/groceries/en-IE/products/310122094,https://digitalcontent.api.tesco.com/v2/media/ghs/57e10ecb-6e27-4c16-b5ba-37a23439c0e3/b79e097d-e5ee-498f-9b3b-ab56a2f66d39_2018671415.jpeg?h=225&w=225
