Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Sugar Snap Peas 150G,€0.79,,€5.27/kg,https://www.tesco.ie/groceries/en-IE/products/293953011,https://digitalcontent.api.tesco.com/v2/media/ghs/7d999a88-18ef-47dd-863c-f3419db53b63/snapshotimagehandler_1758620577.jpeg?h=225&w=225
Farm Select Fine Beans Topped & Tailed 200G,€1.59,,€7.95/kg,https://www.tesco.ie/groceries/en-IE/products/311670370,https://digitalcontent.api.tesco.com/v2/media/ghs/6a1c66a2-c923-4ef2-8333-02bbee14c72f/b770d265-afdf-4268-b0cb-70cebb12e3d2_2054526693.jpeg?h=225&w=225
Tesco Mangetout 150G,€0.79,,€5.27/kg,https://www.tesco.ie/groceries/en-IE/products/293952968,https://digitalcontent.api.tesco.com/v2/media/ghs/8d16064d-9bdd-491b-985e-d20af63ef3d8/ac6d92d6-e71b-4697-8709-b203af5a10d5_294208375.jpeg?h=225&w=225
Farm Select Green Beans 220G,€1.09,,€4.96/kg,https://www.tesco.ie/groceries/en-IE/products/311441100,https://digitalcontent.api.tesco.com/v2/media/ghs/55d4b30f-afd5-49f0-adc0-1cd2730bc681/b5406477-9416-4567-ae2c-735d463c8e54_190654058.jpeg?h=225&w=225
Tesco Sweetcorn Cobettes 4 Pack,€1.99,,€0.50/each,https://www.tesco.ie/groceries/en-IE/products/251788587,https://digitalcontent.api.tesco.com/v2/media/ghs/15d5fc85-3e00-4a57-9747-8fe6187e8797/f82822a2-653c-47ee-85b5-c1040b03a7e5.jpeg?h=225&w=225
Tesco Corn On The Cob Twinpack,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/253555825,https://digitalcontent.api.tesco.com/v2/media/ghs/6dbdf35c-af35-4a25-bd75-e497c34bf340/746c2417-2482-45b1-b7ac-3ff4e43be3bf.jpeg?h=225&w=225
Tesco Finest Extra Fine Beans 200G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/305041628,https://digitalcontent.api.tesco.com/v2/media/ghs/23ceb8cf-a9c9-409a-a834-2d59e333a52f/5abca1f9-3ee5-472e-976c-901494976c5c.jpeg?h=225&w=225
Good4u Super Sprouts 60G,€1.79,Any 2 for €3 Clubcard Price - Selected Tesco Salad 60g-180g,€29.83/kg,https://www.tesco.ie/groceries/en-IE/products/274157683,https://digitalcontent.api.tesco.com/v2/media/ghs/acca526b-6a4a-43e1-8b0c-b01f35fc4a99/snapshotimagehandler_621963420.jpeg?h=225&w=225
Farm Select Mangetout 150G,€0.99,,€6.60/kg,https://www.tesco.ie/groceries/en-IE/products/311677322,https://digitalcontent.api.tesco.com/v2/media/ghs/23a91e30-18be-4d8f-bb47-8316adad75c5/08d4efa1-1f1e-4a31-8c17-837d2c910405_1585767484.jpeg?h=225&w=225
Good4u Lentil Sprout Mix 180G,€1.79,Any 2 for €3 Clubcard Price - Selected Tesco Salad 60g-180g,€9.94/kg,https://www.tesco.ie/groceries/en-IE/products/262138062,https://digitalcontent.api.tesco.com/v2/media/ghs/aa81a356-101e-40ae-9d0a-3dff3464105d/snapshotimagehandler_1177239528.jpeg?h=225&w=225
Farm Select Stringless Beans 200G,€1.59,,€7.95/kg,https://www.tesco.ie/groceries/en-IE/products/311275291,https://digitalcontent.api.tesco.com/v2/media/ghs/7d43dae8-c2d9-4425-a29f-69342c486ed0/a97aff9d-66b2-401f-9a08-3c2c8285ec77_107814187.jpeg?h=225&w=225
Good4u Salad Topper Super Seeds 150G,€2.75,,€18.33/kg,https://www.tesco.ie/groceries/en-IE/products/306347980,https://digitalcontent.api.tesco.com/v2/media/ghs/9b0f1c39-50ea-4077-b974-5eceaff77872/snapshotimagehandler_1711923275.jpeg?h=225&w=225
Natures Best Caesar Dressing 165G,€2.49,,€15.09/kg DR.WT,https://www.tesco.ie/groceries/en-IE/products/309198724,https://digitalcontent.api.tesco.com/v2/media/ghs/7b393dc1-832c-400a-a5df-37b1df7f75d9/bc727962-ec28-45d8-9b7e-dc10f5b64196_872135646.jpeg?h=225&w=225
Farm Select Sugar Snap 160G,€0.99,,€6.19/kg,https://www.tesco.ie/groceries/en-IE/products/311252387,https://digitalcontent.api.tesco.com/v2/media/ghs/c4aca50d-be49-43d8-a099-24148980a0e8/733b5a03-b135-43ed-8d1b-0160041d9107_344500403.jpeg?h=225&w=225
Good4u Salad Topper Garlic And Chilli 125G,€2.75,,€22.00/kg,https://www.tesco.ie/groceries/en-IE/products/306348028,https://digitalcontent.api.tesco.com/v2/media/ghs/4fc8b7f0-6f06-4737-ab2b-cc125db2ac0f/snapshotimagehandler_1712553594.jpeg?h=225&w=225
Tesco Southwest Style Chipotle Dressing 170G,€2.00,,€11.76/kg,https://www.tesco.ie/groceries/en-IE/products/313836546,https://digitalcontent.api.tesco.com/v2/media/ghs/84dbc8d6-384e-403d-a3f9-7a5d42a66f1b/3393e057-fd30-4fa5-84ef-8de0c614f257_684922710.jpeg?h=225&w=225
