Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Irish Rooster 2Kg,€3.69,,€1.84/kg,https://www.tesco.ie/groceries/en-IE/products/285513101,https://digitalcontent.api.tesco.com/v2/media/ghs/18e857a7-3629-4e10-8382-485eb0a788be/snapshotimagehandler_874322772.jpeg?h=225&w=225
Tesco Baby Potatoes 1Kg,€1.20,,€1.20/kg,https://www.tesco.ie/groceries/en-IE/products/309192016,https://digitalcontent.api.tesco.com/v2/media/ghs/68841453-6d86-43ae-821d-49d6ec67c326/b911c7bb-f3c6-4900-b1ce-6f9acbfd3ffe_77500520.jpeg?h=225&w=225
Tesco Irish Rooster 7.5Kg,€7.99,,€1.06/kg,https://www.tesco.ie/groceries/en-IE/products/259120392,https://digitalcontent.api.tesco.com/v2/media/ghs/32167719-f083-4f79-8f5f-84042c048cd3/snapshotimagehandler_1774669229.jpeg?h=225&w=225
Tesco Sweet Potatoes 800G,€0.99,,€1.24/kg,https://www.tesco.ie/groceries/en-IE/products/298040830,https://digitalcontent.api.tesco.com/v2/media/ghs/cfb727fd-4d22-4c90-bf7b-a495f08b8b95/snapshotimagehandler_1555351778.jpeg?h=225&w=225
Tesco Irish Rooster 4Kg,€5.49,,€1.37/kg,https://www.tesco.ie/groceries/en-IE/products/294291705,https://digitalcontent.api.tesco.com/v2/media/ghs/2c710d7e-3096-4f16-a7d0-a815c1cbeaab/snapshotimagehandler_1003446761.jpeg?h=225&w=225
Tesco Maris Piper Potatoes 2Kg,€3.89,,€1.94/kg,https://www.tesco.ie/groceries/en-IE/products/300864578,https://digitalcontent.api.tesco.com/v2/media/ghs/7d2571d3-3a0b-4b30-a155-4714935069cf/snapshotimagehandler_1603534564.jpeg?h=225&w=225
Country Crest Microwaveable Baby Potatoes 500G,€1.25,79c Clubcard Price,€2.50/kg,https://www.tesco.ie/groceries/en-IE/products/278633643,https://digitalcontent.api.tesco.com/v2/media/ghs/4e713d31-39ff-4451-831a-98561ca3ab5c/28f74f47-193f-4073-bec4-6c36bc91a47d_925117830.jpeg?h=225&w=225
Tesco Finest Potatoes 2.5Kg,€5.20,,€2.08/kg,https://www.tesco.ie/groceries/en-IE/products/288406673,https://digitalcontent.api.tesco.com/v2/media/ghs/52997ac1-995b-4707-b6d3-b7088f28620b/98b44cbd-d52c-4312-aa88-645f93ec2566_1150102858.jpeg?h=225&w=225
Tesco 4 Pack Baker Potatoes 750G,€2.99,,€3.99/kg,https://www.tesco.ie/groceries/en-IE/products/290137994,https://digitalcontent.api.tesco.com/v2/media/ghs/15f95c13-c2a9-4815-9039-ed1f9b367d38/snapshotimagehandler_1578352310.jpeg?h=225&w=225
Tesco White Potatoes 2Kg,€3.29,,€1.64/kg,https://www.tesco.ie/groceries/en-IE/products/292139885,https://digitalcontent.api.tesco.com/v2/media/ghs/34d8748e-fbba-48ae-ae13-37a1dc8a21c7/snapshotimagehandler_1742943574.jpeg?h=225&w=225
Tesco Finest Baby Potatoes 1Kg,€1.89,,€1.89/kg,https://www.tesco.ie/groceries/en-IE/products/264671895,https://digitalcontent.api.tesco.com/v2/media/ghs/ed671840-3cf2-4736-81ea-64275af18e2c/816615d5-9b2e-42b7-8340-4e5799075324_679323962.jpeg?h=225&w=225
Rooster Potatoes Loose,€0.73,,€2.59/kg,https://www.tesco.ie/groceries/en-IE/products/250061475,https://digitalcontent.api.tesco.com/v2/media/ghs/95f21a64-79f8-4e3e-acbe-4458f29d79b0/snapshotimagehandler_1359793486.jpeg?h=225&w=225
Tesco Sweet Potato Bakers,€2.29,,€2.29/each,https://www.tesco.ie/groceries/en-IE/products/303731846,https://digitalcontent.api.tesco.com/v2/media/ghs/2fb4a8c4-d486-43ff-9119-846e2003b8f6/snapshotimagehandler_1638852925.jpeg?h=225&w=225
Country Crest Microwave Maris Piper Potatoes 1Kg,€2.19,,€2.19/kg,https://www.tesco.ie/groceries/en-IE/products/307149251,https://digitalcontent.api.tesco.com/v2/media/ghs/4495c50c-aa36-4d96-88ed-df88cbbf968e/snapshotimagehandler_1246757934.jpeg?h=225&w=225
Tesco Kerrs Pinks 2Kg,€3.29,,€1.64/kg,https://www.tesco.ie/groceries/en-IE/products/294286453,https://digitalcontent.api.tesco.com/v2/media/ghs/4573cc04-1910-4e90-a0f9-b932e6ee58ae/snapshotimagehandler_1558904984.jpeg?h=225&w=225
Country Crest Rooster Potatoes Microwavable 1Kg,€1.99,,€1.99/kg,https://www.tesco.ie/groceries/en-IE/products/307137386,https://digitalcontent.api.tesco.com/v2/media/ghs/4ae6c739-c378-4954-ba41-064ec7440646/snapshotimagehandler_348009204.jpeg?h=225&w=225
Tesco Loose Sweet Potato,€1.09,,€1.09/each,https://www.tesco.ie/groceries/en-IE/products/298005389,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Kerr Pinks 5Kg,€6.49,,€1.30/kg,https://www.tesco.ie/groceries/en-IE/products/305008773,https://digitalcontent.api.tesco.com/v2/media/ghs/019cdb3a-f18d-4699-a797-e747e66498fb/snapshotimagehandler_1308413948.jpeg?h=225&w=225
Tesco Golden Wonder 2Kg,€3.69,,€1.84/kg,https://www.tesco.ie/groceries/en-IE/products/294286840,https://digitalcontent.api.tesco.com/v2/media/ghs/f4120fa9-8681-433d-b78c-dec216b10aa5/snapshotimagehandler_1004597903.jpeg?h=225&w=225
