Title,Price,Promotional Price,Price Per,Product URL,Image URL
Gilfresh Carrot Battons 500G,€1.59,,€3.18/kg,https://www.tesco.ie/groceries/en-IE/products/311425892,https://digitalcontent.api.tesco.com/v2/media/ghs/ec456682-a787-40cc-9ee4-038ca9bd21a1/1a27f564-54b4-4d46-9604-e299460a6b5f_885744481.jpeg?h=225&w=225
Tesco Butternut Squash 300G,€1.80,,€6.00/kg,https://www.tesco.ie/groceries/en-IE/products/273592358,https://digitalcontent.api.tesco.com/v2/media/ghs/2031fd2c-0c55-4bb8-8e9d-02f6b64b5c16/snapshotimagehandler_1023972600.jpeg?h=225&w=225
Gilfresh Broccoli Cauliflower And Carrot 350G,€2.00,,€5.71/kg,https://www.tesco.ie/groceries/en-IE/products/312084169,https://digitalcontent.api.tesco.com/v2/media/ghs/b1f061dc-4261-4f75-be83-f13817c11eba/26fcf199-c43b-4d7c-9f12-9086efd9de0e_919058983.jpeg?h=225&w=225
Gilfresh Freshly Cut Soup Vegetables 320G,€2.00,,€6.25/kg,https://www.tesco.ie/groceries/en-IE/products/312090052,https://digitalcontent.api.tesco.com/v2/media/ghs/4ba01c88-01fd-4f62-ae0c-70a74612e29c/fce993a8-8990-4054-8adb-a8dccb400c85_1974807017.jpeg?h=225&w=225
Tesco Potato Mash Balls 360G,€2.00,,€5.56/kg,https://www.tesco.ie/groceries/en-IE/products/300726702,https://digitalcontent.api.tesco.com/v2/media/ghs/9d13b71c-5e88-44af-b0d2-9934d0d4e919/snapshotimagehandler_519455140.jpeg?h=225&w=225
Tescocarrot And Parsnip Mash Balls 420G,€2.00,,€4.76/kg,https://www.tesco.ie/groceries/en-IE/products/300724572,https://digitalcontent.api.tesco.com/v2/media/ghs/c42aa62a-775e-43fb-9589-ce6c8537c0e2/snapshotimagehandler_619581797.jpeg?h=225&w=225
Tesco Baby Potatoes With Garlic And Herb Butter 400G,€2.00,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/308476731,https://digitalcontent.api.tesco.com/v2/media/ghs/ab1b7538-1dff-4b4e-b5da-ed533238164d/c28bdbfe-a184-4833-a6fe-faf5885aa896_938469444.jpeg?h=225&w=225
You Say Potato Fresh Cut Chips 1Kg,€2.00,,€2.00/kg,https://www.tesco.ie/groceries/en-IE/products/296457860,https://digitalcontent.api.tesco.com/v2/media/ghs/72485fe5-0285-4da2-82f6-59a9239d199a/8be7665b-8e85-4104-ad51-f29e5663f049.jpeg?h=225&w=225
Gilfresh Broccoli Florets 250G,€2.00,,€8.00/kg,https://www.tesco.ie/groceries/en-IE/products/311784172,https://digitalcontent.api.tesco.com/v2/media/ghs/7e690162-d76c-49bc-bd36-6ccaa63f9664/6481a9a0-67df-46f1-97a3-362ed377531d_432344038.jpeg?h=225&w=225
Donnelly Chinese Inspired Stir Fry 300G,€2.00,,€6.67/kg,https://www.tesco.ie/groceries/en-IE/products/311678684,https://digitalcontent.api.tesco.com/v2/media/ghs/cfcae957-34cd-4352-9004-41096a612552/bdc60a53-9182-4077-826f-b51b1238cb7c_1924550819.jpeg?h=225&w=225
