Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Stir Fry Vegetable Mix 600G,€1.90,,€3.17/kg,https://www.tesco.ie/groceries/en-IE/products/297186584,https://digitalcontent.api.tesco.com/v2/media/ghs/e875a3d7-0ed0-401f-9d13-b5ed9dfe40cd/96240bf0-eaa0-49b1-bb22-7d9476195cb8.jpeg?h=225&w=225
Tesco Egg Noodles 300G,€1.31,,€4.37/kg,https://www.tesco.ie/groceries/en-IE/products/262726489,https://digitalcontent.api.tesco.com/v2/media/ghs/0167db90-0d86-44f5-a09e-d54e4300e856/9ee6ec8c-98c8-4627-982f-c5b67b1d7649_139011269.jpeg?h=225&w=225
Donnelly Fajita Mix 400G,€2.00,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/311796287,https://digitalcontent.api.tesco.com/v2/media/ghs/3ea6c1ce-c094-4e9e-9810-aad2537c61a0/d0c59e0d-361f-4223-ac74-3408ed4c5c6c_1085131203.jpeg?h=225&w=225
Tesco Bean Sprouts 335G,€2.00,,€5.97/kg,https://www.tesco.ie/groceries/en-IE/products/283170883,https://digitalcontent.api.tesco.com/v2/media/ghs/aad2b501-2817-453e-a756-bf2f7fa13e99/6d0bc82f-ff45-4a8d-b7a4-179e9b9b3596_1083431665.jpeg?h=225&w=225
Donnelly Chinese Inspired Stir Fry 300G,€2.00,,€6.67/kg,https://www.tesco.ie/groceries/en-IE/products/311678684,https://digitalcontent.api.tesco.com/v2/media/ghs/cfcae957-34cd-4352-9004-41096a612552/bdc60a53-9182-4077-826f-b51b1238cb7c_1924550819.jpeg?h=225&w=225
Itsu Brillian Broth Chicken Ramen 500Ml,€2.99,,€5.98/litre,https://www.tesco.ie/groceries/en-IE/products/315157131,https://digitalcontent.api.tesco.com/v2/media/ghs/8146ce27-d13d-490b-ab2f-0ce640e1709e/05e8ad92-9026-48bf-9971-e2dedbf23fd9_1911373269.jpeg?h=225&w=225
Donnelly Hot And Spicy Stir Fry 300G,€2.00,,€6.67/kg,https://www.tesco.ie/groceries/en-IE/products/311792801,https://digitalcontent.api.tesco.com/v2/media/ghs/981b568f-30ea-4c21-95d7-39f34e8d6715/b806d658-9870-4399-a663-61a1fd97f5f3_93671345.jpeg?h=225&w=225
Itsu Restaurant Ramen Original Noodles 200G,€1.99,,€9.95/kg,https://www.tesco.ie/groceries/en-IE/products/315068795,https://digitalcontent.api.tesco.com/v2/media/ghs/7dedcbd0-4892-4847-b731-5e99f3db1e5b/412fcdf3-92e4-40aa-8b57-9f0946b5f32f_753546626.jpeg?h=225&w=225
Tesco Vegetable Stir Fry 380G,€2.00,,€5.26/kg,https://www.tesco.ie/groceries/en-IE/products/280003776,https://digitalcontent.api.tesco.com/v2/media/ghs/31115d1a-df7c-447d-a3c9-98afd66cafae/snapshotimagehandler_1710540898.jpeg?h=225&w=225
Tesco Mixed Pepper Stir Fry 320G,€2.20,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/292843362,https://digitalcontent.api.tesco.com/v2/media/ghs/1b980a80-db11-4f91-a721-f683458e86e4/snapshotimagehandler_1247107402.jpeg?h=225&w=225
Insanely Good Sweet Chilli Stir Fry Sauce 180G,€1.50,,€8.33/kg,https://www.tesco.ie/groceries/en-IE/products/312093452,https://digitalcontent.api.tesco.com/v2/media/ghs/6b0dcb6d-3bff-41cb-9548-4c75b0da646d/0a312054-06ef-49e8-8962-27e067905bb5_2033672594.jpeg?h=225&w=225
Insanely Good Teriyaki Stir Fry Sauce 180G,€1.50,,€8.33/kg,https://www.tesco.ie/groceries/en-IE/products/311950298,https://digitalcontent.api.tesco.com/v2/media/ghs/54ca4233-2882-41de-9e0d-46f00c6cefb1/7fc9fffe-9997-4aa4-8e04-522cf78a19cb_939467049.jpeg?h=225&w=225
Insanely Good Chinese Style Stir Fry Sauce 180G,€1.50,,€8.33/kg,https://www.tesco.ie/groceries/en-IE/products/312088499,https://digitalcontent.api.tesco.com/v2/media/ghs/0c4c88d6-f7bf-4ea8-b5d2-eabfe80ed2a1/bce9db5f-b88f-4cb7-b7c1-e71fa5d903a6_1716159341.jpeg?h=225&w=225
itsu restaurant ramen soba noodles 200g,€1.99,,€9.95/kg,https://www.tesco.ie/groceries/en-IE/products/315164364,https://digitalcontent.api.tesco.com/v2/media/ghs/bddea825-1463-4200-b8c6-efab8b601b5b/1420eb42-6107-4da0-9e91-3e0c5c92b14d_1993486495.jpeg?h=225&w=225
Insanely Good Black Bean Stir Fry Sauce 180G,€1.50,,€8.33/kg,https://www.tesco.ie/groceries/en-IE/products/312090582,https://digitalcontent.api.tesco.com/v2/media/ghs/22eb4d78-dab1-4308-b8b3-0240347f996a/9c4fc622-045c-4b1b-9466-ec629e61a71b_756658030.jpeg?h=225&w=225
Insanely Good Red Thai Curry Stir Fry Sauce 180G,€1.50,,€8.33/kg,https://www.tesco.ie/groceries/en-IE/products/312104182,https://digitalcontent.api.tesco.com/v2/media/ghs/a27ab9e0-97c8-442f-94f0-1dde60e603af/26023ad2-a0ef-4e4f-ae1a-22580de7275f_1704649797.jpeg?h=225&w=225
Insanely Good Katsu Curry Stir Fry Sauce 180G,€1.50,,€8.33/kg,https://www.tesco.ie/groceries/en-IE/products/311806286,https://digitalcontent.api.tesco.com/v2/media/ghs/e6ae96a3-5a3c-4d88-ac91-76eafe2474c8/c01919e5-fd7f-4808-bd85-f2e3b7ba201d_2016607356.jpeg?h=225&w=225
