Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco 100% Pure Orange Juice Smooth 1 Litre,€2.00,,€2.00/litre,https://www.tesco.ie/groceries/en-IE/products/259151850,https://digitalcontent.api.tesco.com/v2/media/ghs/16d72837-82a7-414d-8c03-1ed502f0b438/1e318455-353f-4558-9d9e-247bdec03f83.jpeg?h=225&w=225
Tesco 100% Pure Squeezed Orange Juice With Bits 1 Litre,€2.00,,€2.00/litre,https://www.tesco.ie/groceries/en-IE/products/258997144,https://digitalcontent.api.tesco.com/v2/media/ghs/e1442c39-789f-4b96-a107-2a5f32a602dc/9033ed40-aa0c-4e71-9bbd-5a64b737a9e4.jpeg?h=225&w=225
Tesco Pressed Apple Juice Not From Concentrate 1 Litre,€2.00,,€2.00/litre,https://www.tesco.ie/groceries/en-IE/products/258997737,https://digitalcontent.api.tesco.com/v2/media/ghs/e3aa79a2-752d-492f-aeac-86ff84e15261/snapshotimagehandler_420575501.jpeg?h=225&w=225
Innocent Orange Juice Smooth 900Ml,€3.75,Any 2 for €5.50 Clubcard Price - Selected Innocent Fruit And Vegetable Juice,€4.17/litre,https://www.tesco.ie/groceries/en-IE/products/268218386,https://digitalcontent.api.tesco.com/v2/media/ghs/14fdc4b8-9042-4419-a549-1c5c79918a46/66929f34-2f5c-4fdd-82b9-7dd95abaebb8.jpeg?h=225&w=225
Growers Harvest Pure Apple Juice 2 Litre,€1.95,,€0.98/litre,https://www.tesco.ie/groceries/en-IE/products/300474095,https://digitalcontent.api.tesco.com/v2/media/ghs/5780f089-6220-400b-a418-09206acadde9/c7fb121f-b420-424f-a7fb-992a2b20520e.jpeg?h=225&w=225
Tesco Orange Juice Smooth Not From Concentrate 1.75L,€2.85,,€1.63/litre,https://www.tesco.ie/groceries/en-IE/products/306949383,https://digitalcontent.api.tesco.com/v2/media/ghs/64b5803f-70ac-4084-9e03-c2df8c2347d8/snapshotimagehandler_1881129001.jpeg?h=225&w=225
Tesco Apple Juice Not From Concentrate 1.75L,€2.85,,€1.63/litre,https://www.tesco.ie/groceries/en-IE/products/306934417,https://digitalcontent.api.tesco.com/v2/media/ghs/7edfe678-b0e9-45e1-8090-74af11e37d67/e3ed353c-8fc3-4cde-990b-9a4de74eb0a2_591484623.jpeg?h=225&w=225
Tesco 100% Pressed Apple & Mango Juice 1 Litre,€2.00,,€2.00/litre,https://www.tesco.ie/groceries/en-IE/products/276956454,https://digitalcontent.api.tesco.com/v2/media/ghs/eea08b1e-cf7d-4eb3-b017-e216d3e073bf/ee427655-65db-495f-9329-4f08c0f16c53.jpeg?h=225&w=225
Innocent Orange Juice Smooth 1.35 Litre,€4.99,Any 2 for €7 Clubcard Price - Selected Innocent Juice,€3.70/litre,https://www.tesco.ie/groceries/en-IE/products/271400233,https://digitalcontent.api.tesco.com/v2/media/ghs/e9a9b9cd-ad3b-4624-b4c1-e773fc09741c/ddd4a575-e277-467c-b62c-18121727e65c.jpeg?h=225&w=225
Tesco 100% Pure Pineapple Juice 1 Litre,€2.00,,€2.00/litre,https://www.tesco.ie/groceries/en-IE/products/276956212,https://digitalcontent.api.tesco.com/v2/media/ghs/ae12342d-cfb8-4911-a0f4-eb31378ecce7/a61e5758-9d36-4a24-91e0-0b25fdad252a_612148850.jpeg?h=225&w=225
