Title,Price,Promotional Price,Price Per,Product URL,Image URL
Innocent Orange Juice Smooth 900Ml,€3.75,Any 2 for €5.50 Clubcard Price - Selected Innocent Fruit And Vegetable Juice,€4.17/litre,https://www.tesco.ie/groceries/en-IE/products/268218386,https://digitalcontent.api.tesco.com/v2/media/ghs/14fdc4b8-9042-4419-a549-1c5c79918a46/66929f34-2f5c-4fdd-82b9-7dd95abaebb8.jpeg?h=225&w=225
Innocent Orange Juice Smooth 1.35 Litre,€4.99,Any 2 for €7 Clubcard Price - Selected Innocent Juice,€3.70/litre,https://www.tesco.ie/groceries/en-IE/products/271400233,https://digitalcontent.api.tesco.com/v2/media/ghs/e9a9b9cd-ad3b-4624-b4c1-e773fc09741c/ddd4a575-e277-467c-b62c-18121727e65c.jpeg?h=225&w=225
Innocent Apple Juice 900Ml,€3.75,Any 2 for €5.50 Clubcard Price - Selected Innocent Fruit And Vegetable Juice,€4.17/litre,https://www.tesco.ie/groceries/en-IE/products/268219251,https://digitalcontent.api.tesco.com/v2/media/ghs/dc3e1819-b2b3-4718-a462-9dee373ceef6/c2e1094c-588d-4db0-97de-77c0e53b3c6e.jpeg?h=225&w=225
Happy Monkey Smoothies Strawberry & Banana 4 x 180ml,€3.25,€2.50 Clubcard Price,€4.51/litre,https://www.tesco.ie/groceries/en-IE/products/265160818,https://digitalcontent.api.tesco.com/v2/media/ghs/dcb13bad-7469-4363-8b0f-96b5bad3953e/b1bb09bf-f631-441c-b0bf-9af12a959862.jpeg?h=225&w=225
Happy Monkey Smoothies Apple & Blackcurrant 180ml,€3.25,€2.50 Clubcard Price,€4.51/litre,https://www.tesco.ie/groceries/en-IE/products/283293639,https://digitalcontent.api.tesco.com/v2/media/ghs/43fce400-a29c-45a3-bb33-de7486ce3bae/eeed1a9a-e3d3-45b0-9af7-227c30fb2d72_1629803712.jpeg?h=225&w=225
Happy Monkey Smoothies Orange & Mango 4 x 180ml,€3.25,€2.50 Clubcard Price,€4.51/litre,https://www.tesco.ie/groceries/en-IE/products/265161034,https://digitalcontent.api.tesco.com/v2/media/ghs/743e1eec-7976-4f33-8a54-3be32383d662/1f3292ab-d9b2-44d6-b671-d848d33a5452.jpeg?h=225&w=225
Innocent Tropical Juice 900Ml,€3.75,Any 2 for €5.50 Clubcard Price - Selected Innocent Fruit And Vegetable Juice,€4.17/litre,https://www.tesco.ie/groceries/en-IE/products/272488576,https://digitalcontent.api.tesco.com/v2/media/ghs/a4ba5ffd-cc36-4be1-bdc8-468628c48362/ede25543-bd8b-4fcb-9d4c-3e7d61f3d0fd.jpeg?h=225&w=225
Innocent Apple Juice 1.35 Litre,€4.99,Any 2 for €7 Clubcard Price - Selected Innocent Juice,€3.70/litre,https://www.tesco.ie/groceries/en-IE/products/272489114,https://digitalcontent.api.tesco.com/v2/media/ghs/43ecff4c-c807-4cfd-9e0a-dd0e6eb0f6e5/879dac26-6602-498a-9b39-15e807e68c48.jpeg?h=225&w=225
Innocent Orange Juice With Bits 900Ml,€3.75,Any 2 for €5.50 Clubcard Price - Selected Innocent Fruit And Vegetable Juice,€4.17/litre,https://www.tesco.ie/groceries/en-IE/products/268219959,https://digitalcontent.api.tesco.com/v2/media/ghs/22de3e8a-b16b-42d0-8d48-f9d5d3e67f3b/0d3538b8-feac-4178-a306-8200d3994bfa.jpeg?h=225&w=225
Innocent Apple & Raspberry Juice 900Ml,€3.75,Any 2 for €5.50 Clubcard Price - Selected Innocent Fruit And Vegetable Juice,€4.17/litre,https://www.tesco.ie/groceries/en-IE/products/272488207,https://digitalcontent.api.tesco.com/v2/media/ghs/5770dbe2-b850-4a53-a7ed-e54282d265be/ffe18f52-485d-4f32-bdd4-b4c4852ecc15.jpeg?h=225&w=225
Innocent Kids Apple Juice 4X150ml,€3.99,€3.00 Clubcard Price,€6.65/litre,https://www.tesco.ie/groceries/en-IE/products/305530240,https://digitalcontent.api.tesco.com/v2/media/ghs/1748a6ac-de73-41c7-af4a-1931b259f4e2/f6b2204e-6b9e-4a38-9f15-109359c1ed18_1363084407.jpeg?h=225&w=225
Innocent Orange Juice With Bits 1.35 Litre,€4.99,Any 2 for €7 Clubcard Price - Selected Innocent Juice,€3.70/litre,https://www.tesco.ie/groceries/en-IE/products/271400354,https://digitalcontent.api.tesco.com/v2/media/ghs/e438f766-936c-427d-9fed-1c419bc74c6d/72ee9279-371c-4398-a062-f43e5babce16.jpeg?h=225&w=225
Innocent Orange And Carrot Juice Blend 900Ml,€3.75,Any 2 for €5.50 Clubcard Price - Selected Innocent Fruit And Vegetable Juice,€4.17/litre,https://www.tesco.ie/groceries/en-IE/products/301627392,https://digitalcontent.api.tesco.com/v2/media/ghs/a85d609c-6f7b-422e-8786-e673612cf563/78599531-14a2-4c8f-9117-7619f67d9cb3_2044078036.jpeg?h=225&w=225
Tropicana Tropical Juice 850Ml,€3.75,€3.00 Clubcard Price,€4.41/litre,https://www.tesco.ie/groceries/en-IE/products/287295032,https://digitalcontent.api.tesco.com/v2/media/ghs/0bc087c4-f13a-4d59-bdd4-39b38687bc23/e32754ed-a209-4fcf-a13e-f205af5d6b8f.jpeg?h=225&w=225
Vita Coco Natural Coconut Water 1 Litre,€4.89,€3.00 Clubcard Price,€4.89/litre,https://www.tesco.ie/groceries/en-IE/products/268094074,https://digitalcontent.api.tesco.com/v2/media/ghs/c6c68ff8-8add-440a-90d4-e3bdb5635d6c/b87144c9-8563-4082-ad82-6f58a4732ace_2083483680.jpeg?h=225&w=225
Tropicana Pineapple Juice 850Ml,€3.75,€3.00 Clubcard Price,€4.41/litre,https://www.tesco.ie/groceries/en-IE/products/287294534,https://digitalcontent.api.tesco.com/v2/media/ghs/a6bea4ea-c04d-4e20-91d1-d3752e1b4de5/c9860da8-1ccb-4202-b1a2-61e6d2568e03.jpeg?h=225&w=225
Innocent Tropical Juice 1.35 Litre,€4.99,Any 2 for €7 Clubcard Price - Selected Innocent Juice,€3.70/litre,https://www.tesco.ie/groceries/en-IE/products/276685837,https://digitalcontent.api.tesco.com/v2/media/ghs/fe8cba43-6bad-41e4-b673-177f536a7312/9c1ccbbd-960b-4ffa-b5a9-5fbb97598a5c.jpeg?h=225&w=225
Tropicana Orange & Mango Juice 850Ml,€3.75,€3.00 Clubcard Price,€4.41/litre,https://www.tesco.ie/groceries/en-IE/products/287294655,https://digitalcontent.api.tesco.com/v2/media/ghs/743d3718-2820-44d7-bb4b-049449d730bf/0c98c246-0f1a-4a4f-af6e-63882d0e83f0.jpeg?h=225&w=225
innocent Smoothie Blueberries Peaches & Apples 750ml,€4.29,€3.50 Clubcard Price,€5.72/litre,https://www.tesco.ie/groceries/en-IE/products/308113706,https://digitalcontent.api.tesco.com/v2/media/ghs/0460d44b-996b-42fa-a460-80a323200066/9e2ff0b0-78f4-45b4-94ee-241a722dae42.jpeg?h=225&w=225
innocent Smoothie Guavas Pineapples & Apples 750ml,€4.29,€3.50 Clubcard Price,€5.72/litre,https://www.tesco.ie/groceries/en-IE/products/307741199,https://digitalcontent.api.tesco.com/v2/media/ghs/a7a05a39-7132-4048-bd1c-de3af3176477/89c34493-47e6-4291-bebb-1b5863f3025f.jpeg?h=225&w=225
innocent Smoothie Strawberries Pineapples & Apples 750ml,€4.29,€3.50 Clubcard Price,€5.72/litre,https://www.tesco.ie/groceries/en-IE/products/308110449,https://digitalcontent.api.tesco.com/v2/media/ghs/832125c3-4356-4685-ad50-7c7220116217/35d6845e-2b48-4396-9a58-7440d29f2bbb.jpeg?h=225&w=225
Innocent Energise Super Smoothie 300Ml,€3.19,€2.50 Clubcard Price,€10.63/litre,https://www.tesco.ie/groceries/en-IE/products/305518993,https://digitalcontent.api.tesco.com/v2/media/ghs/6ef3416a-501b-448b-8e39-3c8eded94c93/9500422f-bed1-4b08-9978-11064260f9c3.jpeg?h=225&w=225
