Title,Price,Promotional Price,Price Per,Product URL,Image URL
Quorn Vegan Smoky Ham Free Slice 100G,€2.85,€2.13 Clubcard Price,€28.50/kg,https://www.tesco.ie/groceries/en-IE/products/300544940,https://digitalcontent.api.tesco.com/v2/media/ghs/1741eca2-2863-4dc2-9aef-ce5a75b90efc/88c16987-797b-4c53-afec-649b24562321.jpeg?h=225&w=225
The Tofoo Co Naked Tofu 280G,€3.20,€2.56 Clubcard Price,€11.43/kg,https://www.tesco.ie/groceries/en-IE/products/294476706,https://digitalcontent.api.tesco.com/v2/media/ghs/19e73601-4f07-49d7-8a26-a06dab3be799/897eadad-cd48-4eae-a34a-85c3d4c26d0a.jpeg?h=225&w=225
Hearty Food Co. 28 Breaded Chicken Nuggets 450g,€1.38,,€3.07/kg,https://www.tesco.ie/groceries/en-IE/products/315379605,https://digitalcontent.api.tesco.com/v2/media/ghs/79df921b-2fd3-4d5d-b34f-a52b1fe4b328/51d88cb4-cfca-4cde-bfd4-287a5bbd98bc.jpeg?h=225&w=225
Cauldron Foods Tofu 396G,€3.30,,€8.33/kg,https://www.tesco.ie/groceries/en-IE/products/266727466,https://digitalcontent.api.tesco.com/v2/media/ghs/024e297d-1ef5-49d8-b580-1be01638b503/dfe68d2f-1a61-4a43-9f0e-be86dcad5884.jpeg?h=225&w=225
Quorn Vegan Chicken Free Slices 100G,€2.85,€2.13 Clubcard Price,€28.50/kg,https://www.tesco.ie/groceries/en-IE/products/300544928,https://digitalcontent.api.tesco.com/v2/media/ghs/c31aafa8-7b65-4d7d-859b-ded2e4d803aa/371cef03-7d89-4ac2-b1b4-9e4286fbc0a5.jpeg?h=225&w=225
The Tofoo Co. Naked Xl Extra Firm Organic Tofu 450G,€4.50,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/306819791,https://digitalcontent.api.tesco.com/v2/media/ghs/f1465239-a94e-4d36-9e89-83f26e4b435b/8cd6141a-b23f-40ad-9acc-aaa68e02df86_940256656.jpeg?h=225&w=225
The Tofoo Co. Smoked Organic Tofu 225G,€3.20,€2.56 Clubcard Price,€14.22/kg,https://www.tesco.ie/groceries/en-IE/products/300743036,https://digitalcontent.api.tesco.com/v2/media/ghs/54185932-4beb-4818-9571-a9f8cebf9813/640f71c3-3914-4627-920c-1dce335141b3_1280815917.jpeg?h=225&w=225
Rudds Plnt/Bsd 6 Meatfree Sausages 270G,€3.00,,€11.11/kg,https://www.tesco.ie/groceries/en-IE/products/308091500,https://digitalcontent.api.tesco.com/v2/media/ghs/1d249082-383b-497d-9578-55fd13df5ee3/70e735ca-83a7-4197-8c43-a22120fc7530_2069991728.jpeg?h=225&w=225
Cauldron Foods Tofu Pieces 160G,€3.30,€2.47 Clubcard Price,€20.62/kg,https://www.tesco.ie/groceries/en-IE/products/266728037,https://digitalcontent.api.tesco.com/v2/media/ghs/7f2445b4-e3bf-499f-8552-16dfdca42348/6abcf5c6-8560-454a-b234-81bc1422a2eb.jpeg?h=225&w=225
Tofoo Co Tempeh 200G,€3.00,€2.40 Clubcard Price,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/303969755,https://digitalcontent.api.tesco.com/v2/media/ghs/63062fdc-8d2f-4710-8069-2f253d97d35e/d5043de6-7395-48c6-8ed2-b21e485d11ff.jpeg?h=225&w=225
Sons Of Butchers Trick'n Strips 160G,€3.50,€2.79 Clubcard Price,€21.88/kg,https://www.tesco.ie/groceries/en-IE/products/309455403,https://digitalcontent.api.tesco.com/v2/media/ghs/2afae891-6649-40d0-9126-bfbcbfe6bd16/snapshotimagehandler_480008591.jpeg?h=225&w=225
Quorn Vegan Pepperoni Slices 100G,€2.85,€2.13 Clubcard Price,€28.50/kg,https://www.tesco.ie/groceries/en-IE/products/308850419,https://digitalcontent.api.tesco.com/v2/media/ghs/04fdddcd-2a45-4686-8416-7173a3174427/13f1b3e0-9a1a-4b6b-9ea4-662fca709cbd_1192667928.jpeg?h=225&w=225
Sons Of Butchers Mince Cheat 300G,€3.50,€2.79 Clubcard Price,€11.67/kg,https://www.tesco.ie/groceries/en-IE/products/309161998,https://digitalcontent.api.tesco.com/v2/media/ghs/18ed7a07-1918-4193-8f73-33757a750a87/snapshotimagehandler_1764353325.jpeg?h=225&w=225
Rudds Plnt/Bsd Veggie White Pudding 200G,€2.50,,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/308108765,https://digitalcontent.api.tesco.com/v2/media/ghs/a141897c-b4c6-42f3-aaaf-101d6bd63fb7/a0fe4314-b6df-4371-b219-4aeb8123b673_992511494.jpeg?h=225&w=225
"Quorn Meat Free Peppered Steaks 2 Pack, 196G",€4.35,,€22.19/kg,https://www.tesco.ie/groceries/en-IE/products/251922538,https://digitalcontent.api.tesco.com/v2/media/ghs/c8ca88a5-e77e-470b-9b36-d061b4627f87/a5ae1a4f-8ac4-418a-afa7-2029e4660f84_1796637024.jpeg?h=225&w=225
Rudds Plnt/Bsd Veggie Black Pudding 200G,€2.50,,€12.50/kg,https://www.tesco.ie/groceries/en-IE/products/308091886,https://digitalcontent.api.tesco.com/v2/media/ghs/ff36f79e-8251-4054-b86e-eb5bf247b8dd/3469bca8-be14-4a1e-9b06-08230e81e7dc_1370933042.jpeg?h=225&w=225
Sons Of Butchers 2 Bluff Burger 227G,€3.00,€2.40 Clubcard Price,€13.22/kg,https://www.tesco.ie/groceries/en-IE/products/309482474,https://digitalcontent.api.tesco.com/v2/media/ghs/ebc42ba3-4964-4e81-92c0-5fb4fb5e0ce1/6ec99772-0ef8-46a1-a670-120546f71a56_424030572.jpeg?h=225&w=225
"Carroll""S Vegetarian Lasaagne 400G",€4.69,€3.69 Clubcard Price,€11.72/kg,https://www.tesco.ie/groceries/en-IE/products/304778150,https://digitalcontent.api.tesco.com/v2/media/ghs/92ca95dd-d432-42ed-a104-8f42f8df6da9/snapshotimagehandler_1128121148.jpeg?h=225&w=225
Quorn Meat Free Mince 350G,€3.50,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/259363109,https://digitalcontent.api.tesco.com/v2/media/ghs/c63ca81c-b4d0-471f-b141-41a4427c8b8c/6469fe59-3273-466e-83ce-18670abf8545_1589390207.jpeg?h=225&w=225
Quorn Spinach And Red Pepper Slices 100G,€2.70,,€27.00/kg,https://www.tesco.ie/groceries/en-IE/products/297661822,https://digitalcontent.api.tesco.com/v2/media/ghs/0002e283-9d26-415e-88c5-164de4da8927/f880eb8f-e96e-4677-9eba-f946411c5309.jpeg?h=225&w=225
Tesco 4 Quarter Pounder Chicken Burger 454G,€2.99,,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/315344629,https://digitalcontent.api.tesco.com/v2/media/ghs/bc6250d8-6bdf-4f11-8990-680372e2788b/50ba8a1d-e931-425d-8d16-e9e53b13c82b.jpeg?h=225&w=225
Sons Of Butchers Southern Fried Trick 'N Goujons 200G,€4.00,€3.19 Clubcard Price,€20.00/kg,https://www.tesco.ie/groceries/en-IE/products/311276670,https://digitalcontent.api.tesco.com/v2/media/ghs/7e3837dd-a9fa-44fe-848f-e9c896e07071/4815891d-2d53-4e80-ab14-8b98103c5c61_1671866287.jpeg?h=225&w=225
Thanks Plants Everyday Roast 500G,€8.95,,€17.90/kg,https://www.tesco.ie/groceries/en-IE/products/311792527,https://digitalcontent.api.tesco.com/v2/media/ghs/6a24360d-0987-41be-b00c-0f572f0c4405/f9e3f5ef-c6e2-4048-9718-94944dd3f17f_1327216951.jpeg?h=225&w=225
Tesco 2 Southern Fried Chicken Breast Fillet Burgers 210G,€2.99,,€14.24/kg,https://www.tesco.ie/groceries/en-IE/products/315338879,https://digitalcontent.api.tesco.com/v2/media/ghs/868ebcfd-ebf2-4877-9ea8-d3e9cf6e70e8/9bb61c46-9103-4de3-ba39-8164ec913d8c.jpeg?h=225&w=225
TESCO PLANT CHEF CRISPY NO-CHICKEN NUGGETS 180G,€3.25,,€18.06/kg,https://www.tesco.ie/groceries/en-IE/products/313954740,https://digitalcontent.api.tesco.com/v2/media/ghs/651acf17-1c0a-4dfa-83b2-b4d3e978ff9a/0f5746e0-60e4-496f-b95e-f37db0d896d1.jpeg?h=225&w=225
Tesco BBQ Chicken Breast Chunks 650G,€5.75,,€8.85/kg,https://www.tesco.ie/groceries/en-IE/products/315393432,https://digitalcontent.api.tesco.com/v2/media/ghs/64aa34f3-565e-412b-9fd0-50563480a08d/4823742c-9a19-4ce4-9667-939c9a9afd2c.jpeg?h=225&w=225
Tesco Tempura Chicken Breast Chunks 650G,€5.75,,€8.85/kg,https://www.tesco.ie/groceries/en-IE/products/315335139,https://digitalcontent.api.tesco.com/v2/media/ghs/8e15ad13-8efc-4002-a8a9-40cb0919f3a2/876fe32d-59ba-4dd1-9ecc-1943a0d56e12.jpeg?h=225&w=225
