Title,Price,Promotional Price,Price Per,Product URL,Image URL
Quorn Vegan Smoky Ham Free Slice 100G,€2.85,€2.13 Clubcard Price,€28.50/kg,https://www.tesco.ie/groceries/en-IE/products/300544940,https://digitalcontent.api.tesco.com/v2/media/ghs/1741eca2-2863-4dc2-9aef-ce5a75b90efc/88c16987-797b-4c53-afec-649b24562321.jpeg?h=225&w=225
The Tofoo Co Naked Tofu 280G,€3.20,€2.56 Clubcard Price,€11.43/kg,https://www.tesco.ie/groceries/en-IE/products/294476706,https://digitalcontent.api.tesco.com/v2/media/ghs/19e73601-4f07-49d7-8a26-a06dab3be799/897eadad-cd48-4eae-a34a-85c3d4c26d0a.jpeg?h=225&w=225
Quorn Vegan Chicken Free Slices 100G,€2.85,€2.13 Clubcard Price,€28.50/kg,https://www.tesco.ie/groceries/en-IE/products/300544928,https://digitalcontent.api.tesco.com/v2/media/ghs/c31aafa8-7b65-4d7d-859b-ded2e4d803aa/371cef03-7d89-4ac2-b1b4-9e4286fbc0a5.jpeg?h=225&w=225
The Tofoo Co. Smoked Organic Tofu 225G,€3.20,€2.56 Clubcard Price,€14.22/kg,https://www.tesco.ie/groceries/en-IE/products/300743036,https://digitalcontent.api.tesco.com/v2/media/ghs/54185932-4beb-4818-9571-a9f8cebf9813/640f71c3-3914-4627-920c-1dce335141b3_1280815917.jpeg?h=225&w=225
Cauldron Foods Tofu Pieces 160G,€3.30,€2.47 Clubcard Price,€20.62/kg,https://www.tesco.ie/groceries/en-IE/products/266728037,https://digitalcontent.api.tesco.com/v2/media/ghs/7f2445b4-e3bf-499f-8552-16dfdca42348/6abcf5c6-8560-454a-b234-81bc1422a2eb.jpeg?h=225&w=225
Tofoo Co Tempeh 200G,€3.00,€2.40 Clubcard Price,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/303969755,https://digitalcontent.api.tesco.com/v2/media/ghs/63062fdc-8d2f-4710-8069-2f253d97d35e/d5043de6-7395-48c6-8ed2-b21e485d11ff.jpeg?h=225&w=225
Sons Of Butchers Trick'n Strips 160G,€3.50,€2.79 Clubcard Price,€21.88/kg,https://www.tesco.ie/groceries/en-IE/products/309455403,https://digitalcontent.api.tesco.com/v2/media/ghs/2afae891-6649-40d0-9126-bfbcbfe6bd16/snapshotimagehandler_480008591.jpeg?h=225&w=225
Quorn Vegan Pepperoni Slices 100G,€2.85,€2.13 Clubcard Price,€28.50/kg,https://www.tesco.ie/groceries/en-IE/products/308850419,https://digitalcontent.api.tesco.com/v2/media/ghs/04fdddcd-2a45-4686-8416-7173a3174427/13f1b3e0-9a1a-4b6b-9ea4-662fca709cbd_1192667928.jpeg?h=225&w=225
Sons Of Butchers Mince Cheat 300G,€3.50,€2.79 Clubcard Price,€11.67/kg,https://www.tesco.ie/groceries/en-IE/products/309161998,https://digitalcontent.api.tesco.com/v2/media/ghs/18ed7a07-1918-4193-8f73-33757a750a87/snapshotimagehandler_1764353325.jpeg?h=225&w=225
Sons Of Butchers 2 Bluff Burger 227G,€3.00,€2.40 Clubcard Price,€13.22/kg,https://www.tesco.ie/groceries/en-IE/products/309482474,https://digitalcontent.api.tesco.com/v2/media/ghs/ebc42ba3-4964-4e81-92c0-5fb4fb5e0ce1/6ec99772-0ef8-46a1-a670-120546f71a56_424030572.jpeg?h=225&w=225
"Carroll""S Vegetarian Lasaagne 400G",€4.69,€3.69 Clubcard Price,€11.72/kg,https://www.tesco.ie/groceries/en-IE/products/304778150,https://digitalcontent.api.tesco.com/v2/media/ghs/92ca95dd-d432-42ed-a104-8f42f8df6da9/snapshotimagehandler_1128121148.jpeg?h=225&w=225
Sons Of Butchers Southern Fried Trick 'N Goujons 200G,€4.00,€3.19 Clubcard Price,€20.00/kg,https://www.tesco.ie/groceries/en-IE/products/311276670,https://digitalcontent.api.tesco.com/v2/media/ghs/7e3837dd-a9fa-44fe-848f-e9c896e07071/4815891d-2d53-4e80-ab14-8b98103c5c61_1671866287.jpeg?h=225&w=225
