Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Butter 454G,€2.99,,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/256148289,https://digitalcontent.api.tesco.com/v2/media/ghs/13c166e9-fc6d-48cb-9b8a-f4dce75ed4ba/94c8d44a-a6d7-4c5b-a143-80a17561fa85_598102234.jpeg?h=225&w=225
Tesco Fresh Milk 2 Litre,€2.09,,€1.04/litre,https://www.tesco.ie/groceries/en-IE/products/250005606,https://digitalcontent.api.tesco.com/v2/media/ghs/1cf822bb-7dae-431e-b900-7be39d965d1d/6a7581fd-06d1-4d39-9aba-397eb74d8e0f_966300345.jpeg?h=225&w=225
Tesco Full Fat Milk 3Ltr,€2.95,,€0.98/litre,https://www.tesco.ie/groceries/en-IE/products/260776455,https://digitalcontent.api.tesco.com/v2/media/ghs/28f7856e-97b1-4edb-a1b9-d6eb59a53604/snapshotimagehandler_417791735.jpeg?h=225&w=225
Tesco Low Fat Milk 2 Litre,€2.09,,€1.04/litre,https://www.tesco.ie/groceries/en-IE/products/250005508,https://digitalcontent.api.tesco.com/v2/media/ghs/9fe09ff4-3465-42fd-81aa-fbde36c2dc59/83999470-709e-467e-accd-a8e93d661bd8_1658446048.jpeg?h=225&w=225
Tesco Free Range Eggs Large Box Of 12,€4.09,,€0.34/each,https://www.tesco.ie/groceries/en-IE/products/260300783,https://digitalcontent.api.tesco.com/v2/media/ghs/84679b5b-d9a1-41b2-a807-1d2a1c1c9feb/ca41877d-9f8b-4e2d-8f4f-66d4ec8c4810_777315829.jpeg?h=225&w=225
Tesco Fresh Milk1ltr,€1.05,,€1.05/litre,https://www.tesco.ie/groceries/en-IE/products/292769732,https://digitalcontent.api.tesco.com/v2/media/ghs/747525ca-092f-4e71-9018-13dc375a7c60/snapshotimagehandler_1949915135.jpeg?h=225&w=225
Dairygold Original 454G,€3.59,€3.00 Clubcard Price,€7.91/kg,https://www.tesco.ie/groceries/en-IE/products/250808808,https://digitalcontent.api.tesco.com/v2/media/ghs/9f5f1197-70f0-48b8-8dfd-20e0462655c6/942bbe24-1e12-488a-abf1-e9bee337dfdf_1597895882.jpeg?h=225&w=225
Tesco Free Range Eggs Medium Box Of 12,€3.85,,€0.32/each,https://www.tesco.ie/groceries/en-IE/products/260300754,https://digitalcontent.api.tesco.com/v2/media/ghs/eea2184e-5dc5-46a7-84d6-acacdf4f6f1b/1e1f1ec8-d100-49d4-9cb6-e63345dc00ee_802658517.jpeg?h=225&w=225
Tesco 18 Medium Irish Barn Eggs,€3.75,,€0.21/each,https://www.tesco.ie/groceries/en-IE/products/314707485,https://digitalcontent.api.tesco.com/v2/media/ghs/d8dd03c7-c116-48d8-b769-7c9b7dada17d/56ea7f8d-7b7b-42f1-9cce-81cff1215ed3_93071308.jpeg?h=225&w=225
Tesco Free Range Eggs Large 6 Pack,€2.25,,€0.38/each,https://www.tesco.ie/groceries/en-IE/products/252807478,https://digitalcontent.api.tesco.com/v2/media/ghs/875e89bd-b4ce-4f71-b7bf-85d195e875ce/cfe91c9c-0a90-4818-8f42-3381688ef043_427278715.jpeg?h=225&w=225
Tesco Low Fat Milk 3L,€2.95,,€0.98/litre,https://www.tesco.ie/groceries/en-IE/products/266600067,https://digitalcontent.api.tesco.com/v2/media/ghs/02a5e12a-f544-4794-8f8e-dd73287d391b/snapshotimagehandler_1758162546.jpeg?h=225&w=225
Tesco Fresh Cream 250Ml,€1.39,,€5.56/litre,https://www.tesco.ie/groceries/en-IE/products/260349846,https://digitalcontent.api.tesco.com/v2/media/ghs/649cc3c6-6ba7-4f8d-9ba4-71f377792bdb/snapshotimagehandler_684203504.jpeg?h=225&w=225
Tesco Skim Milk 1Litre,€1.05,,€1.05/litre,https://www.tesco.ie/groceries/en-IE/products/292769818,https://digitalcontent.api.tesco.com/v2/media/ghs/03f7897e-41f8-4208-bf51-c4dc15d0e05d/snapshotimagehandler_1718394164.jpeg?h=225&w=225
Tesco Irish Cremery Butter 227G,€1.85,,€8.15/kg,https://www.tesco.ie/groceries/en-IE/products/268867214,https://digitalcontent.api.tesco.com/v2/media/ghs/871209be-e426-4a10-8174-8edb410ca626/7132e65d-87be-4249-a48a-da8bfecc085f_294511490.jpeg?h=225&w=225
Tesco Free Range Eggs Medium 6 Pack,€1.95,,€0.32/each,https://www.tesco.ie/groceries/en-IE/products/252807490,https://digitalcontent.api.tesco.com/v2/media/ghs/6d8444ed-e89a-44cf-b50f-020bed8bdab7/00e3c5ab-24b8-4b13-a4e9-06917ca38cf1_1310310890.jpeg?h=225&w=225
Tesco Low Fat Milk 1Ltr,€1.05,,€1.05/litre,https://www.tesco.ie/groceries/en-IE/products/292769790,https://digitalcontent.api.tesco.com/v2/media/ghs/d6e92b7a-c17c-4646-a88a-b7b61755ff9b/snapshotimagehandler_1504021801.jpeg?h=225&w=225
Avonmore Whole Super Milk 1.75L,€2.49,,€1.42/litre,https://www.tesco.ie/groceries/en-IE/products/268260995,https://digitalcontent.api.tesco.com/v2/media/ghs/897b1766-0abe-4ffa-9a33-7a5a5c472729/74b4cab5-5098-43c2-9464-302369a53fe8_1300325888.jpeg?h=225&w=225
Tesco Fresh Cream 500Ml,€2.39,,€4.78/litre,https://www.tesco.ie/groceries/en-IE/products/261908656,https://digitalcontent.api.tesco.com/v2/media/ghs/ca96cb43-4a39-42c4-b6ba-177d8052c52d/snapshotimagehandler_530311838.jpeg?h=225&w=225
Tesco Double Cream 250Ml,€1.39,,€5.56/litre,https://www.tesco.ie/groceries/en-IE/products/310168454,https://digitalcontent.api.tesco.com/v2/media/ghs/95e8422e-c6ff-40f5-b078-582a7e09bd0c/d450fd27-3560-4a02-8b9e-89c5b4b9f416_1108822553.jpeg?h=225&w=225
Kerrygold Butter 454 G,€4.29,,€9.45/kg,https://www.tesco.ie/groceries/en-IE/products/252293306,https://digitalcontent.api.tesco.com/v2/media/ghs/6a705afb-1c78-4bfd-b726-05103d7ebee2/ff70228c-9a36-4b1d-8b3a-44a9436dab5d_731092275.jpeg?h=225&w=225
Avonmore Low Fat Super Milk 1.75L,€2.49,,€1.42/litre,https://www.tesco.ie/groceries/en-IE/products/268261084,https://digitalcontent.api.tesco.com/v2/media/ghs/f9658778-f85d-466f-8740-8a4d241062f3/1c96148e-d8fc-489e-84dc-1077755e3ebf_1645764742.jpeg?h=225&w=225
Tesco Butter Unsalted Foil 227G,€1.85,,€8.15/kg,https://www.tesco.ie/groceries/en-IE/products/293542850,https://digitalcontent.api.tesco.com/v2/media/ghs/d2b4f18c-1710-4e9a-b019-8569c5309986/55173b80-0c8b-4469-8673-8d402091d3f7_1505650279.jpeg?h=225&w=225
Kerrygold Butter 227G,€2.49,,€10.97/kg,https://www.tesco.ie/groceries/en-IE/products/252293295,https://digitalcontent.api.tesco.com/v2/media/ghs/dcef3660-f0bf-4770-8d81-393afbd3cbfd/edb1ed07-0d64-46b5-b8d7-14a148110125_635476176.jpeg?h=225&w=225
Greenfield Large Eggs 20 Pack,€5.45,,€0.27/each,https://www.tesco.ie/groceries/en-IE/products/300963956,https://digitalcontent.api.tesco.com/v2/media/ghs/abfbd1a4-e3f0-4936-8692-39448230ff79/02a05d0a-640e-443a-a19e-ad8e4e277437_1546904333.jpeg?h=225&w=225
Tesco 12 Irish Barn Eggs,€2.75,,€0.23/each,https://www.tesco.ie/groceries/en-IE/products/314576877,https://digitalcontent.api.tesco.com/v2/media/ghs/b3d816b9-4283-4c37-8f52-b64b5727b41a/7576647f-6ac4-4fda-a4e1-e3872d93893d_485005357.jpeg?h=225&w=225
Tesco Sour Cream 300G,€1.45,,€4.83/kg,https://www.tesco.ie/groceries/en-IE/products/308085911,https://digitalcontent.api.tesco.com/v2/media/ghs/3acdb6c0-bd0a-4112-9f5c-f69f1ea77a0b/06f54e2d-fc29-4b33-835b-1eacddf294f4_1411206537.jpeg?h=225&w=225
Tesco Butter Milk 1 Litre,€1.00,,€1.00/litre,https://www.tesco.ie/groceries/en-IE/products/262218993,https://digitalcontent.api.tesco.com/v2/media/ghs/09ede35f-0d65-42bf-8868-24596f3ee947/snapshotimagehandler_1108807896.jpeg?h=225&w=225
Tesco Whipped Cream 350 Ml,€1.79,,€5.11/litre,https://www.tesco.ie/groceries/en-IE/products/298424100,https://digitalcontent.api.tesco.com/v2/media/ghs/3e00662b-10ee-4548-b50b-64a447a32561/snapshotimagehandler_1273550634.jpeg?h=225&w=225
