Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Butter 454G,€2.99,,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/256148289,https://digitalcontent.api.tesco.com/v2/media/ghs/13c166e9-fc6d-48cb-9b8a-f4dce75ed4ba/94c8d44a-a6d7-4c5b-a143-80a17561fa85_598102234.jpeg?h=225&w=225
Dairygold Original 454G,€3.59,€3.00 Clubcard Price,€7.91/kg,https://www.tesco.ie/groceries/en-IE/products/250808808,https://digitalcontent.api.tesco.com/v2/media/ghs/9f5f1197-70f0-48b8-8dfd-20e0462655c6/942bbe24-1e12-488a-abf1-e9bee337dfdf_1597895882.jpeg?h=225&w=225
Tesco Irish Cremery Butter 227G,€1.85,,€8.15/kg,https://www.tesco.ie/groceries/en-IE/products/268867214,https://digitalcontent.api.tesco.com/v2/media/ghs/871209be-e426-4a10-8174-8edb410ca626/7132e65d-87be-4249-a48a-da8bfecc085f_294511490.jpeg?h=225&w=225
Kerrygold Butter 454 G,€4.29,,€9.45/kg,https://www.tesco.ie/groceries/en-IE/products/252293306,https://digitalcontent.api.tesco.com/v2/media/ghs/6a705afb-1c78-4bfd-b726-05103d7ebee2/ff70228c-9a36-4b1d-8b3a-44a9436dab5d_731092275.jpeg?h=225&w=225
Tesco Butter Unsalted Foil 227G,€1.85,,€8.15/kg,https://www.tesco.ie/groceries/en-IE/products/293542850,https://digitalcontent.api.tesco.com/v2/media/ghs/d2b4f18c-1710-4e9a-b019-8569c5309986/55173b80-0c8b-4469-8673-8d402091d3f7_1505650279.jpeg?h=225&w=225
Kerrygold Butter 227G,€2.49,,€10.97/kg,https://www.tesco.ie/groceries/en-IE/products/252293295,https://digitalcontent.api.tesco.com/v2/media/ghs/dcef3660-f0bf-4770-8d81-393afbd3cbfd/edb1ed07-0d64-46b5-b8d7-14a148110125_635476176.jpeg?h=225&w=225
Connacht Gold Low Fat Butter 454G,€3.99,€3.20 Clubcard Price,€8.79/kg,https://www.tesco.ie/groceries/en-IE/products/252310685,https://digitalcontent.api.tesco.com/v2/media/ghs/ddf38502-7580-41d5-9834-6778faf8dcbb/1094ea5e-1f43-4180-bb91-45e01d1491a9_2012563667.jpeg?h=225&w=225
Kerrygold Spreadable Irish Butter 454G,€3.89,€3.00 Clubcard Price,€8.57/kg,https://www.tesco.ie/groceries/en-IE/products/308086979,https://digitalcontent.api.tesco.com/v2/media/ghs/4519fe11-c96b-48bb-9df5-36c547ad05c6/40109db5-88ad-4f05-9394-b54d057cb4d3_1688487054.jpeg?h=225&w=225
Tesco Gold Spread Light 500G,€1.09,,€2.18/kg,https://www.tesco.ie/groceries/en-IE/products/271809741,https://digitalcontent.api.tesco.com/v2/media/ghs/01a77904-227b-4b09-85aa-e185a0f0a0ae/snapshotimagehandler_1955553713.jpeg?h=225&w=225
Flora Lighter Spread With Natural Ingredients 450G,€3.25,,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/312563000,https://digitalcontent.api.tesco.com/v2/media/ghs/134bce70-0a7d-4cb4-a414-ad04168d7af2/bc35c2df-527a-4b2e-8b26-a327de244f64_1328475689.jpeg?h=225&w=225
Kerrymaid Spread 454G,€2.59,,€5.70/kg,https://www.tesco.ie/groceries/en-IE/products/313515460,https://digitalcontent.api.tesco.com/v2/media/ghs/bd691451-b15f-4dfa-b76a-c16fee064896/9e51fbff-e79a-45da-b440-7c4d11263c68_1235819044.jpeg?h=225&w=225
Connacht Gold Spreadable Butter 454G,€3.70,,€8.15/kg,https://www.tesco.ie/groceries/en-IE/products/266434010,https://digitalcontent.api.tesco.com/v2/media/ghs/9197927d-d248-408a-a79c-5978f8a56ec8/b8e1dc49-69c2-4a5d-98c9-ecdf2be5420d_1769255132.jpeg?h=225&w=225
Dairygold Lighter 454G,€3.59,€3.00 Clubcard Price,€7.91/kg,https://www.tesco.ie/groceries/en-IE/products/250809525,https://digitalcontent.api.tesco.com/v2/media/ghs/7ea15999-e4fc-4052-8670-e50ceee3bd14/snapshotimagehandler_618008692.jpeg?h=225&w=225
Tesco Butter Me Up 500G,€1.19,,€2.38/kg,https://www.tesco.ie/groceries/en-IE/products/285692210,https://digitalcontent.api.tesco.com/v2/media/ghs/07c40f19-ee91-41e4-8806-9f9180947ed0/snapshotimagehandler_1287622662.jpeg?h=225&w=225
Tesco Gold Spread 500G,€1.79,,€3.58/kg,https://www.tesco.ie/groceries/en-IE/products/271809551,https://digitalcontent.api.tesco.com/v2/media/ghs/5228a393-1927-4a35-9c9b-e0bf8b763df6/snapshotimagehandler_141165367.jpeg?h=225&w=225
Stork Original Baking Block 250G,€1.35,,€5.40/kg,https://www.tesco.ie/groceries/en-IE/products/254263443,https://digitalcontent.api.tesco.com/v2/media/ghs/1b6529d3-030e-464d-8c90-87f63497d9db/b5ec4540-ed30-4c15-9f24-d89f1e3a3449_774595492.jpeg?h=225&w=225
Tesco Butter Me Up 1Kg,€1.99,,€1.99/kg,https://www.tesco.ie/groceries/en-IE/products/285692665,https://digitalcontent.api.tesco.com/v2/media/ghs/74a874ab-167b-48b8-b187-7504893fa2da/snapshotimagehandler_1380449069.jpeg?h=225&w=225
Low Low Original Spread 454G,€2.99,€2.50 Clubcard Price,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/313380214,https://digitalcontent.api.tesco.com/v2/media/ghs/9c463d7b-fcce-4ccb-978b-b14e93fc6efd/6d01c7e5-765a-401c-9313-cb9880693b4c_1528159327.jpeg?h=225&w=225
