Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Free Range Eggs Large Box Of 12,€4.09,,€0.34/each,https://www.tesco.ie/groceries/en-IE/products/260300783,https://digitalcontent.api.tesco.com/v2/media/ghs/84679b5b-d9a1-41b2-a807-1d2a1c1c9feb/ca41877d-9f8b-4e2d-8f4f-66d4ec8c4810_777315829.jpeg?h=225&w=225
Tesco Free Range Eggs Medium Box Of 12,€3.85,,€0.32/each,https://www.tesco.ie/groceries/en-IE/products/260300754,https://digitalcontent.api.tesco.com/v2/media/ghs/eea2184e-5dc5-46a7-84d6-acacdf4f6f1b/1e1f1ec8-d100-49d4-9cb6-e63345dc00ee_802658517.jpeg?h=225&w=225
Tesco 18 Medium Irish Barn Eggs,€3.75,,€0.21/each,https://www.tesco.ie/groceries/en-IE/products/314707485,https://digitalcontent.api.tesco.com/v2/media/ghs/d8dd03c7-c116-48d8-b769-7c9b7dada17d/56ea7f8d-7b7b-42f1-9cce-81cff1215ed3_93071308.jpeg?h=225&w=225
Tesco Free Range Eggs Large 6 Pack,€2.25,,€0.38/each,https://www.tesco.ie/groceries/en-IE/products/252807478,https://digitalcontent.api.tesco.com/v2/media/ghs/875e89bd-b4ce-4f71-b7bf-85d195e875ce/cfe91c9c-0a90-4818-8f42-3381688ef043_427278715.jpeg?h=225&w=225
Tesco Free Range Eggs Medium 6 Pack,€1.95,,€0.32/each,https://www.tesco.ie/groceries/en-IE/products/252807490,https://digitalcontent.api.tesco.com/v2/media/ghs/6d8444ed-e89a-44cf-b50f-020bed8bdab7/00e3c5ab-24b8-4b13-a4e9-06917ca38cf1_1310310890.jpeg?h=225&w=225
Greenfield Large Eggs 20 Pack,€5.45,,€0.27/each,https://www.tesco.ie/groceries/en-IE/products/300963956,https://digitalcontent.api.tesco.com/v2/media/ghs/abfbd1a4-e3f0-4936-8692-39448230ff79/02a05d0a-640e-443a-a19e-ad8e4e277437_1546904333.jpeg?h=225&w=225
Tesco 12 Irish Barn Eggs,€2.75,,€0.23/each,https://www.tesco.ie/groceries/en-IE/products/314576877,https://digitalcontent.api.tesco.com/v2/media/ghs/b3d816b9-4283-4c37-8f52-b64b5727b41a/7576647f-6ac4-4fda-a4e1-e3872d93893d_485005357.jpeg?h=225&w=225
Ballyfree Free Range Medium 10 Pack,€3.30,,€0.33/each,https://www.tesco.ie/groceries/en-IE/products/297165246,https://digitalcontent.api.tesco.com/v2/media/ghs/40f2c7d6-62f3-4189-9bb6-82d9c47ec229/3afe6d9e-7d1b-4b93-841d-2bc8583f857a_2125654963.jpeg?h=225&w=225
Ballyfree Free Range Eggs Large 6 Pack,€3.25,Any 2 for €5 Clubcard Price - Selected Ballyfree Eggs 6 Pack,€0.54/each,https://www.tesco.ie/groceries/en-IE/products/250808929,https://digitalcontent.api.tesco.com/v2/media/ghs/3dbcc4d0-df0e-4151-91ab-455ed7687ee8/de17f5af-51a8-4671-a979-8b3b078d17d4_169190316.jpeg?h=225&w=225
Ballyfree Free Range Eggs Very Large 6 Pack,€3.25,Any 2 for €5 Clubcard Price - Selected Ballyfree Eggs 6 Pack,€0.54/each,https://www.tesco.ie/groceries/en-IE/products/253847578,https://digitalcontent.api.tesco.com/v2/media/ghs/4d233a1e-43b3-4a1f-9017-e62226d2b646/5307ade1-795f-4bec-baf3-8e700f6abfee_1619954430.jpeg?h=225&w=225
