Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Fresh Cream 250Ml,€1.39,,€5.56/litre,https://www.tesco.ie/groceries/en-IE/products/260349846,https://digitalcontent.api.tesco.com/v2/media/ghs/649cc3c6-6ba7-4f8d-9ba4-71f377792bdb/snapshotimagehandler_684203504.jpeg?h=225&w=225
Tesco Fresh Cream 500Ml,€2.39,,€4.78/litre,https://www.tesco.ie/groceries/en-IE/products/261908656,https://digitalcontent.api.tesco.com/v2/media/ghs/ca96cb43-4a39-42c4-b6ba-177d8052c52d/snapshotimagehandler_530311838.jpeg?h=225&w=225
Tesco Double Cream 250Ml,€1.39,,€5.56/litre,https://www.tesco.ie/groceries/en-IE/products/310168454,https://digitalcontent.api.tesco.com/v2/media/ghs/95e8422e-c6ff-40f5-b078-582a7e09bd0c/d450fd27-3560-4a02-8b9e-89c5b4b9f416_1108822553.jpeg?h=225&w=225
Tesco Sour Cream 300G,€1.45,,€4.83/kg,https://www.tesco.ie/groceries/en-IE/products/308085911,https://digitalcontent.api.tesco.com/v2/media/ghs/3acdb6c0-bd0a-4112-9f5c-f69f1ea77a0b/06f54e2d-fc29-4b33-835b-1eacddf294f4_1411206537.jpeg?h=225&w=225
Tesco Butter Milk 1 Litre,€1.00,,€1.00/litre,https://www.tesco.ie/groceries/en-IE/products/262218993,https://digitalcontent.api.tesco.com/v2/media/ghs/09ede35f-0d65-42bf-8868-24596f3ee947/snapshotimagehandler_1108807896.jpeg?h=225&w=225
Tesco Whipped Cream 350 Ml,€1.79,,€5.11/litre,https://www.tesco.ie/groceries/en-IE/products/298424100,https://digitalcontent.api.tesco.com/v2/media/ghs/3e00662b-10ee-4548-b50b-64a447a32561/snapshotimagehandler_1273550634.jpeg?h=225&w=225
Tesco 50% Less Fat Creme Fraiche 300G,€1.45,,€4.83/kg,https://www.tesco.ie/groceries/en-IE/products/308093360,https://digitalcontent.api.tesco.com/v2/media/ghs/098a4b32-2ff8-4ddb-a814-fc437b1ee581/4aedb9cd-b042-4629-b0b2-7d27e1c03630_976637819.jpeg?h=225&w=225
Tesco Creme Fraiche 300G,€1.45,,€4.83/kg,https://www.tesco.ie/groceries/en-IE/products/308094779,https://digitalcontent.api.tesco.com/v2/media/ghs/b7e4cd4e-4462-49f7-a42e-94eda6596f9b/e62dacb6-8776-4d16-bfe8-6595b380fd40_597343587.jpeg?h=225&w=225
Avonmore Sour Cream 200Ml,€1.69,,€8.45/litre,https://www.tesco.ie/groceries/en-IE/products/252880168,https://digitalcontent.api.tesco.com/v2/media/ghs/e517c71d-0efc-4679-8e43-35b0d1559213/f2d3c5d1-2d52-4270-8b9c-3a5b234484fb_609988059.jpeg?h=225&w=225
Avonmore Fresh Cream Resealable Bottle 250Ml,€2.19,,€8.76/litre,https://www.tesco.ie/groceries/en-IE/products/255674652,https://digitalcontent.api.tesco.com/v2/media/ghs/28887e34-cb09-4ba8-8aec-e319ddd78190/b082335a-2c62-4b3e-a380-46cca9119103_2003545384.jpeg?h=225&w=225
Avonmore Cooking Cream 250Ml,€2.19,,€8.76/litre,https://www.tesco.ie/groceries/en-IE/products/268263491,https://digitalcontent.api.tesco.com/v2/media/ghs/4b2680ee-d208-4cd2-88d1-d7a3ba7e0559/0f272e4e-e55d-4f4a-a71b-e75c7b479bfc_226420495.jpeg?h=225&w=225
Avonmore Whipped Cream 350Ml,€2.50,,€7.14/litre,https://www.tesco.ie/groceries/en-IE/products/250006087,https://digitalcontent.api.tesco.com/v2/media/ghs/5f57c68d-edcf-4730-a33b-c1ac3b16941d/6b0ea379-fc75-4f24-8f3a-3325004239ae_1978410142.jpeg?h=225&w=225
Avonmore Light Cream 250Ml,€2.19,,€8.76/litre,https://www.tesco.ie/groceries/en-IE/products/250005727,https://digitalcontent.api.tesco.com/v2/media/ghs/e3b7fd57-4be5-4352-98e3-07e4448575b8/3ccef9f8-79e4-4316-b67a-dafb0caa5488_786688328.jpeg?h=225&w=225
Avonmore Fresh Luxury Custard 500G,€3.20,,€6.40/kg,https://www.tesco.ie/groceries/en-IE/products/259115698,https://digitalcontent.api.tesco.com/v2/media/ghs/a7f392b4-488e-4904-85fd-74bbb49664b8/f739c4d1-489d-4810-ab76-8a861f56c32c_1916960461.jpeg?h=225&w=225
Avonmore Fresh Cream Resealable Bottle 500Ml,€3.89,,€7.78/litre,https://www.tesco.ie/groceries/en-IE/products/255674646,https://digitalcontent.api.tesco.com/v2/media/ghs/30d6633f-9a38-4b05-b813-da2e1a317844/9c8fd3e4-2af5-4b56-8738-6e8cbfe7a431_1790268991.jpeg?h=225&w=225
Avonmore Double Cream Bottle 229Ml,€2.99,,€13.06/litre,https://www.tesco.ie/groceries/en-IE/products/254529888,https://digitalcontent.api.tesco.com/v2/media/ghs/2f686141-7b33-4618-b042-d24b16621f0b/45d1264d-13b7-409f-a054-a1fc981cdc6c_155299467.jpeg?h=225&w=225
Elmlea Double Alternative To Cream 270Ml,€2.05,,€7.59/litre,https://www.tesco.ie/groceries/en-IE/products/308088804,https://digitalcontent.api.tesco.com/v2/media/ghs/6793472e-4bb1-41be-8a0f-9e12facbb58f/f5308388-7805-4c42-95a8-98cb30695671_519678175.jpeg?h=225&w=225
Elmlea Plant Double Alternative To Cream 250Ml,€2.25,,€9.00/litre,https://www.tesco.ie/groceries/en-IE/products/310107207,https://digitalcontent.api.tesco.com/v2/media/ghs/07cce3bc-7c21-46f5-868a-547f037be898/d2fe631e-b33a-4528-bc52-ead2a10f3f3c_1875771673.jpeg?h=225&w=225
Spring Cool Cream 200G,€1.49,,€7.45/kg,https://www.tesco.ie/groceries/en-IE/products/250814478,https://digitalcontent.api.tesco.com/v2/media/ghs/9405649f-5bbf-433d-8c95-b1caf0ee9587/snapshotimagehandler_1379257606.jpeg?h=225&w=225
Irish Yogurts Creme Fraiche 250G,€1.75,,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/282279169,https://digitalcontent.api.tesco.com/v2/media/ghs/868d96e6-089d-486a-adee-8bf5abae377f/ba443302-4f24-44f4-ac56-a4381bcee982_1584185821.jpeg?h=225&w=225
Lakelands Pour And More Double Cream 250Ml,€1.79,,€7.16/litre,https://www.tesco.ie/groceries/en-IE/products/304590215,https://digitalcontent.api.tesco.com/v2/media/ghs/72f7185e-ba18-4ec7-a020-bc88fd299c1d/f9e65f1a-4c37-4426-b5d1-99c73ca81c44_535171097.jpeg?h=225&w=225
