Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Fresh Milk 2 Litre,€2.09,,€1.04/litre,https://www.tesco.ie/groceries/en-IE/products/250005606,https://digitalcontent.api.tesco.com/v2/media/ghs/1cf822bb-7dae-431e-b900-7be39d965d1d/6a7581fd-06d1-4d39-9aba-397eb74d8e0f_966300345.jpeg?h=225&w=225
Tesco Full Fat Milk 3Ltr,€2.95,,€0.98/litre,https://www.tesco.ie/groceries/en-IE/products/260776455,https://digitalcontent.api.tesco.com/v2/media/ghs/28f7856e-97b1-4edb-a1b9-d6eb59a53604/snapshotimagehandler_417791735.jpeg?h=225&w=225
Tesco Low Fat Milk 2 Litre,€2.09,,€1.04/litre,https://www.tesco.ie/groceries/en-IE/products/250005508,https://digitalcontent.api.tesco.com/v2/media/ghs/9fe09ff4-3465-42fd-81aa-fbde36c2dc59/83999470-709e-467e-accd-a8e93d661bd8_1658446048.jpeg?h=225&w=225
Tesco Fresh Milk1ltr,€1.05,,€1.05/litre,https://www.tesco.ie/groceries/en-IE/products/292769732,https://digitalcontent.api.tesco.com/v2/media/ghs/747525ca-092f-4e71-9018-13dc375a7c60/snapshotimagehandler_1949915135.jpeg?h=225&w=225
Tesco Low Fat Milk 3L,€2.95,,€0.98/litre,https://www.tesco.ie/groceries/en-IE/products/266600067,https://digitalcontent.api.tesco.com/v2/media/ghs/02a5e12a-f544-4794-8f8e-dd73287d391b/snapshotimagehandler_1758162546.jpeg?h=225&w=225
Tesco Skim Milk 1Litre,€1.05,,€1.05/litre,https://www.tesco.ie/groceries/en-IE/products/292769818,https://digitalcontent.api.tesco.com/v2/media/ghs/03f7897e-41f8-4208-bf51-c4dc15d0e05d/snapshotimagehandler_1718394164.jpeg?h=225&w=225
Tesco Low Fat Milk 1Ltr,€1.05,,€1.05/litre,https://www.tesco.ie/groceries/en-IE/products/292769790,https://digitalcontent.api.tesco.com/v2/media/ghs/d6e92b7a-c17c-4646-a88a-b7b61755ff9b/snapshotimagehandler_1504021801.jpeg?h=225&w=225
Avonmore Whole Super Milk 1.75L,€2.49,,€1.42/litre,https://www.tesco.ie/groceries/en-IE/products/268260995,https://digitalcontent.api.tesco.com/v2/media/ghs/897b1766-0abe-4ffa-9a33-7a5a5c472729/74b4cab5-5098-43c2-9464-302369a53fe8_1300325888.jpeg?h=225&w=225
Avonmore Low Fat Super Milk 1.75L,€2.49,,€1.42/litre,https://www.tesco.ie/groceries/en-IE/products/268261084,https://digitalcontent.api.tesco.com/v2/media/ghs/f9658778-f85d-466f-8740-8a4d241062f3/1c96148e-d8fc-489e-84dc-1077755e3ebf_1645764742.jpeg?h=225&w=225
Tesco Butter Milk 1 Litre,€1.00,,€1.00/litre,https://www.tesco.ie/groceries/en-IE/products/262218993,https://digitalcontent.api.tesco.com/v2/media/ghs/09ede35f-0d65-42bf-8868-24596f3ee947/snapshotimagehandler_1108807896.jpeg?h=225&w=225
Avonmore Milk 2 Litre,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/250004694,https://digitalcontent.api.tesco.com/v2/media/ghs/8f436daa-f749-4675-bfde-d8a2b462dd67/cfac9783-02be-4426-a8ff-2cc8c818a32a_2106185718.jpeg?h=225&w=225
Tesco Full Fat Milk 1.75 Lt,€1.85,,€1.06/litre,https://www.tesco.ie/groceries/en-IE/products/302155003,https://digitalcontent.api.tesco.com/v2/media/ghs/eda3d7f9-a492-4181-9bc6-f17e01ec92ee/68284a8c-a511-4152-ac07-a3a5c8ab0af9_631584527.jpeg?h=225&w=225
Avonmore Supermilk L.Fat 1Ltr,€1.65,,€1.65/litre,https://www.tesco.ie/groceries/en-IE/products/250000750,https://digitalcontent.api.tesco.com/v2/media/ghs/45234fb6-6469-4ec3-b1ee-e22900b80628/802a133c-5ebb-4e1c-b01a-dd7c333514cf_200005562.jpeg?h=225&w=225
