Title,Price,Promotional Price,Price Per,Product URL,Image URL
Dairygold Original 454G,€3.59,€3.00 Clubcard Price,€7.91/kg,https://www.tesco.ie/groceries/en-IE/products/250808808,https://digitalcontent.api.tesco.com/v2/media/ghs/9f5f1197-70f0-48b8-8dfd-20e0462655c6/942bbe24-1e12-488a-abf1-e9bee337dfdf_1597895882.jpeg?h=225&w=225
Connacht Gold Low Fat Butter 454G,€3.99,€3.20 Clubcard Price,€8.79/kg,https://www.tesco.ie/groceries/en-IE/products/252310685,https://digitalcontent.api.tesco.com/v2/media/ghs/ddf38502-7580-41d5-9834-6778faf8dcbb/1094ea5e-1f43-4180-bb91-45e01d1491a9_2012563667.jpeg?h=225&w=225
Oatly Barista Edition Oat Long Life Drink 1L,€3.05,€2.50 Clubcard Price,€3.05/litre,https://www.tesco.ie/groceries/en-IE/products/292990463,https://digitalcontent.api.tesco.com/v2/media/ghs/d5851714-bd52-4c4d-ac5a-d54e698b7419/7e6bc714-372f-4b25-8633-40f61d82be28.jpeg?h=225&w=225
Ballyfree Free Range Eggs Large 6 Pack,€3.25,Any 2 for €5 Clubcard Price - Selected Ballyfree Eggs 6 Pack,€0.54/each,https://www.tesco.ie/groceries/en-IE/products/250808929,https://digitalcontent.api.tesco.com/v2/media/ghs/3dbcc4d0-df0e-4151-91ab-455ed7687ee8/de17f5af-51a8-4671-a979-8b3b078d17d4_169190316.jpeg?h=225&w=225
Ballyfree Free Range Eggs Very Large 6 Pack,€3.25,Any 2 for €5 Clubcard Price - Selected Ballyfree Eggs 6 Pack,€0.54/each,https://www.tesco.ie/groceries/en-IE/products/253847578,https://digitalcontent.api.tesco.com/v2/media/ghs/4d233a1e-43b3-4a1f-9017-e62226d2b646/5307ade1-795f-4bec-baf3-8e700f6abfee_1619954430.jpeg?h=225&w=225
Kerrygold Spreadable Irish Butter 454G,€3.89,€3.00 Clubcard Price,€8.57/kg,https://www.tesco.ie/groceries/en-IE/products/308086979,https://digitalcontent.api.tesco.com/v2/media/ghs/4519fe11-c96b-48bb-9df5-36c547ad05c6/40109db5-88ad-4f05-9394-b54d057cb4d3_1688487054.jpeg?h=225&w=225
Dairygold Lighter 454G,€3.59,€3.00 Clubcard Price,€7.91/kg,https://www.tesco.ie/groceries/en-IE/products/250809525,https://digitalcontent.api.tesco.com/v2/media/ghs/7ea15999-e4fc-4052-8670-e50ceee3bd14/snapshotimagehandler_618008692.jpeg?h=225&w=225
Avonmore Lactose Free Milk 1L,€2.09,€1.50 Clubcard Price,€2.09/litre,https://www.tesco.ie/groceries/en-IE/products/264849398,https://digitalcontent.api.tesco.com/v2/media/ghs/a4f359fa-190e-409f-8790-157b0463c2b4/9867baa9-70e0-4541-ba7d-82005afcd709_1493262192.jpeg?h=225&w=225
Low Low Original Spread 454G,€2.99,€2.50 Clubcard Price,€6.59/kg,https://www.tesco.ie/groceries/en-IE/products/313380214,https://digitalcontent.api.tesco.com/v2/media/ghs/9c463d7b-fcce-4ccb-978b-b14e93fc6efd/6d01c7e5-765a-401c-9313-cb9880693b4c_1528159327.jpeg?h=225&w=225
Greenfield Big 6 Pack,€2.35,2 for €3.50 Clubcard Price - Greenfield Eggs 6 Pack,€0.39/each,https://www.tesco.ie/groceries/en-IE/products/300963547,https://digitalcontent.api.tesco.com/v2/media/ghs/d0939648-9888-491a-b93d-7fdcf1b03f76/2dd212af-9733-4aa8-acec-7e5dfa2f0ac9_1438551021.jpeg?h=225&w=225
