Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Whole Cucumber Each,€0.85,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/253558972,https://digitalcontent.api.tesco.com/v2/media/ghs/8ca74ae2-2434-4c6c-b2e4-4d367fcd5629/8b7046c8-4f57-4da5-a5e5-88f7158c4877.jpeg?h=225&w=225
Tesco Mixed Peppers 3 Pack,€2.09,,€0.70/each,https://www.tesco.ie/groceries/en-IE/products/295026651,https://digitalcontent.api.tesco.com/v2/media/ghs/7b19180f-c342-4f83-8549-a43de706d599/snapshotimagehandler_982661017.jpeg?h=225&w=225
Tesco Red Peppers Each,€0.95,,€0.95/each,https://www.tesco.ie/groceries/en-IE/products/258421636,https://digitalcontent.api.tesco.com/v2/media/ghs/ddfa2a0e-ec45-49b8-99d2-3896f0df6e96/snapshotimagehandler_1601705053.jpeg?h=225&w=225
Tesco Salad Onions Bunch,€0.85,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/254523228,https://digitalcontent.api.tesco.com/v2/media/ghs/c98ae47f-5cab-4b27-82c8-bc0b228484c6/snapshotimagehandler_1834537405.jpeg?h=225&w=225
Tesco Tomatoes On The Vine 500G,€2.29,,€4.58/kg,https://www.tesco.ie/groceries/en-IE/products/288306987,https://digitalcontent.api.tesco.com/v2/media/ghs/60f580b8-09d0-4a51-bf42-14690186f8df/4cbe2342-a17b-4149-a95f-ae3c7c592f56_1275864885.jpeg?h=225&w=225
Tesco Celery 450G,€0.99,,€2.20/kg,https://www.tesco.ie/groceries/en-IE/products/281035552,https://digitalcontent.api.tesco.com/v2/media/ghs/69bc266a-785a-4659-8251-355ae2c72419/snapshotimagehandler_1221821090.jpeg?h=225&w=225
Tesco Peppers 2 Pack,€1.49,,€0.74/each,https://www.tesco.ie/groceries/en-IE/products/265182055,https://digitalcontent.api.tesco.com/v2/media/ghs/4db1f2ab-2da9-4349-866d-a1d01ff6563b/snapshotimagehandler_609325831.jpeg?h=225&w=225
Tesco Baby Plum Tomatoes 325G,€2.15,,€6.62/kg,https://www.tesco.ie/groceries/en-IE/products/267459342,https://digitalcontent.api.tesco.com/v2/media/ghs/92507c86-88ff-46d2-9777-0062eb5f53dc/8ed530b3-7ae7-459a-b3f8-b608c6d75001.jpeg?h=225&w=225
Tesco Iceberg Lettuce Each,€1.15,,€1.15/each,https://www.tesco.ie/groceries/en-IE/products/253557495,https://digitalcontent.api.tesco.com/v2/media/ghs/26e979e8-04cb-40e2-9528-803216410460/873f88ca-8c0f-4727-a1a9-4ea986010d41.jpeg?h=225&w=225
Tesco Wild Rocket 110G,€1.39,,€12.64/kg,https://www.tesco.ie/groceries/en-IE/products/268904154,https://digitalcontent.api.tesco.com/v2/media/ghs/217d0af1-9b98-4d45-a3ad-6ad4b83b0ece/59dbaeba-de26-4380-bbb3-dce4da346fa0_1360374477.jpeg?h=225&w=225
Tesco Round Lettuce,€0.89,,€0.89/each,https://www.tesco.ie/groceries/en-IE/products/277183387,https://digitalcontent.api.tesco.com/v2/media/ghs/37103dcb-2b4f-4c8d-a1a4-b738bc9fd800/snapshotimagehandler_1596851690.jpeg?h=225&w=225
Tesco Spinach 90G,€0.99,,€11.00/kg,https://www.tesco.ie/groceries/en-IE/products/292843080,https://digitalcontent.api.tesco.com/v2/media/ghs/7349b9f5-7592-4b37-96b0-26b165ccd842/snapshotimagehandler_1826627359.jpeg?h=225&w=225
Tesco Cherry Tomatoes On The Vine 300G,€2.59,,€8.63/kg,https://www.tesco.ie/groceries/en-IE/products/305963758,https://digitalcontent.api.tesco.com/v2/media/ghs/30eb0825-df15-40f2-b3fb-1fdc7e5d45c1/c9ac4cbb-6fb4-413c-ad24-7ca984eb6b77_65901296.jpeg?h=225&w=225
Tesco Sandwich Iceberg Lettuce,€1.49,,€1.49/each,https://www.tesco.ie/groceries/en-IE/products/310144131,https://digitalcontent.api.tesco.com/v2/media/ghs/4c5f7367-f12c-432d-ac38-d3f1e4a0636d/85038b25-4e5b-4473-bc12-e4a3fc7a4b93_850848771.jpeg?h=225&w=225
