Title,Price,Promotional Price,Price Per,Product URL,Image URL
The Galway Kitchen Classic Houmous 200G,€1.00,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/311202482,https://digitalcontent.api.tesco.com/v2/media/ghs/c807b3fb-b355-4858-a865-02700438553a/b6d13143-49c9-46b6-90e8-9b27e962334b_941530602.jpeg?h=225&w=225
Tesco Houmous Red Pepper 182G,€1.50,,€8.24/kg,https://www.tesco.ie/groceries/en-IE/products/296233369,https://digitalcontent.api.tesco.com/v2/media/ghs/5a74c3ae-371c-4a8d-a5ce-61737258d215/6458de57-bd6b-4fc1-b057-ff465f849943.jpeg?h=225&w=225
Eastman's Houmous 200G,€0.85,,€4.25/kg,https://www.tesco.ie/groceries/en-IE/products/310177161,https://digitalcontent.api.tesco.com/v2/media/ghs/3ee0a492-a74a-4491-addc-4cc857ac9e5a/46a5d9ea-27ef-425a-8e56-daaa3f056b46.jpeg?h=225&w=225
Tesco.Reduced Fat Houmous 200G (C),€1.07,,€5.35/kg,https://www.tesco.ie/groceries/en-IE/products/267593084,https://digitalcontent.api.tesco.com/v2/media/ghs/576d5bb4-0d4b-49da-8df4-a1161f196e90/a0ec70db-cc52-4311-acdb-2eb6211a68c4.jpeg?h=225&w=225
Tesco Caramelised Onion Houmous 182G,€1.35,,€7.42/kg,https://www.tesco.ie/groceries/en-IE/products/281543273,https://digitalcontent.api.tesco.com/v2/media/ghs/5d5963fa-073d-47ef-a9c4-b29a7d6ec2a7/snapshotimagehandler_1766608882.jpeg?h=225&w=225
Eastman's Reduced Fat Houmous 200G,€0.85,,€4.25/kg,https://www.tesco.ie/groceries/en-IE/products/310109168,https://digitalcontent.api.tesco.com/v2/media/ghs/614daa77-9f8e-4820-b7fd-e24f122630d3/3082cf7d-e40a-4ef2-8f04-a2b361e884d8.jpeg?h=225&w=225
Tesco Smashed Avocado With Lime - 200G,€2.49,,€12.45/kg,https://www.tesco.ie/groceries/en-IE/products/305942933,https://digitalcontent.api.tesco.com/v2/media/ghs/4fe57a26-cf21-4301-a2ce-b0b2b8d27c1b/e1cce225-b66f-4fc6-be8c-76db1338c417.jpeg?h=225&w=225
Tesco Guacamole Dip 163G,€2.00,,€12.27/kg,https://www.tesco.ie/groceries/en-IE/products/272440431,https://digitalcontent.api.tesco.com/v2/media/ghs/5cec8c06-34e5-4582-956c-6bf4e4914bb0/d1c6d363-3bb0-4b76-a2ae-e5add71475b4.jpeg?h=225&w=225
Tesco Express Houmous 211G,€1.00,,€4.74/kg,https://www.tesco.ie/groceries/en-IE/products/272438740,https://digitalcontent.api.tesco.com/v2/media/ghs-mktg/b0b04216-fa73-466d-a9d7-c9fcfa1ce9b3/no-image.jpeg
Tesco Sour Cream & Chive Dip 200G,€2.00,,€10.00/kg,https://www.tesco.ie/groceries/en-IE/products/260249776,https://digitalcontent.api.tesco.com/v2/media/ghs/6168fb3f-1238-4fec-8fee-66269c7560a7/e2f69016-7cc4-4703-ae54-3209e615b8db.jpeg?h=225&w=225
The Galway Kitchen Organic Houmous 200G,€1.89,,€9.45/kg,https://www.tesco.ie/groceries/en-IE/products/311948561,https://digitalcontent.api.tesco.com/v2/media/ghs/05d859e0-76ad-443e-99c5-6f09f3c0847d/aebe51bf-4fdc-4553-ad6b-9c485ca5907e_1526770999.jpeg?h=225&w=225
The Galway Kitchen Sweet Chilli Houmous 182G,€1.50,,€8.24/kg,https://www.tesco.ie/groceries/en-IE/products/311938043,https://digitalcontent.api.tesco.com/v2/media/ghs/5aba047c-fb9e-4e13-9526-4735e8472a0c/45a5f289-e896-4623-aaa1-89c6f4b1637e_1899998094.jpeg?h=225&w=225
