Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Finest Coleslaw 260G,€1.75,,€6.73/kg,https://www.tesco.ie/groceries/en-IE/products/265183895,https://digitalcontent.api.tesco.com/v2/media/ghs/900f1d21-ed79-43d1-8fa0-9b874fb5b1eb/snapshotimagehandler_932877693.jpeg?h=225&w=225
Tesco Creamy Coleslaw 400G,€0.95,,€2.38/kg,https://www.tesco.ie/groceries/en-IE/products/265184306,https://digitalcontent.api.tesco.com/v2/media/ghs/fafc7872-5bda-462c-86c5-50822b0ade65/e7cd1bec-98ab-4e10-b19b-ee5c47d0154b_238762752.jpeg?h=225&w=225
Tesco Creamy Coleslaw 200G,€0.89,,€4.45/kg,https://www.tesco.ie/groceries/en-IE/products/299731558,https://digitalcontent.api.tesco.com/v2/media/ghs/9f62cadb-a850-4dd7-aa33-173699c857df/3b9c6e51-0105-415c-a34e-a3164a8e4d5d_52872549.jpeg?h=225&w=225
Tesco Healthy Living Coleslaw 360G,€1.29,,€3.58/kg,https://www.tesco.ie/groceries/en-IE/products/265184577,https://digitalcontent.api.tesco.com/v2/media/ghs/c8810e3f-e607-42bf-a88c-0c360bcec168/snapshotimagehandler_1342123534.jpeg?h=225&w=225
Tesco Spicy Cous Cous 250G,€1.39,,€5.56/kg,https://www.tesco.ie/groceries/en-IE/products/298360163,https://digitalcontent.api.tesco.com/v2/media/ghs/41e1326b-fda3-451a-94e3-a31bfca7b1c7/snapshotimagehandler_421969072.jpeg?h=225&w=225
Tesco Cheese Coleslaw 280G,€1.59,,€5.68/kg,https://www.tesco.ie/groceries/en-IE/products/307360679,https://digitalcontent.api.tesco.com/v2/media/ghs/8598f16d-0a43-4e49-9341-e27ac34cc62c/68ab5ab1-1966-4c20-ba59-b690ec85077b_126681193.jpeg?h=225&w=225
Tesco Finest Coleslaw 530G,€2.75,,€5.19/kg,https://www.tesco.ie/groceries/en-IE/products/266077052,https://digitalcontent.api.tesco.com/v2/media/ghs/8a9d956a-33f9-44ff-b724-36dc12112fc6/snapshotimagehandler_696057416.jpeg?h=225&w=225
Tesco Egg Mayonnaise 250G,€1.89,,€7.56/kg,https://www.tesco.ie/groceries/en-IE/products/290456397,https://digitalcontent.api.tesco.com/v2/media/ghs/3a7b7a3d-008e-4947-8c87-a02b093f0d63/8406ac34-bde9-480c-9eae-3bf5ce9bb6b9_1969800247.jpeg?h=225&w=225
Tesco Tuna And Sweet Corn 235G,€2.57,,€10.94/kg,https://www.tesco.ie/groceries/en-IE/products/290456414,https://digitalcontent.api.tesco.com/v2/media/ghs/bd949021-cdb2-4f50-9d42-8fc58aea0c05/b9065843-52be-4068-ac67-dc712aef767b_23255898.jpeg?h=225&w=225
Tesco Pasta And Spinach Pinenut 175G,€2.09,,€11.94/kg,https://www.tesco.ie/groceries/en-IE/products/280403406,https://digitalcontent.api.tesco.com/v2/media/ghs/01a4f6b7-d607-4c22-a18d-565d9aac3c32/ee2a8c27-7669-4c9a-b13d-4d26c3a408c5_353193019.jpeg?h=225&w=225
Tesco Finest Potato Salad 275G,€2.05,,€7.46/kg,https://www.tesco.ie/groceries/en-IE/products/297923997,https://digitalcontent.api.tesco.com/v2/media/ghs/d1b1d872-8371-4209-bc92-f247e28e9b1d/snapshotimagehandler_887672116.jpeg?h=225&w=225
Tesco Chipotle Coleslaw 260G,€1.79,,€6.88/kg,https://www.tesco.ie/groceries/en-IE/products/307351391,https://digitalcontent.api.tesco.com/v2/media/ghs/382481c6-add4-42e6-9563-5eedfc6c1ad9/7e554ae5-1dea-41e2-9b35-96a03daf10cf_749478616.jpeg?h=225&w=225
Country Kitchen Supergreen Salad 220G,€2.50,,€11.36/kg,https://www.tesco.ie/groceries/en-IE/products/312211855,https://digitalcontent.api.tesco.com/v2/media/ghs/74cfad6e-2174-402c-b667-ffade8c4489b/741af27e-a416-4d5f-9ace-4c9054affa09_1885667065.jpeg?h=225&w=225
Donnelly Fresh Chicken And Stuffing Deli Filler 200G,€2.79,€2.00 Clubcard Price,€13.95/kg,https://www.tesco.ie/groceries/en-IE/products/315589748,https://digitalcontent.api.tesco.com/v2/media/ghs/54ef0574-ecac-4a62-94d7-80ca55f3feb7/a7d4aa95-4f3d-4898-9147-8348d75104e1_1192139247.jpeg?h=225&w=225
Tesco Pickled Vegetable Slaw 220G,€2.39,,€10.86/kg,https://www.tesco.ie/groceries/en-IE/products/306368684,https://digitalcontent.api.tesco.com/v2/media/ghs/b2176e5b-2909-48f0-aeb8-1747930375ed/snapshotimagehandler_561430816.jpeg?h=225&w=225
Country Kitchen Coleslaw& Potato Twin Pack 180G,€2.00,,€11.11/kg,https://www.tesco.ie/groceries/en-IE/products/295982802,https://digitalcontent.api.tesco.com/v2/media/ghs/3d5e5199-04d8-481e-ad9b-2f43ec4c95de/d70c0e64-136b-4e94-b309-0ef91e6eaaf3.jpeg?h=225&w=225
Donnelly Fresh Taco Chicken Deli Filler 200G,€2.79,€2.00 Clubcard Price,€13.95/kg,https://www.tesco.ie/groceries/en-IE/products/315575799,https://digitalcontent.api.tesco.com/v2/media/ghs/0e9c7184-aab0-4a18-b9d1-287296d54eff/aa048995-e184-4488-8e43-46ba5bea6a54_1199256975.jpeg?h=225&w=225
Donnelly Fresh Leek And Cheese Deli Filler 200G,€2.79,€2.00 Clubcard Price,€13.95/kg,https://www.tesco.ie/groceries/en-IE/products/315586452,https://digitalcontent.api.tesco.com/v2/media/ghs/33755497-d5c2-49e5-b0b4-deabb1a4f0d8/3d02a963-853d-4cfa-9d4a-a8e7bc3ade05_1460738831.jpeg?h=225&w=225
Tesco Tomato Herb Pasta,€3.29,,€8.22/kg,https://www.tesco.ie/groceries/en-IE/products/277644833,https://digitalcontent.api.tesco.com/v2/media/ghs/1290311c-a490-4f03-8141-e15f021147ba/snapshotimagehandler_1712346810.jpeg?h=225&w=225
Donnelly Fresh Chicken Korma Deli Filler 200G,€2.79,€2.00 Clubcard Price,€13.95/kg,https://www.tesco.ie/groceries/en-IE/products/315464838,https://digitalcontent.api.tesco.com/v2/media/ghs/b72bcd73-d7d5-4b23-a9fb-1a58c9ed56e3/5a9df29b-bac6-4f4e-96cd-121c623b1ba7_2003894099.jpeg?h=225&w=225
Tesco Bang Bang Coleslaw 250G,€2.39,,€9.56/kg,https://www.tesco.ie/groceries/en-IE/products/313970196,https://digitalcontent.api.tesco.com/v2/media/ghs/20b7375c-0812-43f5-a23d-921e2fed32b4/1df16c96-b92e-46fb-8226-6ed5882c48b5_1145037306.jpeg?h=225&w=225
