Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Fresh Herbs Coriander 30G,€1.09,,€36.33/kg,https://www.tesco.ie/groceries/en-IE/products/263162480,https://digitalcontent.api.tesco.com/v2/media/ghs/18b06210-67e4-4bdb-9b18-36e233d34108/snapshotimagehandler_2000356876.jpeg?h=225&w=225
Tesco Fresh Herbs Basil 25G,€0.99,,€39.60/kg,https://www.tesco.ie/groceries/en-IE/products/263160833,https://digitalcontent.api.tesco.com/v2/media/ghs/c5bfb958-4abd-48c4-b76f-bd5414aea97f/snapshotimagehandler_1252561517.jpeg?h=225&w=225
Tesco Fresh Herbs Flat Parsley 37G,€1.09,,€29.46/kg,https://www.tesco.ie/groceries/en-IE/products/263161636,https://digitalcontent.api.tesco.com/v2/media/ghs/f7249bfd-5630-49fe-ad0f-00611ce2c1af/snapshotimagehandler_734948216.jpeg?h=225&w=225
Tesco Fresh Herbs Thyme 25G,€0.99,,€39.60/kg,https://www.tesco.ie/groceries/en-IE/products/263199223,https://digitalcontent.api.tesco.com/v2/media/ghs/2837aa7e-4e26-44bc-a242-4bd50c083a06/snapshotimagehandler_1979623441.jpeg?h=225&w=225
Just Add Garlic Puree,€1.49,,€0.17/each,https://www.tesco.ie/groceries/en-IE/products/303946765,https://digitalcontent.api.tesco.com/v2/media/ghs/c167ebe2-427a-40b5-bbc4-f1340fe21dd1/71aa01e9-ed0d-4fd4-b85a-03faa3db00e3_1294831014.jpeg?h=225&w=225
Growing Herbs Basil,€1.49,,€1.49/each,https://www.tesco.ie/groceries/en-IE/products/256024384,https://digitalcontent.api.tesco.com/v2/media/ghs/7e0482f9-d532-4068-9348-b18cab969366/snapshotimagehandler_768930710.jpeg?h=225&w=225
Tesco Red Chillies 60G,€1.09,,€18.17/kg,https://www.tesco.ie/groceries/en-IE/products/256339363,https://digitalcontent.api.tesco.com/v2/media/ghs/2bb3f20b-d0d1-4a2f-99f6-98bba2ad1a74/a77c13e7-23af-458c-ab10-a1557ec9c4bb.jpeg?h=225&w=225
Tesco Mixed Chillies 65G,€0.70,,€10.77/kg,https://www.tesco.ie/groceries/en-IE/products/262453391,https://digitalcontent.api.tesco.com/v2/media/ghs/0013b708-a532-42ae-a04e-827f4119e45a/2bc08bdf-e12e-4c4c-8554-4ecefd7b94a6.jpeg?h=225&w=225
Tesco Fresh Herbs Rosemary 21G,€0.99,,€47.14/kg,https://www.tesco.ie/groceries/en-IE/products/263161521,https://digitalcontent.api.tesco.com/v2/media/ghs/fb229256-cea3-48d5-afd5-27805aed6c65/snapshotimagehandler_600142532.jpeg?h=225&w=225
Tesco Fresh Herbs Parsley 43G,€0.99,,€23.02/kg,https://www.tesco.ie/groceries/en-IE/products/263161544,https://digitalcontent.api.tesco.com/v2/media/ghs/bdec17cf-5ff4-4eda-9f03-f506e8c6723d/snapshotimagehandler_674581831.jpeg?h=225&w=225
