Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Wild Rocket 110G,€1.39,,€12.64/kg,https://www.tesco.ie/groceries/en-IE/products/268904154,https://digitalcontent.api.tesco.com/v2/media/ghs/217d0af1-9b98-4d45-a3ad-6ad4b83b0ece/59dbaeba-de26-4380-bbb3-dce4da346fa0_1360374477.jpeg?h=225&w=225
Tesco Spinach 90G,€0.99,,€11.00/kg,https://www.tesco.ie/groceries/en-IE/products/292843080,https://digitalcontent.api.tesco.com/v2/media/ghs/7349b9f5-7592-4b37-96b0-26b165ccd842/snapshotimagehandler_1826627359.jpeg?h=225&w=225
Tesco Sandwich Iceberg Lettuce,€1.49,,€1.49/each,https://www.tesco.ie/groceries/en-IE/products/310144131,https://digitalcontent.api.tesco.com/v2/media/ghs/4c5f7367-f12c-432d-ac38-d3f1e4a0636d/85038b25-4e5b-4473-bc12-e4a3fc7a4b93_850848771.jpeg?h=225&w=225
Tesco Italian Mix Salad 170G,€0.99,,€5.82/kg,https://www.tesco.ie/groceries/en-IE/products/292843212,https://digitalcontent.api.tesco.com/v2/media/ghs/3c0f034c-d06c-4517-a12f-e9f63df757ad/snapshotimagehandler_784194398.jpeg?h=225&w=225
Tesco Creamy Caesar Salad Kit 240G,€1.69,,€7.04/kg,https://www.tesco.ie/groceries/en-IE/products/273571026,https://digitalcontent.api.tesco.com/v2/media/ghs/a1e54f60-a152-4bbb-879b-0773ca7f29d9/snapshotimagehandler_162897249.jpeg?h=225&w=225
Tesco Mild Spinach 200G,€1.39,,€6.95/kg,https://www.tesco.ie/groceries/en-IE/products/288698406,https://digitalcontent.api.tesco.com/v2/media/ghs/3f4ba35b-04e5-4b91-8bcc-001ecfd9a9b3/40249ab3-4779-4633-b787-202a01acac00_1955435065.jpeg?h=225&w=225
Florette Bistro Salad 130G,€1.69,,€13.00/kg,https://www.tesco.ie/groceries/en-IE/products/267051109,https://digitalcontent.api.tesco.com/v2/media/ghs/ec120cc3-d5e9-4c50-aa4f-7559078944f1/ccc64603-1943-4e31-a776-f9b85e0ca6ab_1973602575.jpeg?h=225&w=225
Florette Lambs Lettuce And Ruby Chard-Duos 70G,€1.89,,€27.00/kg,https://www.tesco.ie/groceries/en-IE/products/268450236,https://digitalcontent.api.tesco.com/v2/media/ghs/3a27ed0f-f0b6-4ea0-b9f3-e0f6e60e63f3/7e8090bf-4238-4c72-a68f-f1a506dbdc38_2077701488.jpeg?h=225&w=225
Tesco Babyleaf Rocket Salad 100G,€2.49,,€24.90/kg,https://www.tesco.ie/groceries/en-IE/products/278433424,https://digitalcontent.api.tesco.com/v2/media/ghs/1b7d79f5-0479-452d-b2ef-019577223480/1727fda4-fea6-4e55-92b4-938748cc5529_1105182357.jpeg?h=225&w=225
Tesco Spinach And Rocket Salad 50G,€0.99,,€19.80/kg,https://www.tesco.ie/groceries/en-IE/products/313962010,https://digitalcontent.api.tesco.com/v2/media/ghs/41319a00-416f-4364-b898-1fa63524ab0f/49b39bcb-a2d7-4b8e-837f-469363b91a7d_51523267.jpeg?h=225&w=225
