Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Whole Cucumber Each,€0.85,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/253558972,https://digitalcontent.api.tesco.com/v2/media/ghs/8ca74ae2-2434-4c6c-b2e4-4d367fcd5629/8b7046c8-4f57-4da5-a5e5-88f7158c4877.jpeg?h=225&w=225
Tesco Mixed Peppers 3 Pack,€2.09,,€0.70/each,https://www.tesco.ie/groceries/en-IE/products/295026651,https://digitalcontent.api.tesco.com/v2/media/ghs/7b19180f-c342-4f83-8549-a43de706d599/snapshotimagehandler_982661017.jpeg?h=225&w=225
Tesco Red Peppers Each,€0.95,,€0.95/each,https://www.tesco.ie/groceries/en-IE/products/258421636,https://digitalcontent.api.tesco.com/v2/media/ghs/ddfa2a0e-ec45-49b8-99d2-3896f0df6e96/snapshotimagehandler_1601705053.jpeg?h=225&w=225
Tesco Salad Onions Bunch,€0.85,,€0.85/each,https://www.tesco.ie/groceries/en-IE/products/254523228,https://digitalcontent.api.tesco.com/v2/media/ghs/c98ae47f-5cab-4b27-82c8-bc0b228484c6/snapshotimagehandler_1834537405.jpeg?h=225&w=225
Tesco Celery 450G,€0.99,,€2.20/kg,https://www.tesco.ie/groceries/en-IE/products/281035552,https://digitalcontent.api.tesco.com/v2/media/ghs/69bc266a-785a-4659-8251-355ae2c72419/snapshotimagehandler_1221821090.jpeg?h=225&w=225
Tesco Peppers 2 Pack,€1.49,,€0.74/each,https://www.tesco.ie/groceries/en-IE/products/265182055,https://digitalcontent.api.tesco.com/v2/media/ghs/4db1f2ab-2da9-4349-866d-a1d01ff6563b/snapshotimagehandler_609325831.jpeg?h=225&w=225
Tesco Iceberg Lettuce Each,€1.15,,€1.15/each,https://www.tesco.ie/groceries/en-IE/products/253557495,https://digitalcontent.api.tesco.com/v2/media/ghs/26e979e8-04cb-40e2-9528-803216410460/873f88ca-8c0f-4727-a1a9-4ea986010d41.jpeg?h=225&w=225
Tesco Round Lettuce,€0.89,,€0.89/each,https://www.tesco.ie/groceries/en-IE/products/277183387,https://digitalcontent.api.tesco.com/v2/media/ghs/37103dcb-2b4f-4c8d-a1a4-b738bc9fd800/snapshotimagehandler_1596851690.jpeg?h=225&w=225
Tesco Little Gem Lettuce Twin Pack,€1.29,,€0.64/each,https://www.tesco.ie/groceries/en-IE/products/253560041,https://digitalcontent.api.tesco.com/v2/media/ghs/6a67750a-e02f-40dd-80cf-b53a133029f9/0012bdd1-7a4a-4c8a-8d8d-bb8ca60d48c9.jpeg?h=225&w=225
Tesco Iceberg 260G,€1.09,,€4.19/kg,https://www.tesco.ie/groceries/en-IE/products/268307354,https://digitalcontent.api.tesco.com/v2/media/ghs/b0b5954a-fd93-44bd-a1a4-3f98a2eba133/526c7de8-6557-4a56-9ce6-52120c883d2e_1253585526.jpeg?h=225&w=225
Tesco Yellow Peppers Each,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/258905427,https://digitalcontent.api.tesco.com/v2/media/ghs/713de93d-0abc-4868-bf5a-3cbc7b21586d/snapshotimagehandler_1338435267.jpeg?h=225&w=225
Tesco Finest Sweet Pointed Peppers 220G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/251298216,https://digitalcontent.api.tesco.com/v2/media/ghs/f44dcf42-fc03-46ff-a1d2-5c13154ad4b7/d14ea944-e951-4bdf-8c4f-2f62f93b3667_1404216579.jpeg?h=225&w=225
Tesco Sweet Mini Peppers 200G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/310687899,https://digitalcontent.api.tesco.com/v2/media/ghs/eb665e3d-6a46-4aa3-9eef-f690a6e711fa/8beac5a2-1d59-4287-8319-43856c6d258a_1250394505.jpeg?h=225&w=225
Tesco Green Peppers Each,€0.95,,€0.95/each,https://www.tesco.ie/groceries/en-IE/products/258270595,https://digitalcontent.api.tesco.com/v2/media/ghs/61ad2a29-f43e-407f-b49c-5d8a161143ab/snapshotimagehandler_308214006.jpeg?h=225&w=225
