Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Tomatoes On The Vine 500G,€2.29,,€4.58/kg,https://www.tesco.ie/groceries/en-IE/products/288306987,https://digitalcontent.api.tesco.com/v2/media/ghs/60f580b8-09d0-4a51-bf42-14690186f8df/4cbe2342-a17b-4149-a95f-ae3c7c592f56_1275864885.jpeg?h=225&w=225
Tesco Baby Plum Tomatoes 325G,€2.15,,€6.62/kg,https://www.tesco.ie/groceries/en-IE/products/267459342,https://digitalcontent.api.tesco.com/v2/media/ghs/92507c86-88ff-46d2-9777-0062eb5f53dc/8ed530b3-7ae7-459a-b3f8-b608c6d75001.jpeg?h=225&w=225
Tesco Cherry Tomatoes On The Vine 300G,€2.59,,€8.63/kg,https://www.tesco.ie/groceries/en-IE/products/305963758,https://digitalcontent.api.tesco.com/v2/media/ghs/30eb0825-df15-40f2-b3fb-1fdc7e5d45c1/c9ac4cbb-6fb4-413c-ad24-7ca984eb6b77_65901296.jpeg?h=225&w=225
Tesco Finest Piccobella Cherry Tomatoes 250G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/310661716,https://digitalcontent.api.tesco.com/v2/media/ghs/493a0bf8-7f8b-4fe0-914c-03e43621ba45/f70a3b8e-499c-41bb-9095-94c1dede1533_865157018.jpeg?h=225&w=225
Tesco Finest Sunstream Tomatoes 250G,€2.89,,€11.56/kg,https://www.tesco.ie/groceries/en-IE/products/266813103,https://digitalcontent.api.tesco.com/v2/media/ghs/7549ef56-1be0-47b7-ae1b-0d7f9a49b60b/c0a4616c-32ce-49f8-8e4a-590bf148c52a_1392322528.jpeg?h=225&w=225
Nightingale Farms Cherry Tomatoes 250G,€0.99,,€3.96/kg,https://www.tesco.ie/groceries/en-IE/products/292213267,https://digitalcontent.api.tesco.com/v2/media/ghs/ad66ee3c-acbb-41c3-954a-4a04fc110cb6/4302568d-4100-4ca5-a4b7-2559cc634afa_1851066632.jpeg?h=225&w=225
Green Growers Cherry Plum Tomatoes 250G,€1.99,,€7.96/kg,https://www.tesco.ie/groceries/en-IE/products/313729656,https://digitalcontent.api.tesco.com/v2/media/ghs/0cde1b55-fdff-4936-b49b-a7687c141973/00ba5c2a-d806-4ea2-a5c5-94e89d8f48ba_636518965.jpeg?h=225&w=225
Tesco Salad Tomatoes 6 Pack,€1.29,,€0.22/each,https://www.tesco.ie/groceries/en-IE/products/255208088,https://digitalcontent.api.tesco.com/v2/media/ghs/131c9a6c-2f7c-4a21-9710-93f25e5a1ca8/6c4cdb13-f171-4933-a11d-57a2bfca3138_1818806353.jpeg?h=225&w=225
Tesco Cocktail Tomatoes On The Vine 500G,€2.89,,€5.78/kg,https://www.tesco.ie/groceries/en-IE/products/311785712,https://digitalcontent.api.tesco.com/v2/media/ghs/6469954e-83a7-4470-ae7b-3e23fa61f5c8/d9bda8d3-f179-4271-9fd9-e339cb5d1de2_867184557.jpeg?h=225&w=225
Finest Vine Tomatoes,€2.99,,€7.48/kg,https://www.tesco.ie/groceries/en-IE/products/283723760,https://digitalcontent.api.tesco.com/v2/media/ghs/d1beb54d-21e8-4fff-ad7b-04e2a7175ee2/snapshotimagehandler_502059120.jpeg?h=225&w=225
Tesco Plum Tomato Tray 500G,€2.45,,€4.90/kg,https://www.tesco.ie/groceries/en-IE/products/305496435,https://digitalcontent.api.tesco.com/v2/media/ghs/49dbaabd-0c15-4c7e-9299-590bd1aa93af/snapshotimagehandler_862776335.jpeg?h=225&w=225
Tesco Finest Mini San Marzano Tomatoes 270G,€2.99,,€11.07/kg,https://www.tesco.ie/groceries/en-IE/products/278004806,https://digitalcontent.api.tesco.com/v2/media/ghs/0d4aba41-81e9-4ce0-834d-9b2640c865d3/52a61fae-b69f-43a8-b176-4dc1fc63e4db_1845333946.jpeg?h=225&w=225
Total Organics Organic Peppers 250G,€2.59,,€10.36/kg,https://www.tesco.ie/groceries/en-IE/products/307755351,https://digitalcontent.api.tesco.com/v2/media/ghs/662ae6e9-9d9c-475e-b60e-863ee9e050c9/snapshotimagehandler_739072681.jpeg?h=225&w=225
Total Organics Organic Baby Tomatoes 250G,€1.99,,€7.96/kg,https://www.tesco.ie/groceries/en-IE/products/306808130,https://digitalcontent.api.tesco.com/v2/media/ghs/85bcfb2f-18ff-4436-8c25-26fba95f78b3/ade1f887-9f67-4479-823b-8cbb4cbef6d3_1514304875.jpeg?h=225&w=225
Tesco Sweet Vine Ripened Tomatoes 750G,€3.29,,€4.39/kg,https://www.tesco.ie/groceries/en-IE/products/313732104,https://digitalcontent.api.tesco.com/v2/media/ghs/5ce148dd-c257-4d31-898f-bb7a72ca74a9/49c734fc-d81c-4aa5-bdc4-27e4cee30146_168070428.jpeg?h=225&w=225
Total Organic Salad Organic T/Toes On The Vine 500G,€2.99,€2.79 Clubcard Price,€5.98/kg,https://www.tesco.ie/groceries/en-IE/products/308452609,https://digitalcontent.api.tesco.com/v2/media/ghs/6034417c-22a0-48f6-92db-aabe46167ede/snapshotimagehandler_1767450502.jpeg?h=225&w=225
Total Organics Organic Pointed Peppers 2 Pack,€2.69,,€1.34/each,https://www.tesco.ie/groceries/en-IE/products/306801926,https://digitalcontent.api.tesco.com/v2/media/ghs/7a0bacc0-c099-4efb-933e-e198485a1469/snapshotimagehandler_991321716.jpeg?h=225&w=225
