Title,Price,Promotional Price,Price Per,Product URL,Image URL
8 Snack Sausage Rolls 288G,€0.99,,€3.44/kg,https://www.tesco.ie/groceries/en-IE/products/303719856,https://digitalcontent.api.tesco.com/v2/media/ghs/4b31b4a8-8d9b-4343-8687-68aabea7c22d/snapshotimagehandler_1803529056.jpeg?h=225&w=225
Tesco 16 Cocktail Sausages Rolls 288G,€1.50,,€5.21/kg,https://www.tesco.ie/groceries/en-IE/products/309463013,https://digitalcontent.api.tesco.com/v2/media/ghs/a76a621b-e3c5-4725-8a67-b7d7011d81e1/0baa4863-638b-46af-945c-04027baa0c6d_1038907744.jpeg?h=225&w=225
Eastman's 4 Jumbo Sausages Rolls With Irish Pork 320G,€1.19,,€3.72/kg,https://www.tesco.ie/groceries/en-IE/products/309488220,https://digitalcontent.api.tesco.com/v2/media/ghs/b589d65c-2718-48c4-bab1-63334aa5be5d/b9c0a87f-7d2a-4a6a-86e8-12e91cdb8c78_431981449.jpeg?h=225&w=225
Tesco 2 Pizza Bases 440G,€3.09,,€7.02/kg,https://www.tesco.ie/groceries/en-IE/products/312991267,https://digitalcontent.api.tesco.com/v2/media/ghs/ec3470eb-9cbd-4130-ae92-7031f470639b/e30100d9-8c03-479c-aacd-1a647e4574f5_303936341.jpeg?h=225&w=225
Eastmans Cheese & Bacon Quiche 400G,€2.00,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/300000109,https://digitalcontent.api.tesco.com/v2/media/ghs/3297970b-6582-4ade-ae7d-b3fe1b0b921f/cb4bab22-867f-48a2-bb0f-d4b3d0036ea9.jpeg?h=225&w=225
Mccolgans 4 Large Sausage Rolls 240G,€2.99,€2.00 Clubcard Price,€12.46/kg,https://www.tesco.ie/groceries/en-IE/products/282192870,https://digitalcontent.api.tesco.com/v2/media/ghs/bc90ce69-9f96-4244-ba26-be6119a6bec3/08b2c079-edc7-421d-ad0a-bec34eab83f5_257536890.jpeg?h=225&w=225
Mccolgans Chicken And Ham Pie 500G,€4.40,,€8.80/kg,https://www.tesco.ie/groceries/en-IE/products/275492433,https://digitalcontent.api.tesco.com/v2/media/ghs/22f90fe5-beec-42de-bddb-eaffe345e141/3a29e77d-9094-48ae-925c-5cf8359638cd_667931158.jpeg?h=225&w=225
Mogerley Steak And Kidney Pie 190G,€1.65,,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/275534039,https://digitalcontent.api.tesco.com/v2/media/ghs/fb353f70-39c4-442a-83f7-19f91c3a6ac6/b8136d28-6894-44e8-8569-c5a7f381e42b_836894924.jpeg?h=225&w=225
Tesco 5 Jumbo Sausage Rolls 400G,€3.00,,€7.50/kg,https://www.tesco.ie/groceries/en-IE/products/303719793,https://digitalcontent.api.tesco.com/v2/media/ghs/d9151c82-4a1d-49a8-8f5a-3f06c2eabbb2/snapshotimagehandler_2008434535.jpeg?h=225&w=225
Mogerley Chicken Curry Pie 190G,€1.65,,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/275533979,https://digitalcontent.api.tesco.com/v2/media/ghs/513d9550-f1e3-4801-86cc-8dd3a06465b0/f1b17180-eb8e-49ab-9115-3de993481ce7_557041724.jpeg?h=225&w=225
Mccolgans Steak And Gravy Pie 500G,€4.40,,€8.80/kg,https://www.tesco.ie/groceries/en-IE/products/275492393,https://digitalcontent.api.tesco.com/v2/media/ghs/77ea4f5d-b352-414d-9f86-06c6a3914963/92d7235d-7ec6-413e-88f1-00dce7b97df5_612864742.jpeg?h=225&w=225
Mogerley Chicken And Mushroom Pie 190G,€1.65,,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/275534097,https://digitalcontent.api.tesco.com/v2/media/ghs/eb726797-0810-4cb8-8f64-ae77731777c4/8da6b2db-4a3c-46c8-969f-bfc4bd6b8f98_695773162.jpeg?h=225&w=225
