Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Breadcrumbs 400G,€1.42,,€3.55/kg,https://www.tesco.ie/groceries/en-IE/products/266605413,https://digitalcontent.api.tesco.com/v2/media/ghs/7cc11f8a-dfbd-4345-9bc7-14dbbc118ad5/b129b847-3841-4c17-8aa9-5e1d1d91a136.jpeg?h=225&w=225
Tesco Sage And Onion Stuffing 250G,€2.75,,€11.00/kg,https://www.tesco.ie/groceries/en-IE/products/266605183,https://digitalcontent.api.tesco.com/v2/media/ghs/7d25154c-1222-4242-a1ab-ff26b2c1d6a0/snapshotimagehandler_1523593421.jpeg?h=225&w=225
Tesco Fresh Breadcrumbs 200G,€1.25,,€6.25/kg,https://www.tesco.ie/groceries/en-IE/products/297828753,https://digitalcontent.api.tesco.com/v2/media/ghs/772368c5-5a73-436b-a8ee-69131a75bf27/b5d1f357-dd3a-427e-b50e-6343db5f97ce.jpeg?h=225&w=225
Tesco Garlic And Herb Stuffing 250G,€2.70,,€10.80/kg,https://www.tesco.ie/groceries/en-IE/products/291369723,https://digitalcontent.api.tesco.com/v2/media/ghs/ff1205e0-864f-4b66-a05e-4dc5a13f4439/snapshotimagehandler_1174761100.jpeg?h=225&w=225
Silver Hill Food Duck Fat 180G,€2.99,,€16.61/kg,https://www.tesco.ie/groceries/en-IE/products/299585166,https://digitalcontent.api.tesco.com/v2/media/ghs/5d0f1dd8-88fe-4caf-8774-ef04725ff0f5/9c20a443-1be7-4ef3-9721-20035e340140_1321860758.jpeg?h=225&w=225
Insanely Good Creamy Pepper Sauce 100g,€1.50,Any 2 for €2 Clubcard Price - Selected Insanely Good Sauce 100g,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/315160184,https://digitalcontent.api.tesco.com/v2/media/ghs/a6e7253b-1b5a-43d9-a348-4c542627b9b2/defbde4a-7f8f-41bd-a51a-78110091d558_2147187589.jpeg?h=225&w=225
M And M Fresh Bread Crumbs 200G,€1.50,,€7.50/kg,https://www.tesco.ie/groceries/en-IE/products/266176846,https://digitalcontent.api.tesco.com/v2/media/ghs/083d7d3c-a8e7-4572-b1f4-143d9cde18b6/snapshotimagehandler_449434939.jpeg?h=225&w=225
The Sauceman Marie Rose Sauce 60G,€1.50,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/304179703,https://digitalcontent.api.tesco.com/v2/media/ghs/3936d1aa-3c42-4368-9730-3c23ece93828/snapshotimagehandler_1553425284.jpeg?h=225&w=225
Insanely Good Creamy Whiskey Sauce 100g,€1.50,Any 2 for €2 Clubcard Price - Selected Insanely Good Sauce 100g,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/315068674,https://digitalcontent.api.tesco.com/v2/media/ghs/0f07de2b-2dc4-4e1c-af74-d64b7edc78c6/ce4193bb-2839-4f72-8336-f79b23c0a651_1142948842.jpeg?h=225&w=225
The Sauceman Tartar Sauce 60G,€1.50,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/304116001,https://digitalcontent.api.tesco.com/v2/media/ghs/f8aa4ed2-a8d1-4322-91f4-6177de77c40c/snapshotimagehandler_82645037.jpeg?h=225&w=225
The Sauceman Garlic And Herb Sauce 60G,€1.50,,€25.00/kg,https://www.tesco.ie/groceries/en-IE/products/304115958,https://digitalcontent.api.tesco.com/v2/media/ghs/18edc097-321d-4b1f-80a4-8e8202dbbff2/snapshotimagehandler_1827900951.jpeg?h=225&w=225
Insanely Good Apple Sauce 100g,€1.50,Any 2 for €2 Clubcard Price - Selected Insanely Good Sauce 100g,€15.00/kg,https://www.tesco.ie/groceries/en-IE/products/315164067,https://digitalcontent.api.tesco.com/v2/media/ghs/849bde84-429e-41e0-a6c2-5f7624a47ac2/542fb8d6-eea6-419a-8bd0-f7ca75c6f669_982419744.jpeg?h=225&w=225
