Title,Price,Promotional Price,Price Per,Product URL,Image URL
Frubes Strawberry Red Berry & Peach Yogurts 9X37g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/302328940,https://digitalcontent.api.tesco.com/v2/media/ghs/1e570780-6309-4ab3-b0e5-21d652f1ecc0/eea01065-212f-4d66-acaf-1b9eed63208c.jpeg?h=225&w=225
Frubes Strawberry Yogurts 9X37g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/302328963,https://digitalcontent.api.tesco.com/v2/media/ghs/e2382f9b-fa12-4644-8d05-26e34b60e30a/4e079a60-4609-4e3e-b1d5-41ad19742ca4.jpeg?h=225&w=225
Petits Filous Strawberry Raspberry Fromage Frais 6 X47g,€1.99,€1.50 Clubcard Price,€7.06/kg,https://www.tesco.ie/groceries/en-IE/products/285019796,https://digitalcontent.api.tesco.com/v2/media/ghs/1de4fc66-16ea-46b3-8379-76aa983de5db/e83ab908-a5f2-4122-b03c-006d8d9e07d4.jpeg?h=225&w=225
Muller Corner Vanilla Yogurt With Chocolate Balls 124G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€9.60/kg,https://www.tesco.ie/groceries/en-IE/products/311955794,https://digitalcontent.api.tesco.com/v2/media/ghs/df25de73-31e4-4ac6-afd7-77de9c39f191/fd123f79-6ed1-48ec-b10f-a71862436230.jpeg?h=225&w=225
Petits Filous Strawberry Raspberry Fromage Frais 4 X85g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.50/kg,https://www.tesco.ie/groceries/en-IE/products/285020943,https://digitalcontent.api.tesco.com/v2/media/ghs/6b4b23b2-9ab8-4dc4-94b2-f81f86922683/11969136-ff9b-489e-a4aa-16d49ea2e605.jpeg?h=225&w=225
Activia Strawberry Gut Health Yoghurt 4x115g,€3.29,€2.50 Clubcard Price,€7.15/kg,https://www.tesco.ie/groceries/en-IE/products/308114446,https://digitalcontent.api.tesco.com/v2/media/ghs/10a71ab5-a1c4-4087-86cd-df3f39be0328/6d332f82-2d43-40c7-8856-bc138d10df58.jpeg?h=225&w=225
Glenisk Organic Kids Vanilla Yogurt 4X90g,€2.49,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€6.92/kg,https://www.tesco.ie/groceries/en-IE/products/311950237,https://digitalcontent.api.tesco.com/v2/media/ghs/5745535f-e5c3-4319-9168-fc5769e6e8a4/6a1348ba-c080-4b6d-be54-681aeec0e594.jpeg?h=225&w=225
Muller Corner Vanilla & Banana Chocolate Balls & Flakes 6 X 124G,€5.00,€4.75 Clubcard Price,€6.72/kg,https://www.tesco.ie/groceries/en-IE/products/311937292,https://digitalcontent.api.tesco.com/v2/media/ghs/61c57e46-92f6-4c9b-91f4-5f622fb3871b/5a3fce1c-fe25-4094-8b08-688529fcb605.jpeg?h=225&w=225
Actimel Strawberry Immunity Live Yoghurt Drink Multipack 8X100g,€4.49,€3.50 Clubcard Price,€5.61/kg,https://www.tesco.ie/groceries/en-IE/products/255084895,https://digitalcontent.api.tesco.com/v2/media/ghs/a7d89cd1-e9ca-46d6-8826-290da1dc7e7a/c6a110be-6415-4c42-8c8e-1bb4bd1ae83b.jpeg?h=225&w=225
Yollies Strawberry Yogurt 4 X25g,€2.89,€2.30 Clubcard Price,€28.90/kg,https://www.tesco.ie/groceries/en-IE/products/284092668,https://digitalcontent.api.tesco.com/v2/media/ghs/fee4647d-18ae-4e12-afe4-661a6da936d9/0b6d5966-44e3-4174-993c-79d2e8187563.jpeg?h=225&w=225
Lindahls Kvarg Raspberry 150G Pot,€1.49,€1.00 Clubcard Price,€9.93/kg,https://www.tesco.ie/groceries/en-IE/products/301253516,https://digitalcontent.api.tesco.com/v2/media/ghs/df77f18b-fa9c-49d8-9350-d0b3958c154f/96fe26ea-df99-4770-8777-c6f427f6e1f5.jpeg?h=225&w=225
Benecol Strawberry Yogurt Drink 6X67.5G,€5.29,€4.50 Clubcard Price,€13.06/kg,https://www.tesco.ie/groceries/en-IE/products/258208141,https://digitalcontent.api.tesco.com/v2/media/ghs/0b5529c3-2f60-4054-9c4b-1115edc26185/0b226081-42bf-4db4-82f2-9ed88a76ec19.jpeg?h=225&w=225
Petits Filous Strawberry Drinking Yogurt 4X100g,€2.89,€2.50 Clubcard Price,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/303930582,https://digitalcontent.api.tesco.com/v2/media/ghs/987feff4-35b4-4ebe-9574-682971b3860a/aa8a915c-c3cb-4ffd-9dc4-74b8f8553e6e.jpeg?h=225&w=225
Petits Filous Apricot And Strawberry Fromage Frais 6X47g,€1.99,€1.50 Clubcard Price,€7.06/kg,https://www.tesco.ie/groceries/en-IE/products/285020056,https://digitalcontent.api.tesco.com/v2/media/ghs/8446c4d3-e911-4823-86e4-8a65a05dd248/9e701f9a-47d3-49f0-9b48-c957a3a6f7b3_1196305981.jpeg?h=225&w=225
Fage Total 0%Fat Greek Recipe Yogurt 450G,€4.35,Any 2 for €7 Clubcard Price - Selected Fage Total Yoghurt 450g,€9.67/kg,https://www.tesco.ie/groceries/en-IE/products/311229525,https://digitalcontent.api.tesco.com/v2/media/ghs/1fe53ad7-bce5-47a9-b0ca-21a2baf7320c/97b2182d-57bf-4307-b5e5-28a54bfa522d.jpeg?h=225&w=225
Lindahls Kvarg White Chocolate 150G,€1.49,€1.00 Clubcard Price,€9.93/kg,https://www.tesco.ie/groceries/en-IE/products/306953849,https://digitalcontent.api.tesco.com/v2/media/ghs/e9a38e8b-c5e4-4fdd-9a90-f164c51e0acd/1697d4aa-0f20-4923-891c-c86b0af35b6b.jpeg?h=225&w=225
Petits Filous Apricot & Strawberry Fromage Frais 4X85g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.50/kg,https://www.tesco.ie/groceries/en-IE/products/285021026,https://digitalcontent.api.tesco.com/v2/media/ghs/47120001-9487-4c9d-8fdf-5f62f053c753/13f20a3f-fff2-4df2-84bf-3994cd313d76.jpeg?h=225&w=225
Yoplait Strawberry Yoghurt 4X125g,€2.99,Any 2 for €4 Clubcard Price - Selected Yoplait Products,€5.98/kg,https://www.tesco.ie/groceries/en-IE/products/263767202,https://digitalcontent.api.tesco.com/v2/media/ghs/9577edc1-2e36-4da2-b80d-316192112d40/f8cc38e0-8051-4bf2-9f06-94942092a4a7_1186108335.jpeg?h=225&w=225
Lindahls Kvarg Vanilla 150G Pot,€1.49,€1.00 Clubcard Price,€9.93/kg,https://www.tesco.ie/groceries/en-IE/products/301253499,https://digitalcontent.api.tesco.com/v2/media/ghs/882355f3-dc8a-4a90-8f00-22f22b2063bc/4214da89-77e8-48a7-a1e7-65bbe409c3e2.jpeg?h=225&w=225
Muller Rice Low Fat Strawberry Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311668391,https://digitalcontent.api.tesco.com/v2/media/ghs/e2399520-b490-40e0-a1f1-cb0fafd72fa3/5ae2ddf1-40ec-45f8-b343-a009cb210128.jpeg?h=225&w=225
Muller Rice Low Fat Original Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311950056,https://digitalcontent.api.tesco.com/v2/media/ghs/4dddb23b-67a9-44b6-9662-310fe3ee4f94/7298e022-1174-40c9-b9aa-b7ffce58a55e.jpeg?h=225&w=225
Muller Corner Strawberry Shortcakes & Milk Chocolate Digestive 6 X 124G,€5.23,€4.75 Clubcard Price,€7.03/kg,https://www.tesco.ie/groceries/en-IE/products/311684019,https://digitalcontent.api.tesco.com/v2/media/ghs/6a7b565c-b1d1-4be6-b1dc-2ce6bbd903e7/734e8461-8981-4870-bb78-218d002c0587.jpeg?h=225&w=225
Frubes Banana And Strawberry Yogurts 9X37g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/302328986,https://digitalcontent.api.tesco.com/v2/media/ghs/2aa7d586-26dd-458f-b73d-8fd95a7aac6f/6cea3002-7abc-43e5-8f6a-0209e8b9e5d5_912768698.jpeg?h=225&w=225
Muller Rice Low Fat Vanilla Custard Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311252721,https://digitalcontent.api.tesco.com/v2/media/ghs/a03c2853-87c6-4b7b-a27a-692cef4a72ed/ee765f76-ae20-40d5-b722-22392fa7bb94.jpeg?h=225&w=225
