Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Strawberry Yogurt Drink 6 X100g,€1.09,,€1.82/kg,https://www.tesco.ie/groceries/en-IE/products/264799122,https://digitalcontent.api.tesco.com/v2/media/ghs/96057528-137f-4a0f-b5d7-cd10cd63fc4a/8f98724b-8a1e-4207-ae43-e6b437cfe7ab.jpeg?h=225&w=225
Tesco Peach & Apricot Yogurt Drink 6 X100g,€1.09,,€1.82/kg,https://www.tesco.ie/groceries/en-IE/products/264798856,https://digitalcontent.api.tesco.com/v2/media/ghs/6a4c522f-67d4-4ec5-a97a-485464ccf1db/91bbb575-999c-4195-bf36-ae02f6ac78d2.jpeg?h=225&w=225
Actimel Strawberry Immunity Live Yoghurt Drink Multipack 8X100g,€4.49,€3.50 Clubcard Price,€5.61/kg,https://www.tesco.ie/groceries/en-IE/products/255084895,https://digitalcontent.api.tesco.com/v2/media/ghs/a7d89cd1-e9ca-46d6-8826-290da1dc7e7a/c6a110be-6415-4c42-8c8e-1bb4bd1ae83b.jpeg?h=225&w=225
Yollies Strawberry Yogurt 4 X25g,€2.89,€2.30 Clubcard Price,€28.90/kg,https://www.tesco.ie/groceries/en-IE/products/284092668,https://digitalcontent.api.tesco.com/v2/media/ghs/fee4647d-18ae-4e12-afe4-661a6da936d9/0b6d5966-44e3-4174-993c-79d2e8187563.jpeg?h=225&w=225
Tesco Cholesterol Reducing Strawberry Yogurt Drink 6 X100g,€1.87,,€3.12/kg,https://www.tesco.ie/groceries/en-IE/products/273196482,https://digitalcontent.api.tesco.com/v2/media/ghs/e020cc5a-e688-4a2f-8baa-f3c2345f9475/621c11a1-8eff-43f1-a3e2-648802fc4a78.jpeg?h=225&w=225
Benecol Strawberry Yogurt Drink 6X67.5G,€5.29,€4.50 Clubcard Price,€13.06/kg,https://www.tesco.ie/groceries/en-IE/products/258208141,https://digitalcontent.api.tesco.com/v2/media/ghs/0b5529c3-2f60-4054-9c4b-1115edc26185/0b226081-42bf-4db4-82f2-9ed88a76ec19.jpeg?h=225&w=225
Petits Filous Strawberry Drinking Yogurt 4X100g,€2.89,€2.50 Clubcard Price,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/303930582,https://digitalcontent.api.tesco.com/v2/media/ghs/987feff4-35b4-4ebe-9574-682971b3860a/aa8a915c-c3cb-4ffd-9dc4-74b8f8553e6e.jpeg?h=225&w=225
Yakult Original 8 X 65Ml,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/313859565,https://digitalcontent.api.tesco.com/v2/media/ghs/1743984b-0701-439b-83d5-85471d2f0b42/aac2e657-f99f-4250-8b70-3acf17e0c313.jpeg?h=225&w=225
Yoplait Yop Forest Fruit Flavoured Yoghurt 4X180g,€2.99,,€4.15/kg,https://www.tesco.ie/groceries/en-IE/products/305954464,https://digitalcontent.api.tesco.com/v2/media/ghs/a6d0c1de-9711-424d-8ebd-7542446cd2d0/0094a005-b0ee-4a11-a22c-168807ebcc44_1019089456.jpeg?h=225&w=225
Actimel Multifruit Immunity Live Yoghurt Drink Multipack 12X100g,€5.49,,€4.58/kg,https://www.tesco.ie/groceries/en-IE/products/258207983,https://digitalcontent.api.tesco.com/v2/media/ghs/e69c34dc-814d-4edf-8295-d925ac635c3d/bf9245c0-f06d-4c26-9ece-2fe917ef707f.jpeg?h=225&w=225
Benecol Original No Added Sugar 6 x 67.5g,€5.29,€4.50 Clubcard Price,€13.06/kg,https://www.tesco.ie/groceries/en-IE/products/255080338,https://digitalcontent.api.tesco.com/v2/media/ghs/26e97207-5c5c-4b6d-a3d0-aebdb1a7291d/41cf1932-5af3-4ab6-824c-063feb4be0b7.jpeg?h=225&w=225
Yollies Raspberry 4 Pack X 25G,€2.89,€2.30 Clubcard Price,€28.90/kg,https://www.tesco.ie/groceries/en-IE/products/284092680,https://digitalcontent.api.tesco.com/v2/media/ghs/4bd3e67a-b66b-4e35-bb8d-02864086ff46/c7867633-3e5a-4049-9d43-358547c8c351_1949537276.jpeg?h=225&w=225
Yoplait Yop Strawberry Banana Yoghurt 4X180g,€2.99,,€4.15/kg,https://www.tesco.ie/groceries/en-IE/products/305968730,https://digitalcontent.api.tesco.com/v2/media/ghs/c31207c8-f8ea-4672-82cb-4028b88737df/dd1944e5-e044-4a0c-adda-7c17a7648340_454845771.jpeg?h=225&w=225
Actimel Original Drink 8X100g,€4.49,€3.50 Clubcard Price,€5.61/kg,https://www.tesco.ie/groceries/en-IE/products/256572206,https://digitalcontent.api.tesco.com/v2/media/ghs/d9f50b2e-da02-4c63-bf1b-3a02939304d5/679981a2-0f05-45c9-a8f3-ea4d39f0aae3_49826600.jpeg?h=225&w=225
Petit Filous Peach Drinking Yogurt 4X100g,€2.89,€2.50 Clubcard Price,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/305940912,https://digitalcontent.api.tesco.com/v2/media/ghs/ad6c17ad-f048-48fa-b51a-c13957a1e9b1/6b02cc5b-0f2e-4462-baa5-076f856a28b9_1525224408.jpeg?h=225&w=225
Actimel Kids Strawberry Banana Yoghurt Drink Multipack 4x100g,€2.39,€2.00 Clubcard Price,€5.98/kg,https://www.tesco.ie/groceries/en-IE/products/309478497,https://digitalcontent.api.tesco.com/v2/media/ghs/c154077b-77fd-4a10-a171-21744dbab0a7/776b296f-4747-4ce4-85d2-f2d50b5c5b5c.jpeg?h=225&w=225
Bio-Tiful Dairy Kefir Drink Original 500Ml,€2.60,€2.00 Clubcard Price,€5.20/litre,https://www.tesco.ie/groceries/en-IE/products/302529973,https://digitalcontent.api.tesco.com/v2/media/ghs/b2a948d9-4adb-4b7c-811c-f95d1ef4c53b/b1c09816-9f7a-45e6-9c36-638d451e44ac.jpeg?h=225&w=225
Benecol Blueberry Yogurt Drink 6X67.5G,€5.29,€4.50 Clubcard Price,€13.06/kg,https://www.tesco.ie/groceries/en-IE/products/268890208,https://digitalcontent.api.tesco.com/v2/media/ghs/351c58bc-f847-4a21-a6fb-d87afce47bf3/ea258bae-9ac9-4e90-bb2a-7138928a3b7a.jpeg?h=225&w=225
Petits Filous Vanilla Drinking Yoghurt 4X100g,€2.89,€2.50 Clubcard Price,€7.22/kg,https://www.tesco.ie/groceries/en-IE/products/303930668,https://digitalcontent.api.tesco.com/v2/media/ghs/c4f64cfc-97aa-4db2-bda3-fdb46a91127f/98774ae9-9213-4478-a84a-29fcac6ac410_853928354.jpeg?h=225&w=225
