Title,Price,Promotional Price,Price Per,Product URL,Image URL
Tesco Fromage Frais Strawberry Raspberry Pouches 4 X 80G,€1.19,,€3.72/kg,https://www.tesco.ie/groceries/en-IE/products/299970418,https://digitalcontent.api.tesco.com/v2/media/ghs/3bed17fd-d8d7-4589-82e6-518a8d29ea28/0e4bbd60-e638-4f96-9a11-68ae62fcf696.jpeg?h=225&w=225
Frubes Strawberry Red Berry & Peach Yogurts 9X37g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/302328940,https://digitalcontent.api.tesco.com/v2/media/ghs/1e570780-6309-4ab3-b0e5-21d652f1ecc0/eea01065-212f-4d66-acaf-1b9eed63208c.jpeg?h=225&w=225
Frubes Strawberry Yogurts 9X37g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/302328963,https://digitalcontent.api.tesco.com/v2/media/ghs/e2382f9b-fa12-4644-8d05-26e34b60e30a/4e079a60-4609-4e3e-b1d5-41ad19742ca4.jpeg?h=225&w=225
Tesco Greek Style Natural Yoghurt 1Kg,€1.85,,€1.85/kg,https://www.tesco.ie/groceries/en-IE/products/308117938,https://digitalcontent.api.tesco.com/v2/media/ghs/3d7a2146-39da-4e07-bd9b-e41232ffb4d5/f61c3e5e-bf83-4ce3-829e-468638130d91_958017999.jpeg?h=225&w=225
Petits Filous Strawberry Raspberry Fromage Frais 6 X47g,€1.99,€1.50 Clubcard Price,€7.06/kg,https://www.tesco.ie/groceries/en-IE/products/285019796,https://digitalcontent.api.tesco.com/v2/media/ghs/1de4fc66-16ea-46b3-8379-76aa983de5db/e83ab908-a5f2-4122-b03c-006d8d9e07d4.jpeg?h=225&w=225
Munch Bunch Double Up Strawberry Vanilla Yogurt 4 X85g,€2.59,,€7.62/kg,https://www.tesco.ie/groceries/en-IE/products/268776788,https://digitalcontent.api.tesco.com/v2/media/ghs/ddd39087-6df5-4164-b6ac-68ded71168e7/ac50d3e0-f678-4d3f-884d-d69b96b01295.jpeg?h=225&w=225
Tesco Natural Yoghurt 500G,€1.19,,€2.38/kg,https://www.tesco.ie/groceries/en-IE/products/308082471,https://digitalcontent.api.tesco.com/v2/media/ghs/4377e1b2-bbb7-4f6e-9d7f-78d8f3368db6/eee35ffa-2b7a-475e-a4b5-5306f237f222_2039507692.jpeg?h=225&w=225
Tesco Strawberry Yoghurt 4X125g,€1.89,,€3.78/kg,https://www.tesco.ie/groceries/en-IE/products/306825898,https://digitalcontent.api.tesco.com/v2/media/ghs/8b4c4517-38fa-4526-aaae-b234c6f51069/snapshotimagehandler_1328923123.jpeg?h=225&w=225
Muller Corner Vanilla Yogurt With Chocolate Balls 124G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€9.60/kg,https://www.tesco.ie/groceries/en-IE/products/311955794,https://digitalcontent.api.tesco.com/v2/media/ghs/df25de73-31e4-4ac6-afd7-77de9c39f191/fd123f79-6ed1-48ec-b10f-a71862436230.jpeg?h=225&w=225
Petits Filous Strawberry Raspberry Fromage Frais 4 X85g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.50/kg,https://www.tesco.ie/groceries/en-IE/products/285020943,https://digitalcontent.api.tesco.com/v2/media/ghs/6b4b23b2-9ab8-4dc4-94b2-f81f86922683/11969136-ff9b-489e-a4aa-16d49ea2e605.jpeg?h=225&w=225
Activia Strawberry Gut Health Yoghurt 4x115g,€3.29,€2.50 Clubcard Price,€7.15/kg,https://www.tesco.ie/groceries/en-IE/products/308114446,https://digitalcontent.api.tesco.com/v2/media/ghs/10a71ab5-a1c4-4087-86cd-df3f39be0328/6d332f82-2d43-40c7-8856-bc138d10df58.jpeg?h=225&w=225
Glenisk Organic Kids Vanilla Yogurt 4X90g,€2.49,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€6.92/kg,https://www.tesco.ie/groceries/en-IE/products/311950237,https://digitalcontent.api.tesco.com/v2/media/ghs/5745535f-e5c3-4319-9168-fc5769e6e8a4/6a1348ba-c080-4b6d-be54-681aeec0e594.jpeg?h=225&w=225
Muller Corner Vanilla & Banana Chocolate Balls & Flakes 6 X 124G,€5.00,€4.75 Clubcard Price,€6.72/kg,https://www.tesco.ie/groceries/en-IE/products/311937292,https://digitalcontent.api.tesco.com/v2/media/ghs/61c57e46-92f6-4c9b-91f4-5f622fb3871b/5a3fce1c-fe25-4094-8b08-688529fcb605.jpeg?h=225&w=225
Tesco Vanilla Yoghurt 4X125g,€1.89,,€3.78/kg,https://www.tesco.ie/groceries/en-IE/products/306802919,https://digitalcontent.api.tesco.com/v2/media/ghs/595166fb-13d1-4b2c-9ec0-7bb5d7839d26/snapshotimagehandler_356845831.jpeg?h=225&w=225
Creamfields Apricot Strawberry Raspberry Fromage Frais 12 X 50G,€1.15,,€1.92/kg,https://www.tesco.ie/groceries/en-IE/products/299970378,https://digitalcontent.api.tesco.com/v2/media/ghs/4d2875cc-dc17-4fad-a19e-d76dfe8601ef/b1c5d584-8876-4c9a-88aa-ecf8b9b85a76.jpeg?h=225&w=225
Glenilen Farm Live Kids Yogurt Strawberry 360G,€2.19,,€6.08/kg,https://www.tesco.ie/groceries/en-IE/products/303837969,https://digitalcontent.api.tesco.com/v2/media/ghs/ba5391c4-71d1-44ea-918b-96d92857c670/1e1ce347-4ec8-4692-9328-3bc5310f5802.jpeg?h=225&w=225
Tesco 0% Fat Greek Style Yoghurt 500G,€1.29,,€2.58/kg,https://www.tesco.ie/groceries/en-IE/products/308106387,https://digitalcontent.api.tesco.com/v2/media/ghs/c4e8470e-8c6e-471c-8280-f977d84c9f82/57b4b6d7-0c26-4b36-a65f-a24d99f9f472_2013758772.jpeg?h=225&w=225
Tesco Greek Style Lemon Yogurts 4X125g,€1.89,,€3.78/kg,https://www.tesco.ie/groceries/en-IE/products/309455098,https://digitalcontent.api.tesco.com/v2/media/ghs/5ce8a3eb-2594-4cf5-a88c-f903f3b45593/5a7f9d37-d28e-45f3-804f-3fcf8988035a_1281819333.jpeg?h=225&w=225
Paw Patrol Strawberry Fromage Frais 6X45g,€1.49,,€5.52/kg,https://www.tesco.ie/groceries/en-IE/products/296361764,https://digitalcontent.api.tesco.com/v2/media/ghs/c7cb3a03-7f1c-4d01-8808-3babd8aec8d4/4c2a0d44-5014-4a8a-9090-6823fa1716d5_1411067689.jpeg?h=225&w=225
Tesco Greek Style Vanilla Yoghurt 450G,€1.29,,€2.87/kg,https://www.tesco.ie/groceries/en-IE/products/309449590,https://digitalcontent.api.tesco.com/v2/media/ghs/62ff2d2f-6043-4fb0-900f-d8f4b4f334ce/b6ce37d9-69dc-4852-90d2-23ee905f2efe_1375398518.jpeg?h=225&w=225
Wildlife Choobs Variety 6X37g,€1.49,,€6.71/kg,https://www.tesco.ie/groceries/en-IE/products/310119778,https://digitalcontent.api.tesco.com/v2/media/ghs/f29d308a-c7ec-463e-bb88-2ef6b61fb500/04b09f0d-48af-497b-bd74-8de1d6980600.jpeg?h=225&w=225
Lindahls Kvarg Raspberry 150G Pot,€1.49,€1.00 Clubcard Price,€9.93/kg,https://www.tesco.ie/groceries/en-IE/products/301253516,https://digitalcontent.api.tesco.com/v2/media/ghs/df77f18b-fa9c-49d8-9350-d0b3958c154f/96fe26ea-df99-4770-8777-c6f427f6e1f5.jpeg?h=225&w=225
Tesco Toffee And Caramel Yoghurt 150G,€0.75,,€5.00/kg,https://www.tesco.ie/groceries/en-IE/products/303824944,https://digitalcontent.api.tesco.com/v2/media/ghs/b5786f40-3066-41e6-99fd-686c83d0d459/d2aa2490-79b1-475b-a962-d0fdeeb95e9e_128467036.jpeg?h=225&w=225
Tesco Finest Greek Yogurt 500G,€3.00,,€6.00/kg,https://www.tesco.ie/groceries/en-IE/products/256381115,https://digitalcontent.api.tesco.com/v2/media/ghs/bac55a0d-abce-4a2d-b388-7491a0f604ad/4a4708aa-7fee-4c9d-9bf4-0f4a460c8ba6.jpeg?h=225&w=225
Petits Filous Apricot And Strawberry Fromage Frais 6X47g,€1.99,€1.50 Clubcard Price,€7.06/kg,https://www.tesco.ie/groceries/en-IE/products/285020056,https://digitalcontent.api.tesco.com/v2/media/ghs/8446c4d3-e911-4823-86e4-8a65a05dd248/9e701f9a-47d3-49f0-9b48-c957a3a6f7b3_1196305981.jpeg?h=225&w=225
Fage Total 0%Fat Greek Recipe Yogurt 450G,€4.35,Any 2 for €7 Clubcard Price - Selected Fage Total Yoghurt 450g,€9.67/kg,https://www.tesco.ie/groceries/en-IE/products/311229525,https://digitalcontent.api.tesco.com/v2/media/ghs/1fe53ad7-bce5-47a9-b0ca-21a2baf7320c/97b2182d-57bf-4307-b5e5-28a54bfa522d.jpeg?h=225&w=225
Tesco Greek Style Natural 500G,€1.29,,€2.58/kg,https://www.tesco.ie/groceries/en-IE/products/286095541,https://digitalcontent.api.tesco.com/v2/media/ghs/8e4d8ec9-3bd1-49ec-84a7-c357f2943a9e/snapshotimagehandler_1944077372.jpeg?h=225&w=225
Tesco Raspberry Yoghurt 4X125g,€1.89,,€3.78/kg,https://www.tesco.ie/groceries/en-IE/products/306821453,https://digitalcontent.api.tesco.com/v2/media/ghs/0f5f30b2-0a5c-42a3-b418-31b78d2920ed/snapshotimagehandler_786673683.jpeg?h=225&w=225
Lindahls Kvarg White Chocolate 150G,€1.49,€1.00 Clubcard Price,€9.93/kg,https://www.tesco.ie/groceries/en-IE/products/306953849,https://digitalcontent.api.tesco.com/v2/media/ghs/e9a38e8b-c5e4-4fdd-9a90-f164c51e0acd/1697d4aa-0f20-4923-891c-c86b0af35b6b.jpeg?h=225&w=225
Petits Filous Apricot & Strawberry Fromage Frais 4X85g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.50/kg,https://www.tesco.ie/groceries/en-IE/products/285021026,https://digitalcontent.api.tesco.com/v2/media/ghs/47120001-9487-4c9d-8fdf-5f62f053c753/13f20a3f-fff2-4df2-84bf-3994cd313d76.jpeg?h=225&w=225
Glenisk Organic Wholemilknatural Yoghurt 500G,€2.49,,€4.98/kg,https://www.tesco.ie/groceries/en-IE/products/262373928,https://digitalcontent.api.tesco.com/v2/media/ghs/6a8f6793-6551-4dee-ab10-e0b78888379d/b308c293-044c-4b9a-b3c0-a92f0288758e_966709133.jpeg?h=225&w=225
Petits Filous S/Berry/R/Berry /Apricot 12X47g,€3.99,,€7.07/kg,https://www.tesco.ie/groceries/en-IE/products/294343599,https://digitalcontent.api.tesco.com/v2/media/ghs/57880454-3b0c-4a0f-8b54-ed1998d8454c/8e6a5ddd-01bd-413d-af5e-e86f862a9882_1217953507.jpeg?h=225&w=225
Yoplait Strawberry Yoghurt 4X125g,€2.99,Any 2 for €4 Clubcard Price - Selected Yoplait Products,€5.98/kg,https://www.tesco.ie/groceries/en-IE/products/263767202,https://digitalcontent.api.tesco.com/v2/media/ghs/9577edc1-2e36-4da2-b80d-316192112d40/f8cc38e0-8051-4bf2-9f06-94942092a4a7_1186108335.jpeg?h=225&w=225
Lindahls Kvarg Vanilla 150G Pot,€1.49,€1.00 Clubcard Price,€9.93/kg,https://www.tesco.ie/groceries/en-IE/products/301253499,https://digitalcontent.api.tesco.com/v2/media/ghs/882355f3-dc8a-4a90-8f00-22f22b2063bc/4214da89-77e8-48a7-a1e7-65bbe409c3e2.jpeg?h=225&w=225
Ferrero Kinder Pingui 4 X 30G,€1.99,,€16.58/kg,https://www.tesco.ie/groceries/en-IE/products/250734716,https://digitalcontent.api.tesco.com/v2/media/ghs/667128bc-a32d-4139-999a-fef5bc8c08bb/34eb9be3-56af-47a7-bb59-dd8f17851dc0.jpeg?h=225&w=225
Muller Rice Low Fat Strawberry Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311668391,https://digitalcontent.api.tesco.com/v2/media/ghs/e2399520-b490-40e0-a1f1-cb0fafd72fa3/5ae2ddf1-40ec-45f8-b343-a009cb210128.jpeg?h=225&w=225
Tesco Fat Free Strawberry Yogurts 4X125g,€1.89,,€3.78/kg,https://www.tesco.ie/groceries/en-IE/products/306815651,https://digitalcontent.api.tesco.com/v2/media/ghs/9281321c-f29d-4e40-ab48-b4b93cc9b9ba/snapshotimagehandler_976806476.jpeg?h=225&w=225
Muller Rice Low Fat Original Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311950056,https://digitalcontent.api.tesco.com/v2/media/ghs/4dddb23b-67a9-44b6-9662-310fe3ee4f94/7298e022-1174-40c9-b9aa-b7ffce58a55e.jpeg?h=225&w=225
Glenisk Organic Greek Style Natural 500G,Currently out of stock,,,https://www.tesco.ie/groceries/en-IE/products/259129745,https://digitalcontent.api.tesco.com/v2/media/ghs/9c4352ac-e817-4ebb-9d14-243b659e904c/415a17ef-b1c8-45fc-828d-aaac1aed44a4.jpeg?h=225&w=225
Muller Corner Strawberry Shortcakes & Milk Chocolate Digestive 6 X 124G,€5.23,€4.75 Clubcard Price,€7.03/kg,https://www.tesco.ie/groceries/en-IE/products/311684019,https://digitalcontent.api.tesco.com/v2/media/ghs/6a7b565c-b1d1-4be6-b1dc-2ce6bbd903e7/734e8461-8981-4870-bb78-218d002c0587.jpeg?h=225&w=225
Frubes Banana And Strawberry Yogurts 9X37g,€2.89,Any 3 for €5 Clubcard Price - Selected Cheese Or Fresh Soup Or Meat Or Yogurt & Desserts,€8.68/kg,https://www.tesco.ie/groceries/en-IE/products/302328986,https://digitalcontent.api.tesco.com/v2/media/ghs/2aa7d586-26dd-458f-b73d-8fd95a7aac6f/6cea3002-7abc-43e5-8f6a-0209e8b9e5d5_912768698.jpeg?h=225&w=225
Muller Rice Low Fat Vanilla Custard Pudding 170G,€1.19,Any 4 for €3.75 Clubcard Price - Selected Muller Yogurt Or Desserts 124g-170g,€7.00/kg,https://www.tesco.ie/groceries/en-IE/products/311252721,https://digitalcontent.api.tesco.com/v2/media/ghs/a03c2853-87c6-4b7b-a27a-692cef4a72ed/ee765f76-ae20-40d5-b722-22392fa7bb94.jpeg?h=225&w=225
