Title,Price,Price Per,Image URL
Tesco Finest Cranberry Sauce 220G,€2.80,€12.73/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/8dfd8e86-4171-4fd7-8737-ecd68d54fb44/6479e8ec-a9c1-49f1-b09c-df605e7294a3_808090060.jpeg?h=225&w=225
Tesco Finest Grade A Amber Maple Syrup 330G,€5.99,€18.15/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/cba05637-f109-409d-aba4-8e325691767c/84c16bcf-44f5-4594-bb99-6aae4aa78d27_2103832346.jpeg?h=225&w=225
Tesco Finest Cold Press Rapeseed Oil 500Ml,€3.35,€6.70/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/667a9779-7636-4362-8a88-b6053828cf23/af49bcd3-a392-45b6-9acd-805e820fdd4c_250384850.jpeg?h=225&w=225
Tesco Finest Meringue Nests 8S,€1.65,€0.21/each,https://digitalcontent.api.tesco.com/v2/media/ghs/119d642d-90dc-4f1b-b2c8-769f18b06ce1/1e3e7cd2-79ce-40dc-b0a4-018e30b6ff95_84186039.jpeg?h=225&w=225
Tesco Finest Chicken Gravy 350Ml,€2.45,€7.00/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/d2e88b4c-8d46-4147-9504-74892c173a3f/018c7206-7922-4896-a2be-4c1dbc0c93bc_1795484942.jpeg?h=225&w=225
Tesco Finest Orzo Pasta 500G,€1.75,€3.50/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/9d332888-d5c3-4a47-bbf5-220c13574dd7/3e1de860-bb2a-48cd-9f66-8720717d1a78_404024677.jpeg?h=225&w=225
Tesco Finest Strawberry Conserve 320G,€2.29,€7.16/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/126c6eef-cc0e-4558-aa9d-f099a08896b8/64dc9be4-ea8d-43ca-834a-66e9ed26d814_236688179.jpeg?h=225&w=225
Tesco Finest Tomato Mascarpone Pasta Sauce 340G,€2.20,€6.47/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/6da51104-6846-4e43-81c2-b6bff0ec9537/519b5927-3153-4c5c-8ba1-46ccf1c0b917_1565856395.jpeg?h=225&w=225
Tesco Finest Raspberry Conserve 320G,€2.29,€7.16/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/ff6fa72b-92cc-4324-9da6-76f4c5cecdb0/95a4fcf9-a512-4d83-a17f-b4f64f2fde45_1003187207.jpeg?h=225&w=225
Tesco Finest Sun Dried Tomato Garlic & Basil Sauce 340G,€2.20,€6.47/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/e0b9b038-6552-48ed-bc85-206ae3d056b3/6e87253c-294a-44df-a925-99edc7586c54_1667709693.jpeg?h=225&w=225
Tesco Finest Chocolate Orange Cookies 200G,€2.20,€11.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/ce8c3a9f-acb0-43f0-ac50-06c62210e08c/3109b880-929b-42f4-b9c3-6b2f43524119_597029249.jpeg?h=225&w=225
Tesco Finest Sweet Tomato Relish 220G,€1.69,€7.68/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/95b6955f-d29f-4029-a9bb-bcf62f80e6d1/af317d3d-5557-4277-b5c3-f9b88bea2e86_1158580286.jpeg?h=225&w=225
Tesco Finest Quadruple Chocolate Cookies 200G,€2.20,€11.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/a2a365f0-8649-47e3-a2c3-f6fb7d5913e0/8d97a941-7757-4647-8a7b-4c77a338f98b_546729951.jpeg?h=225&w=225
Tesco Finest Mature Cheddar And Red Onion Crisps 125G,€2.25,€18.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/e37ed36d-0099-41ab-a1fb-7660a1873c7c/49caa6c3-a5e9-4429-a7ef-42db345a8421_2107663657.jpeg?h=225&w=225
Tesco Finest Crinkle S/Slt And White Wine Vinegar Crisps 125G,€2.25,€18.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/aec02664-a507-4c47-9efc-130c4e26e57b/1fef4ced-0efa-4765-8c05-bd20ec41e172_429285489.jpeg?h=225&w=225
Tesco Finest Thai Inspired Swt/Ch Crisps 125G,€2.25,€18.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/3a2971f6-fde0-4118-8410-4e93295c8317/52201b39-1ec5-40fa-943f-ec1b208ce554_733716056.jpeg?h=225&w=225
Tesco Finest Crinkle Cut Lightly Salted Crisps 125G,€2.25,€18.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/16f7ee36-a346-4844-a810-2158efe3fc3a/56c6ed05-183e-40fd-8ac9-b4bc46db3dfb_2096837227.jpeg?h=225&w=225
Tesco Finest Sicillain Lemon Curd 150G,€1.15,€7.67/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/454be461-3fa0-409b-b2b4-30eceb304e92/snapshotimagehandler_1132997322.jpeg?h=225&w=225
Tesco Finest Sage & Red Onion Stuffing 130G,€2.15,€16.54/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/1ab8288f-6f19-48ee-8ec2-3034fa1d6a77/a1311b8e-7a4d-4021-a931-c6c1f071a65e_1815809930.jpeg?h=225&w=225
Tesco Finest Beef Gravy 350Ml,€2.45,€7.00/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/ed779d1e-064d-48c1-8ec3-48035e40afa1/3ffd43b4-70ff-497e-a7c9-46741148b1e6_1763807017.jpeg?h=225&w=225
Tesco Finest Medium Cut Tangy Bitter Orange Marmalade 320G,€2.29,€7.16/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/406a9cb3-f268-4072-8ddf-a6f72d377da7/d72e904d-5097-42a6-a4c0-fc00117700b9_757250968.jpeg?h=225&w=225
Tesco Fiin* S/Slt And White Wine Vinegar Crisps 125G,€2.25,€18.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/da99e461-52e1-4b5b-941d-db5cd0d09fad/7f40d582-2f11-49d4-a01a-84ae9ea922d1_2127626512.jpeg?h=225&w=225
Tesco Finest Basil Pesto 190G,€2.20,€11.58/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/963b493a-46a3-4e93-a885-3980d3116cbe/ae239579-61b4-4280-8ba1-c7e0a62f1967_602462977.jpeg?h=225&w=225
Tesco Finest Sea Salt & Black Pepper Hand Cooked Crisps 125g,€2.25,€18.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/661d957b-4a10-49b3-a285-ac2a6fc20e41/bfbe09c6-ed5e-4711-97f2-9545ee54eca2_637465408.jpeg?h=225&w=225
Tesco Finest Pink Himalayan Salt Mill 95G,€1.40,€14.74/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/bc485db7-2c73-4a09-a8ee-9fe54ece17ec/96c328f4-e1b0-4279-a7c6-27819582760c_624926923.jpeg?h=225&w=225
Tesco Finest Jalapeno Relish 200G,€1.69,€8.45/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/e7e773af-071c-4a23-b8b2-3826d2b8caf7/8da6e7a9-201f-40a2-ab51-40796e72a403_1613806401.jpeg?h=225&w=225
Tesco Finest Carbonara Pasta Sauce 340G,€2.20,€6.47/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/a5fed1f0-0060-4833-9e99-59add757c149/13005b02-86dd-40c8-8af0-9faa87e4598a_2091336231.jpeg?h=225&w=225
Tesco Finest Apricot Conserve 320G,€2.29,€7.16/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/9fb5da2e-75d1-4758-ba94-b0b6212342c6/b87bad3d-a459-45e5-a7e6-af38e21f6e7a_226472182.jpeg?h=225&w=225
Tesco Finest Lime And Chilli Chutney 225G,€1.69,€7.51/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/60024e26-c84f-44cc-9653-129ce9535f08/1f2fbf8c-73df-41b4-818d-42c8b3b98ef0_785585699.jpeg?h=225&w=225
Tesco Finest Balsamic Vinegar Of Modena 250Ml,€3.32,€13.28/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/49a73400-2244-4e22-a785-a7ebcadf0252/4bf823a6-7564-4755-a322-fc181e533379_679673659.jpeg?h=225&w=225
Tesco Finest Belgian Dark Chocolate Bar 90G,€2.00,€22.22/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/b52903fb-66b8-402a-928c-f3ac5cee59e3/93124316-e9f8-4b73-bc75-6f1717b711a4_1034437116.jpeg?h=225&w=225
Tesco Finest Dark Chocolate Ginger Cookies 200G,€2.20,€11.00/kg,https://digitalcontent.api.tesco.com/v2/media/ghs/9a407aa5-8172-4cc0-adfc-c241f5403e4c/c5a30ca1-0acf-4f24-b36a-83d38381251e_1214346726.jpeg?h=225&w=225
