Product Title,Price,Price Per Weight,Savings,Image URL
SuperValu Bananas Snack Pack (7 Piece),€1.79,€0.26 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1197004000_1
SuperValu Large Loose Oranges (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1018820000_1
SuperValu Loose Pink Lady Apples (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1179723000_1
Signature Tastes Raspberries (125 g),€2.79,€22.32/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1016345000_1
Signature Tastes Ripe Avocado (1 Piece),€1.35,,2 for €2.50,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1007563000_1
Signature Tastes Blueberry (150 g),€2.79,€18.60/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1683185002_1
SuperValu Organic Fairtrade Bananas  (5 Piece),€1.89,€0.38 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1085596000_1
SuperValu Seedless Red Grapes  (500 g),€2.69,€5.38/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1018071000_1
SuperValu Loose Bananas (1 kg),€0.25 avg/ea,€1.45/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1013680000_1
SuperValu Loose Lemons (1 Piece),€0.55,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1024720000_1
SuperValu Easy Peelers (750 g),€1.39,€1.85/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1033492001_1
SuperValu Loose Pears (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1021584000_1
Signature Tastes ClemenGold Mandarins (500 g),€1.95,€3.90/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1700369000_1
SuperValu Kids Apple Bag (9 Piece),€1.59,€0.16 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1320511000_1
SuperValu Lemons  (3 Piece),€0.49,€0.16 each,Only 49c,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1317040000_1
SuperValu Mixed Seedless Grapes  (500 g),€2.99,€5.98/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1020232000_1
SuperValu Pears (6 Piece),€2.49,€0.42 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1209478000_1
SuperValu Oranges (7 Piece),€1.99,€0.28 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1180310000_1
Freddy's Fyffes Bananas Bag (7 Piece),€1.99,€0.28 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1019259000_1
SuperValu Seedless White Grapes  (500 g),€2.69,€5.38/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1020275000_1
