Title,Price,Price Per,Image URL
Tesco Slimn Still Spring Water 6X2l,€2.89,€0.24/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/a817726f-0a6c-4e22-b13c-a30667a7e2bc/747e3c67-ca20-480f-9287-cb611e90dabe_874050922.jpeg?h=225&w=225
Tesco Slvmn Sparkling Spring Water 6X2l,€2.89,€0.24/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/7d466318-2794-4f19-8461-8c01d2bfe935/54eb21cf-337b-489e-a45c-60cb140477d5_1620291369.jpeg?h=225&w=225
Tesco Slievenamon Irish Still Spring Water 5L,€1.45,€0.29/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/4852dc82-983c-433a-8eb8-a83f1330f286/95ebf76c-991f-45e4-89a8-377aba2b8c91_1387938969.jpeg?h=225&w=225
Tesco Silevenamon 12X500ml Sparkling Water,€4.35,€0.72/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/7c88e14b-43b6-433d-bc57-d9b8d628febc/b7e3426d-bac8-4874-a129-1c6c27c0525b_941741307.jpeg?h=225&w=225
Tesco Slimn Still Spring Water 6X750ml,€2.50,€3.33/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/aaa55f1d-0c39-40fc-bc4a-e6eef5f0a41b/0e309373-4a38-410b-9bae-e4816b5bcd69_1360925841.jpeg?h=225&w=225
Tesco Slievenamon Still Spring Water 12 X 500Ml,€3.99,€0.66/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/5291b8d0-241e-46a3-b28b-0cc7ab537fda/bcbfa206-261e-437d-8009-d6ceaf8d13fd_1092595385.jpeg?h=225&w=225
Tesco Summer Fruits Flavoured Water Sparkling 1L,€0.65,€0.65/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/7c73c780-617c-4a57-9479-a3af041005a7/8691adc8-5e55-4266-8f6e-0dd807bfb7b6_858788761.jpeg?h=225&w=225
Ballygowan Sparkling Water 2Ltr,€1.35,€0.68/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/9af5eee6-c7a6-4c52-9c8b-753bbc3b5fe1/6021402f-1f67-499d-9f79-708da27e0c62_891740465.jpeg?h=225&w=225
Tescoslievenamon Still Spring Water 6X500ml,€2.15,€0.72/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/0830279c-17d5-4df7-83c8-6b84f8dfd51f/70eb8256-932b-4ba4-b0b9-e8f0699234a9_327670769.jpeg?h=225&w=225
Tesco Sparkling Water Lemon & Lime 1 Litre,€0.65,€0.65/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/cf7514a4-c99d-4756-aeec-e10b2ab81510/4a2eccb7-85ba-4c37-951f-551c8747830e_168465466.jpeg?h=225&w=225
Evian Natural Bottled Mineral Still Water Multipack 6x1.5L,€6.50,€0.72/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/5f0bf4ec-e81e-4bbc-ae39-4caf7b0cd29c/5706d722-deb4-4616-9531-4a46afe9dd10_383201059.jpeg?h=225&w=225
Volvic Mineral Water 6X1.5Litre,€5.99,€0.50/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/56e2dead-b945-426a-863f-cd4fddfd2d67/7d3ce92c-5592-4e5f-b501-aa9684b71c4e_88589872.jpeg?h=225&w=225
Tesco Sparkling Water Apple & Raspberry 1 Litre,€0.65,€0.65/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/4848d8cf-7d56-44fe-935f-54c53a2a3abd/76584d5a-8422-4c23-b59d-0e665924f0f3_1653472705.jpeg?h=225&w=225
Ballygowan Still Water 6X1.5Ltr,€5.59,€0.62/litre,https://digitalcontent.api.tesco.com/v2/media/ghs/485e1a7a-bcfa-4f6f-a1bf-c072cb25c2a8/f411c8f1-6c89-44c7-a3bd-745f268abd7f_713253856.jpeg?h=225&w=225
